signe_livre	membres	hpo_membres	parent_propose	label_parent	distance	parent_foetal	definition_parent	decision
Short or downslanting palpebral fissures	Short palpebral fissures | downslanting palpebral fissures	HP:0012745+HP:0000494	PARENT:HP:0008050	Abnormality of the palpebral fissures	2	oui	An anomaly of the space between the medial and lateral canthi of the two open eyelids.	
Inguinal or axillary freckling	Inguinal freckling | axillary freckling	HP:0030052+HP:0000997	PARENT:HP:0001480	Freckling	1	oui	The presence of an increased number of freckles, small circular spots on the skin that are darker than the surrounding skin because of deposits of melanin.	
Narrow or hypoplastic nails	Narrow nails | hypoplastic nails	HP:0011313+HP:0001792	PARENT:HP:0001597	Abnormal nail morphology	2	oui	Abnormal structure or appearance of the nail.	
pulmonary or aortic valvular stenosis	pulmonary valvular stenosis | aortic valvular stenosis	HP:0034350+HP:0001650	PARENT:HP:0031653	Abnormal heart valve physiology	3	oui	Any functional abnormality of a cardiac valve.	
Full or everted lower lip	Full lower lip | everted lower lip	HP:0000179+HP:0000232	PARENT:HP:0000178	Abnormal lower lip morphology	1	oui	An abnormality of the lower lip.	
Fine or coarse hair	Fine hair | coarse hair	HP:0002213+HP:0002208	PARENT:HP:0010719	Abnormality of hair texture	1	oui	An abnormality of the texture of the hair.	
Conductive or mixed hearing loss	Conductive hearing loss | mixed hearing loss	HP:0000405+HP:0000410	PARENT:HP:0011452	Functional abnormality of the middle ear	2	oui	An abnormality of the function of the middle ear.	
Cutaneous or osseous syndactyly of the fingers	Cutaneous syndactyly of the fingers | osseous syndactyly of the fingers	HP:0010554+HP:0010492	PARENT:HP:0006101	Finger syndactyly	1	oui	"Webbing or fusion of the fingers, involving soft parts only or including bone structure. Bony fusions are referred to as \""bony\"" Syndactyly if the fusion occurs in a radio-ulnar axis. Fusions of bones of the fingers in a proximo-distal axis are refe"	
Absent or hypoplastic clavicles	Absent clavicles | hypoplastic clavicles	HP:0006660+HP:0000894	PARENT:HP:0006710	Aplasia/Hypoplasia of the clavicles	1	oui	Absence or underdevelopment of the clavicles (collar bones).	
Hypoplastic or absent clavicles	Hypoplastic clavicles | absent clavicles	HP:0000894+HP:0006660	PARENT:HP:0006710	Aplasia/Hypoplasia of the clavicles	1	oui	Absence or underdevelopment of the clavicles (collar bones).	
