signe	nom_propose	hpo_id	label_hpo	n	choix	arbitre	verdict_next	nom_next
Focal white matter signal abnormalities	Abnormality of white matter	HP:0002500	Abnormal cerebral white matter morphology	1	HP:0002500	next:AUTRE Abnormal cerebral white matter signal intensity ?	AUTRE	Abnormal cerebral white matter signal intensity
Fused and hypoplastic labia	Hypoplasia of the labia majora	HP:0000059	Hypoplastic labia majora	1	HP:0000059	next:AUTRE Hypoplastic labia majora ?	AUTRE	Hypoplastic labia majora
fusion of metatarsal cuneiform and navicular bones	Fusion of tarsal bones	HP:0008368	Tarsal synostosis	1	PARENT:HP:0001850	next:AUTRE Tarsal synostosis ?	AUTRE	Tarsal synostosis
gait and motor impairment	Abnormality of gait	HP:0001288	Gait disturbance	1	HP:0001288	next:AUTRE Abnormality of gait ?	AUTRE	Abnormality of gait
head and eye deviation	Abnormality of eye movements	HP:0000496	Abnormality of eye movement	1	HP:0011175	next:AUTRE Abnormality of eye movement ?	AUTRE	Abnormality of eye movement
Hypoplasia of the mandibular rami	Hypoplasia of the mandible	HP:0000347	Micrognathia	1	HP:0000347	next:AUTRE Hypoplasia of the mandibular rami ?	AUTRE	Hypoplasia of the mandibular rami
hypoplastic bodies of cervical vertebrae	Hypoplasia of cervical vertebrae	HP:0008434	Hypoplastic cervical vertebrae	1	HP:0008434	next:AUTRE Hypoplasia of the cervical vertebral bodies ?	AUTRE	Hypoplasia of the cervical vertebral bodies
Hypoplastic cochlea and semicircular canals	Semicircular canal hypoplasia	HP:0011382	Hypoplasia of the semicircular canal	1	PARENT:HP:0011380	next:PARENT Abnormality of the inner ear ?	PARENT	Abnormality of the inner ear
Hypoplastic interphalangeal creases	Hypoplastic palmar crease	HP:0006184	Decreased palmar creases	1	HP:0006109	next:AUTRE Hypoplastic interphalangeal creases ?	AUTRE	Hypoplastic interphalangeal creases
Hypoplastic/absent flexion creases	Absent palmar creases	HP:0010489	Absent palmar crease	1	PARENT:HP:0010488	next:AUTRE Absent palmar crease ?	AUTRE	Absent palmar crease
Interrupted eyebrows	Sparse lateral eyebrows	HP:0005338	Sparse lateral eyebrow	1	HP:0005338	next:AUTRE Absent lateral eyebrow ?	AUTRE	Absent lateral eyebrow
Large and flattened capital femoral epiphyses	Small femoral head	HP:0008802	Hypoplasia of the femoral head	1	HP:0003370+HP:0010580	next:AUTRE Enlarged capital femoral epiphysis ?	AUTRE	Enlarged capital femoral epiphysis
Limitation of flexion at proximal phalangeal joints	Short tubular bones of hands	HP:0001248	Short tubular bones of the hand	1	HP:0001376	next:AUTRE Limited flexion at the proximal interphalangeal joints ?	AUTRE	Limited flexion at the proximal interphalangeal joints
Limited mobility of the back and neck	Limited range of motion of neck	HP:0000466	Limited neck range of motion	1	HP:0000466	next:AUTRE Limited range of motion of the cervical spine ?	AUTRE	Limited range of motion of the cervical spine
Marked shortening and deformity of the lower legs	Short leg	HP:0006385	Short lower limbs	1	HP:0006385	next:AUTRE Short lower limbs ?	AUTRE	Short lower limbs
Metaphyseal undermodeling of tubular bones with irregular sclerosis of Erlenmeyer flask-like bone ends	Erlenmeyer flask deformity of the femur	HP:0004975	Erlenmeyer flask deformity of the femurs	1	HP:0004975	next:AUTRE Erlenmeyer flask deformity ?	AUTRE	Erlenmeyer flask deformity
Mild bowing of femora and tibiae	Bowing of tibia	HP:0002982	Tibial bowing	1	PARENT:HP:0002979	next:AUTRE Bowing of the femur ?	AUTRE	Bowing of the femur
Multicystic pancreas	Multicystic kidney	HP:0000003	Multicystic kidney dysplasia	1	HP:0001737	next:AUTRE Pancreatic cyst ?	AUTRE	Pancreatic cyst
Only 11 ribs	Rib anomaly	HP:0000772	Abnormal rib morphology	1	HP:0000878	next:AUTRE Reduced number of ribs ?	AUTRE	Reduced number of ribs
Open-staircase appearance of vertebral bodies	Vertebral cleft	HP:0008428	Vertebral clefting	1	HP:0003312	next:AUTRE Abnormal vertebral body morphology ?	AUTRE	Abnormal vertebral body morphology
Pancreatic duplication cyst	Pancreatic cyst	HP:0001737	Pancreatic cysts	1	HP:0001737	next:AUTRE Pancreatic duplication cyst ?	AUTRE	Pancreatic duplication cyst
Pearly white atrophic skin lesions	Atrophic scar	HP:0001075	Atrophic scars	1	HP:0004334	next:AUTRE Atrophic skin lesion ?	AUTRE	Atrophic skin lesion
Peculiar reticular pattern of the calvarium	Hyperostosis of the skull	HP:0004330	Increased skull ossification	1	PARENT:HP:0000929	next:AUTRE Abnormal skull ossification ?	AUTRE	Abnormal skull ossification
Progressive erosion of the metacarpal/metatarsal diaphyses	Hypoplasia of the metacarpals	HP:0010049	Short metacarpal	1	HP:0001504	next:AUTRE Osteolysis involving metacarpal bones ?	AUTRE	Osteolysis involving metacarpal bones
Progressive hyperostosis of skull base, mandible, maxilla, and orbital roofs	Hyperostosis of the skull base	HP:0002694	Sclerosis of skull base	1	HP:0004493	next:AUTRE Hyperostosis frontalis interna ?	AUTRE	Hyperostosis frontalis interna
Pyeloureteral duplication	Duplication of the renal pelvis	HP:0005580	Duplication of renal pelvis	1	HP:0000081	next:AUTRE Duplication of ureter ?	AUTRE	Duplication of ureter
rounded ends of tubular bones	Flared metaphyses	HP:0003015	Flared metaphysis	1	PARENT:HP:0000944	next:AUTRE Rounded metaphysis ?	AUTRE	Rounded metaphysis
Short cranial base with early sphenooccipital closure	Premature cranial suture closure	HP:0001363	Craniosynostosis	1	HP:0034772	next:AUTRE Premature closure of the cranial sutures ?	AUTRE	Premature closure of the cranial sutures
Short lower leg	Short leg	HP:0006385	Short lower limbs	1	HP:0006385	next:AUTRE Short lower leg ?	AUTRE	Short lower leg
short tubular bones of the extremities	Short tubular bones of the hands	HP:0001248	Short tubular bones of the hand	1	PARENT:HP:0003026	next:AUTRE Short tubular bones of the extremities ?	AUTRE	Short tubular bones of the extremities
Short tubular bones of the hand and foot	Short tubular bones of hands	HP:0001248	Short tubular bones of the hand	1	HP:0001248+HP:0001773	next:AUTRE Short tubular bones of the hand and foot ?	AUTRE	Short tubular bones of the hand and foot
Short tubular bones usually well ossified	Short tubular bones of the hands	HP:0001248	Short tubular bones of the hand	1	HP:0001248	next:AUTRE Short tubular bones of the extremities ?	AUTRE	Short tubular bones of the extremities
Short, thick, ribbon-like, poorly mineralized long bones	Long bone bowing	HP:0006487	Bowing of the long bones	1	HP:0004349	next:AUTRE Ribbon-like ribs ?	AUTRE	Ribbon-like ribs
short, thickened clavicles	Abnormality of the clavicles	HP:0000889	Abnormal clavicle morphology	1	HP:0000916	next:AUTRE Thickened clavicle ?	AUTRE	Thickened clavicle
Shortening and/or aplasia of the ulna and/or humerus	Humerus aplasia	HP:0003862	Absent humerus	1	HP:0006495+HP:0006507	next:AUTRE Hypoplasia of the humerus ?	AUTRE	Hypoplasia of the humerus
Shortening of radius and ulna	Shortening of the radius	HP:0002984	Hypoplasia of the radius	1	HP:0005773	next:AUTRE Hypoplasia of the ulna ?	AUTRE	Hypoplasia of the ulna
signal abnormalities in the white matter	Abnormality of white matter	HP:0002500	Abnormal cerebral white matter morphology	1	HP:0002500	next:AUTRE Abnormality of the cerebral white matter ?	AUTRE	Abnormality of the cerebral white matter
significant difficulty climbing stairs	Abnormality of gait	HP:0001288	Gait disturbance	1	HP:0003551	next:AUTRE Proximal muscle weakness ?	AUTRE	Proximal muscle weakness
Slender and twisted long bones	Slender long bones	HP:0003100	Slender long bone	1	HP:0003100	next:AUTRE Slender long bone ?	AUTRE	Slender long bone
Steno-occlusive cerebral arteriopathy	Stenosis of cerebral arteries	HP:0012492	Cerebral artery stenosis	1	HP:0012492	next:AUTRE Cerebral artery occlusion ?	AUTRE	Cerebral artery occlusion
stiff, tapered fingers	Tapered fingers	HP:0001182	Tapered finger	1	HP:0001182+HP:0025261	next:AUTRE Stiff finger ?	AUTRE	Stiff finger
Symmetric amyotrophy of the small muscles of hands and feet	Muscle atrophy of hand	HP:0009130	Hand muscle atrophy	1	HP:0003693	next:AUTRE Amyotrophy of the small muscles of the hands and feet ?	AUTRE	Amyotrophy of the small muscles of the hands and feet
underdeveloped nasal cartilage	Hypoplasia of nasal cartilage	HP:0000430	Underdeveloped nasal alae	1	HP:0000430	next:AUTRE Hypoplasia of the nasal cartilage ?	AUTRE	Hypoplasia of the nasal cartilage
Unfused nares	Wide nasal tip	HP:0000455	Broad nasal tip	1	HP:0011803	next:AUTRE Bifid nose ?	AUTRE	Bifid nose
Zipper-​like appearance of the spine	Vertebral segmentation defects	HP:0003422	Vertebral segmentation defect	1	PARENT:HP:0003468	next:AUTRE Absent ossification of the vertebral bodies ?	AUTRE	Absent ossification of the vertebral bodies
Short hands and feet	Short foot	HP:0001773	Short foot	7	HP:0200055+HP:0001773	next:AUTRE Short hand ?	AUTRE	Short hand
sleep-disordered breathing	Sleep apnea	HP:0010535	Sleep apnea	4	HP:0010535	next:AUTRE Sleep apnea ?	AUTRE	Sleep apnea
Cardiac hypertrophy	Cardiomegaly	HP:0001640	Cardiomegaly	3	HP:0001714	next:AUTRE Cardiac hypertrophy ?	AUTRE	Cardiac hypertrophy
Exposure keratopathy	Keratitis	HP:0000491	Keratitis	3	PARENT:HP:0000481	next:AUTRE Exposure keratopathy ?	AUTRE	Exposure keratopathy
Large hands and feet	Macrodactyly	HP:0004099	Macrodactyly	3	HP:0001176+HP:0001833	next:AUTRE Macrodactyly of the hands ?	AUTRE	Macrodactyly of the hands
Repetitive speech	Echolalia	HP:0010529	Echolalia	3	PARENT:HP:0002167	next:AUTRE Repetitive speech ?	AUTRE	Repetitive speech
Absent ossification of the sacrum	Sacral agenesis	HP:0010305	Absence of the sacrum	2	HP:0025370	next:AUTRE Absent sacral ossification ?	AUTRE	Absent sacral ossification
Arrested puberty	Delayed puberty	HP:0000823	Delayed puberty	2	HP:0000823	next:AUTRE Arrested puberty ?	AUTRE	Arrested puberty
cervical stenosis	Spinal stenosis	HP:0003416	Spinal canal stenosis	2	HP:0008445	next:AUTRE Cervical spinal stenosis ?	AUTRE	Cervical spinal stenosis
cholestatic jaundice	Cholestasis	HP:0001396	Cholestasis	2	HP:0001396	next:AUTRE Neonatal cholestasis ?	AUTRE	Neonatal cholestasis
Defective ossification of the acetabulum	Abnormality of the acetabulum	HP:0003170	Abnormal acetabulum morphology	2	PARENT:HP:0003170	next:AUTRE Delayed ossification of the acetabulum ?	AUTRE	Delayed ossification of the acetabulum
Defective ossification of the ribs and long tubular bones	Rib hypoplasia	HP:0000773	Short ribs	2	HP:0004349	next:AUTRE Abnormality of bone mineral density ?	AUTRE	Abnormality of bone mineral density
Dental issues	Abnormality of dental enamel	HP:0000682	Abnormal dental enamel morphology	2	PARENT:HP:0000164	next:AUTRE Abnormality of dental morphology ?	AUTRE	Abnormality of dental morphology
Developmental delay and/or learning difficulties	Developmental delay	HP:0001263	Global developmental delay	2	HP:0001263+HP:0001328	next:AUTRE Learning disability ?	AUTRE	Learning disability
difficulty with balance	Ataxia	HP:0001251	Ataxia	2	HP:0002141	next:AUTRE Impaired balance ?	AUTRE	Impaired balance
digital contractures	Contracture	HP:0034392	Joint contracture	2	HP:0034681	next:AUTRE Contracture of the proximal interphalangeal joints of the fingers ?	AUTRE	Contracture of the proximal interphalangeal joints of the fingers
Disequilibrium	Gait ataxia	HP:0002066	Gait ataxia	2	HP:0002141	next:AUTRE Disequilibrium ?	AUTRE	Disequilibrium
Excessive periosteal new bone formation	Periostitis	HP:0040165	Periostitis	2	HP:0030314	next:AUTRE Periosteal hyperostosis ?	AUTRE	Periosteal hyperostosis
Forefoot torsion	Forefoot varus	HP:0001840	Metatarsus adductus	2	HP:0001840	next:AUTRE Abnormality of the metatarsal bones ?	AUTRE	Abnormality of the metatarsal bones
fragmented vertebra	Vertebral segmentation defect	HP:0003422	Vertebral segmentation defect	2	HP:0003312	next:AUTRE Fragmented vertebral body ?	AUTRE	Fragmented vertebral body
Hypoplasia of epiglottis and larynx	Hypoplasia of the epiglottis	HP:0005349	Hypoplasia of the epiglottis	2	HP:0005349+HP:0008749	next:AUTRE Hypoplasia of the epiglottis ?	AUTRE	Hypoplasia of the epiglottis
Hypoplastic finger and toenails	Hypoplastic toenails	HP:0001800	Hypoplastic toenails	2	HP:0001800+HP:0001804	next:AUTRE Hypoplastic fingernails ?	AUTRE	Hypoplastic fingernails
Incomplete pubertal development	Delayed puberty	HP:0000823	Delayed puberty	2	HP:0000823	next:AUTRE Delayed puberty ?	AUTRE	Delayed puberty
increased periorbital folding	Periorbital fullness	HP:0000629	Periorbital fullness	2	NON	next:AUTRE Deep-set eyes ?	AUTRE	Deep-set eyes
Irregular contours of talus and calcaneus	Abnormality of the calcaneus	HP:0008364	Abnormality of the calcaneus	2	HP:0008364+HP:0008365	next:AUTRE Abnormality of the talus ?	AUTRE	Abnormality of the talus
Macrocytosis	Macrocytic anemia	HP:0001972	Macrocytic anemia	2	HP:0005518	next:AUTRE Macrocytosis ?	AUTRE	Macrocytosis
Mildly undertubulated metacarpals	Abnormal metacarpal morphology	HP:0005916	Abnormal metacarpal morphology	2	PARENT:HP:0005916	next:AUTRE Abnormal metacarpal cortex morphology ?	AUTRE	Abnormal metacarpal cortex morphology
mitral valve thickening and insufficiency	Mitral valve insufficiency	HP:0001653	Mitral regurgitation	2	HP:0001653+HP:6000342	next:AUTRE Mitral valve thickening ?	AUTRE	Mitral valve thickening
Multisuture craniosynostosis	Craniosynostosis	HP:0001363	Craniosynostosis	2	HP:0011324	next:AUTRE Multisuture craniosynostosis ?	AUTRE	Multisuture craniosynostosis
muscle contractures	Contracture	HP:0034392	Joint contracture	2	HP:0008967	next:AUTRE Muscle stiffness ?	AUTRE	Muscle stiffness
myeloid dysplasia	Myelodysplasia	HP:0002863	Myelodysplasia	2	HP:0002863	next:AUTRE Myelodysplastic syndrome ?	AUTRE	Myelodysplastic syndrome
Poor articulation	Dysarthria	HP:0001260	Dysarthria	2	HP:0009088	next:AUTRE Dysarthria ?	AUTRE	Dysarthria
Retarded ossification of the pelvis	Delayed skeletal maturation	HP:0002750	Delayed skeletal maturation	2	HP:0009106	next:AUTRE Delayed ossification of the pelvis ?	AUTRE	Delayed ossification of the pelvis
Rib fractures	Fracture	HP:0020110	Bone fracture	2	HP:0041159	next:AUTRE Rib fracture ?	AUTRE	Rib fracture
Rupture of spleen and bowel	Splenic rupture	HP:0012223	Splenic rupture	2	HP:0012223+HP:0031368	next:AUTRE Intestinal rupture ?	AUTRE	Intestinal rupture
Vermian dysplasia	Cerebellar vermis hypoplasia	HP:0001320	Cerebellar vermis hypoplasia	2	HP:0001320	next:AUTRE Cerebellar vermis hypoplasia ?	AUTRE	Cerebellar vermis hypoplasia
Abdominal muscle deficiency	Abdominal wall defect	HP:0010866	Abdominal wall defect	1	HP:0005247	next:AUTRE Hypoplasia of the abdominal musculature ?	AUTRE	Hypoplasia of the abdominal musculature
Abdominal muscle dysplasia	Abdominal wall defect	HP:0010866	Abdominal wall defect	1	HP:0005247	next:AUTRE Hypoplasia of the abdominal musculature ?	AUTRE	Hypoplasia of the abdominal musculature
Abnormal neuronal lamination	Abnormal neuronal migration	HP:0002269	Abnormality of neuronal migration	1	HP:0002269	next:AUTRE Abnormality of cerebral cortical lamination ?	AUTRE	Abnormality of cerebral cortical lamination
Abnormal signal in the basal ganglia	Abnormality of the basal ganglia	HP:0002134	Abnormal basal ganglia morphology	1	HP:0012751	next:AUTRE Abnormal basal ganglia signal intensity ?	AUTRE	Abnormal basal ganglia signal intensity
abnormal smile	Abnormal facial expression	HP:0005346	Abnormal facial expression	1	HP:0005346	next:AUTRE Abnormal facial expression ?	AUTRE	Abnormal facial expression
abnormal thumb/hallux implantation	Abnormal thumb morphology	HP:0001172	Abnormal thumb morphology	1	HP:0009623+HP:0011926	next:AUTRE Abnormality of the thumb ?	AUTRE	Abnormality of the thumb
Abnormal toe placement	Abnormal toe morphology	HP:0001780	Abnormal toe morphology	1	PARENT:HP:0001780	next:AUTRE Abnormality of the toes ?	AUTRE	Abnormality of the toes
Abnormalities in basal ganglia signal intensity	Abnormality of the basal ganglia	HP:0002134	Abnormal basal ganglia morphology	1	HP:0012751	next:AUTRE Abnormal basal ganglia signal intensity ?	AUTRE	Abnormal basal ganglia signal intensity
Abnormalities of dopaminergic striatal pathways	Abnormality of the basal ganglia	HP:0002134	Abnormal basal ganglia morphology	1	PARENT:HP:0002134	next:AUTRE Abnormal basal ganglia signal intensity ?	AUTRE	Abnormal basal ganglia signal intensity
abnormalities of motor functioning and coordination	Ataxia	HP:0001251	Ataxia	1	HP:0002311	next:AUTRE Abnormality of motor function ?	AUTRE	Abnormality of motor function
abnormally thick cortex	Nephrolithiasis	HP:0000787	Nephrolithiasis	1	NON	next:AUTRE Thickened cerebral cortex ?	AUTRE	Thickened cerebral cortex
Absence of discernible joints	Joint contracture	HP:0034392	Joint contracture	1	NON	next:AUTRE Absent joint ?	AUTRE	Absent joint
Absence of facial muscles	Facial muscle weakness	HP:0030319	Weakness of facial musculature	1	PARENT:HP:0000301	next:AUTRE Absent facial musculature ?	AUTRE	Absent facial musculature
Absence of hemidiaphragm	Diaphragmatic paralysis	HP:0006597	Diaphragmatic paralysis	1	HP:0008986	next:AUTRE Absent hemidiaphragm ?	AUTRE	Absent hemidiaphragm
Absence of hemidiaphragm	Diaphragmatic eventration	HP:0009110	Diaphragmatic eventration	1	HP:0008986	next:AUTRE Absent hemidiaphragm ?	AUTRE	Absent hemidiaphragm
Absence of ossification centers of the knee epiphyses	Abnormal knee morphology	HP:0034669	Abnormal knee morphology	1	HP:0006400	next:AUTRE Absent ossification center of the knee epiphysis ?	AUTRE	Absent ossification center of the knee epiphysis
Absence of ossification centers of the pubic bones	Abnormal pubic bone morphology	HP:0003172	Abnormal pubic bone morphology	1	HP:0009105	next:AUTRE Absent ossification center of the pubic bone ?	AUTRE	Absent ossification center of the pubic bone
Absence of pubertal maturation	Delayed puberty	HP:0000823	Delayed puberty	1	HP:0008197	next:AUTRE Absent puberty ?	AUTRE	Absent puberty
Absence of rectum	Anal atresia	HP:0002023	Anal atresia	1	HP:0025023	next:AUTRE Absent rectum ?	AUTRE	Absent rectum
Absence of secondary sexual features	Delayed puberty	HP:0000823	Delayed puberty	1	HP:0008187	next:AUTRE Absent puberty ?	AUTRE	Absent puberty
Absence of vagina	Vaginal atresia	HP:0000148	Vaginal atresia	1	HP:0003250	next:AUTRE Vaginal aplasia ?	AUTRE	Vaginal aplasia
Absence of voluntary movement	Akinetic mutism	HP:0012672	Akinetic mutism	1	PARENT:HP:0100022	next:AUTRE Akinetic mutism ?	AUTRE	Akinetic mutism
Absent adrenal glands	Adrenal hypoplasia	HP:0000835	Adrenal hypoplasia	1	HP:0011743	next:AUTRE Adrenal aplasia ?	AUTRE	Adrenal aplasia
Absent ductus arteriosus	Patent ductus arteriosus	HP:0001643	Patent ductus arteriosus	1	NON	next:AUTRE Absent ductus arteriosus ?	AUTRE	Absent ductus arteriosus
Absent eyelashes and head hair	Alopecia	HP:0001596	Alopecia	1	HP:0000561+HP:0002293	next:AUTRE Alopecia ?	AUTRE	Alopecia
Absent gonad	Unilateral renal agenesis	HP:0000122	Unilateral renal agenesis	1	HP:0008633	next:AUTRE Absent gonad ?	AUTRE	Absent gonad
Absent or severely retarded ossification of the vertebral bodies and sacrum	Delayed epiphyseal ossification	HP:0002663	Delayed epiphyseal ossification	1	HP:0008435+HP:0025370	next:AUTRE Absent sacral ossification ?	AUTRE	Absent sacral ossification
Absent ossification of the lower ilia, pubic, and ischial bones	Delayed pubic bone ossification	HP:0008788	Delayed pubic bone ossification	1	HP:0009105	next:AUTRE Absent ossification of the pubic bone ?	AUTRE	Absent ossification of the pubic bone
Absent ossification of the vertebral bodies of the upper cervical spine	Abnormal cervical spine morphology	HP:0046508	Abnormal cervical spine morphology	1	HP:0005885	next:AUTRE Absent ossification of the cervical vertebrae ?	AUTRE	Absent ossification of the cervical vertebrae
Absent pituitary	Aplasia of the pituitary gland	HP:0010626	Anterior pituitary agenesis	1	HP:0010626	next:AUTRE Pituitary agenesis ?	AUTRE	Pituitary agenesis
absent scalp hair	Alopecia	HP:0001596	Alopecia	1	HP:0002293	next:AUTRE Aplasia/Hypoplasia of the scalp hair ?	AUTRE	Aplasia/Hypoplasia of the scalp hair
Abundant scalp hair	Hypertrichosis	HP:0000998	Hypertrichosis	1	NON	next:AUTRE Abundant scalp hair ?	AUTRE	Abundant scalp hair
Accumulation of very long-chain fatty acids	Absence of peroxisomes	HP:0034553	Absence of peroxisomes	1	HP:0008167	next:AUTRE Elevated circulating very long-chain fatty acid level ?	AUTRE	Elevated circulating very long-chain fatty acid level
Achilles tendon xanthomas	Xanthoma	HP:0001114	Xanthelasma	1	HP:0010874	next:AUTRE Achilles tendon xanthoma ?	AUTRE	Achilles tendon xanthoma
acute infantile-onset cardiomyopathy	Cardiomyopathy	HP:0001638	Cardiomyopathy	1	HP:0001644	next:PARENT Dilated cardiomyopathy ?	PARENT	Dilated cardiomyopathy
adrenal aplasia	Adrenal hypoplasia	HP:0000835	Adrenal hypoplasia	1	HP:0011743	next:AUTRE Adrenal agenesis ?	AUTRE	Adrenal agenesis
adrenarche	Premature adrenarche	HP:0012412	Premature adrenarche	1	HP:0012412	next:AUTRE Adrenarche ?	AUTRE	Adrenarche
Advanced liver disease	Liver failure	HP:0001399	Hepatic failure	1	PARENT:HP:0001392	next:AUTRE Chronic liver disease ?	AUTRE	Chronic liver disease
Affected limb cold	Cold intolerance	HP:6000855	Cold intolerance	1	HP:0033850	next:AUTRE Coldness of the extremities ?	AUTRE	Coldness of the extremities
Aganglionosis of colon and ureters	Aganglionic megacolon	HP:0002251	Aganglionic megacolon	1	HP:0002251	next:AUTRE Aganglionosis ?	AUTRE	Aganglionosis
Agenesis of the uterus, cervix, and upper part of the vagina	Cervical aplasia	HP:0030008	Cervical agenesis	1	HP:0000151+HP:0030008+HP:0012673	next:AUTRE Müllerian duct aplasia ?	AUTRE	Müllerian duct aplasia
Agenesis/hypoplasia of thumbs and great toes	Aplasia/Hypoplasia of the thumb	HP:0009601	Aplasia/Hypoplasia of the thumb	1	HP:0009601+HP:0001991	next:AUTRE Aplasia/Hypoplasia of the great toe ?	AUTRE	Aplasia/Hypoplasia of the great toe
