signe_livre	occurrences	region	candidat_hpo	label_hpo	portee_proposee	definition_hpo	commentaire_hpo	decision	motif
inner epicanthal folds	8	eyes	HP:0000286	Epicanthus	EXACT (j=0.67)	A fold of skin starting above the medial aspect of the upper eyelid and arching downward to cover, pass in front of and lateral to the medial canthus.	In extreme cases, the skin fold can start as high as the eyebrow; this is called epicanthus superciliaris.	HP:0000286	Epicanthus — « inner » est redondant, l'epicanthus est par definition medial
small hands and feet	8	limbs	HP:0001773	Short foot	EXACT (j=0.67)	A measured foot length that is more than 2 SD below the mean for a newborn of 27 - 41 weeks gestation, or foot that is less than the 3rd centile for individuals from birth to 16 years of age (objective). Alternatively, a foot that appears disproportionately short (subjective).		HP:0200055+HP:0001773	forme composite : deux signes distincts, tous deux codes (Small hand + Short foot)
low-set posteriorly rotated ears	7	ears	HP:0000358	Posteriorly rotated ears	NAME (j=0.75)	A type of abnormal location of the ears in which the position of the ears is characterized by posterior rotation (the superior part of the ears is rotated towards the back of the head, and the inferior part of the ears towards the front).	Angle formed by the line perpendicular to the Frankfurt plane and the medial longitudinal axis of the ear (the two most remote points of the ear) greater than two standard deviations above the mean fo	HP:0000369+HP:0000358	forme composite : implantation basse ET rotation posterieure, deux HPO distincts
epilepsy	7	neuro	HP:0001250	Seizure	RELATED (déclaré par HPO)	A seizure is an intermittent abnormality of nervous system physiology characterized by a transient occurrence of signs and/or symptoms due to abnormal excessive or synchronous neuronal activity in the brain.	A type of electrographic seizure has been proposed in neonates which does not have a clinical correlate, it is electrographic only. The term epilepsy is not used to describe recurrent febrile seizures	HP:0001250	Seizure — RELATED chez HPO ; postnatal, ecarte par le filtre foetal
normal intelligence	6	neuro						NON	hors champ foetal — vient de Smith qui decrit des enfants ; ecarte par le filtre
hypoplastic left heart	6	heart	HP:0004383	Hypoplastic left ventricle	NAME (j=0.50)	A severe congenital heart defect characterized by underdevelopment of the left ventricle.	This feature most often occurs as part of the Hypoplastic left heart syndrome (HLHS), which may comprise additional malfmorations atresia of the aortic or mitral orifice and hypoplasia of the ascendin	HP:0004383	Hypoplastic left ventricle — le livre designe le ventricule
midfacial hypoplasia	6	craniofacial						HP:0011800	Midface retrusion — definition HPO : recul de l'etage moyen
low hairline	6	craniofacial	HP:0000294	Low anterior hairline	NAME (j=0.67)	Distance between the hairline (trichion) and the glabella (the most prominent point on the frontal bone above the root of the nose), in the midline, more than two SD below the mean. Alternatively, an apparently decreased distance between the hairline and the glabella.	This feature gives the appearance of a short forehead. It is distinct from hirsutism of the forehead. In the latter, orientation of hair growth is lateral and texture and density of hair differs from 	HP:0000294	Low anterior hairline — sans precision le livre parle de l'anterieure
refractive errors	6	eyes						HP:0000539	Abnormality of refraction — postnatal, ecarte par le filtre foetal
frontal prominence	6	craniofacial	HP:0011220	Prominent forehead	EXACT (j=0.67)	Forward prominence of the entire forehead, due to protrusion of the frontal bone.	Not to be confused with frontal bossing.	HP:0011220	Prominent forehead — equivalent
short horizontal ribs	6	thorax	HP:0000773	Short ribs	NAME (j=0.67)	Reduced rib length.		HP:0000773	Short ribs — « horizontal » est une precision radiologique, pas un autre signe
hernias	6	abdomen	HP:0100790	Hernia	RELATED (déclaré par HPO)			PARENT:HP:0100790	Hernia — parapluie, le siege n'est pas precise
low-set malformed ears	5	ears	HP:0000369	Low-set ears	NAME (j=0.67)	Upper insertion of the ear to the scalp below an imaginary horizontal line drawn between the inner canthi of the eye and extending posteriorly to the ear.			
postnatal onset of growth deficiency	5	growth	HP:0008897	Postnatal growth retardation	EXACT (j=0.75)	Slow or limited growth after birth.			
vertical talus	5	limbs	HP:0001838	Rocker bottom foot	EXACT (j=0.67)	The presence of both a prominent heel and a convex contour of the sole.	Congenital vertical talus is characterized by pes valgus, a rigid flatfoot deformity (as opposed to a flexible calcaneovalgus foot) caused by a malpositioned navicular bone at the neck of the talus; t		
mild to severe intellectual disability	5	neuro	HP:0001256	Mild intellectual disability	NAME (j=0.75)	Mild intellectual disability (ID) is defined as a type of ID characterized by mildly sub-average adaptive functioning and intellectual functioning, with an intelligence quotient (IQ) the range of 50-69.			
umbilical and inguinal hernias	5	abdomen	HP:0000023	Inguinal hernia	NAME (j=0.67)	Protrusion of the contents of the abdominal cavity through the inguinal canal.	Inguinal hernia appears as a bulge in the groin.		
short trunk	5	skeletal							
cardiovascular defects	5	heart							
postnatal onset microcephaly	5	craniofacial	HP:0005484	Secondary microcephaly	EXACT (j=0.67)	Head circumference which falls below 2 standard deviations below the mean for age and gender because of insufficient head growth after birth.			
genitourinary anomalies	5	genitourinary	HP:0000119	Abnormality of the genitourinary system	EXACT (j=0.67)	The presence of any abnormality of the genitourinary system.			
pulmonary hypertension	5	thorax	HP:0002092	Pulmonary arterial hypertension	NAME (j=0.67)	Pulmonary hypertension is defined mean pulmonary artery pressure of 25mmHg or more and pulmonary capillary wedge pressure of 15mmHg or less when measured by right heart catheterisation at rest and in a supine position.	Pulmonary hypertension can be secondary to known cardiac, pulmonary, or hepatic disease. If no cause is identifiable, the term primary pulmonary hypertension is used.		
normal stature	5	performance							
autism spectrum disorders	5	neuro	HP:0000729	Autistic behavior	RELATED (déclaré par HPO)	Persistent deficits in social interaction and communication and interaction as well as a markedly restricted repertoire of activity and interest as well as repetitive patterns of behavior.	This term can be used to refer to autism spectrum disorder as a phenotypic feature that can be a component of a disease. Autism spectrum disorder range from a severe form, called autistic disorder, to	HP:0000717	idem, pluriel
late closure of fontanels	4	craniofacial	HP:0001476	Delayed closure of the anterior fontanelle	EXACT (j=0.60)	A delay in closure (ossification) of the anterior fontanelle, which generally undergoes closure around the 18th month of life.			
slanted palpebral fissures	4	eyes	HP:0000494	Downslanted palpebral fissures	EXACT (j=0.75)	The palpebral fissure inclination is more than two standard deviations below the mean.			
colobomata of iris	4	eyes							
vertebral defects	4	skeletal	HP:0003422	Vertebral segmentation defect	NAME (j=0.67)	An abnormality related to a defect of vertebral separation during development.	The vertebral column derives from somites, transient paired segments of mesoderm that surround the neural tube in the early embryo. The formation of the vertebrar involves many processes including res		
shortness of stature	4	growth							
cleft palate alone	4	mouth	HP:0000175	Cleft palate	NAME (j=0.67)	Cleft palate is a developmental defect of the palate resulting from a failure of fusion of the palatine processes and manifesting as a separation of the roof of the mouth (soft and hard palate).	Cleft palate is a developmental defect that occurs between the 7th and 12th week of pregnancy. Normally, the palatine processes fuse during this time to form the soft and hard palate. A failure of fus		
short nose with anteverted nares	4	craniofacial	HP:0000463	Anteverted nares	NAME (j=0.50)	Anteriorly-facing nostrils viewed with the head in the Frankfurt horizontal and the eyes of the observer level with the eyes of the subject. This gives the appearance of an upturned nose (upturned nasal tip).	The tip of the nose is upturned and is positioned superiorly to the nasal base, allowing the nares to be easily visualized from the front. With maturation and growth of the nasal ridge and tip, the na		
fetal fingertip pads	4	limbs	HP:0001212	Prominent fingertip pads	EXACT (j=0.75)	"A soft tissue prominence of the ventral aspects of the fingertips. The term \""persistent fetal fingertip pads\"" is often used as a synonym, but should better not be used because it implies knowledge of history of the patient which often does not exist."			
hypoplastic genitalia	4	genitourinary	HP:0000050	Hypoplastic male external genitalia	EXACT (j=0.67)	Underdevelopment of part or all of the male external reproductive organs (which include the penis, the scrotum and the urethra).			
retarded osseous maturation	4	skeletal							
multiple wormian bones	4	craniofacial	HP:0002645	Wormian bones	NAME (j=0.67)	The presence of extra bones within a cranial suture. Wormian bones are irregular isolated bones which appear in addition to the usual centers of ossification of the cranium.	Irregular, isolated bones in the lambdoidal suture or at the fontanelles.		
neural tube closure defect	4	neuro	HP:0045005	Neural tube defect	NAME (j=0.75)	A neural tube defect arises when the neural tube, the embryonic precursor of the brain and spinal cord, fails to close during neurulation. The cranial region (anencephaly) or the low spine (open spina bifida; myelomeningocele) are most commonly affected although, in the severe NTD craniorachischisis			
rib defects	4	thorax	HP:0030282	Posterior rib gap	EXACT (j=0.67)	Radiolucent focal defect of the posterior portion of a rib shaft. The 'gaps' may lead to flail chest.			
fine sparse hair	4	skin	HP:0002213	Fine hair	NAME (j=0.67)	Hair that is fine or thin to the touch.			
underossified phalanges	4	limbs							
kleeblattschadel anomaly	4	craniofacial						HP:0002676	Cloverleaf skull — synonyme allemand du meme signe
short extremities	4	limbs							
hydropic appearance	4	other							
autism spectrum disorder	4	neuro	HP:0000729	Autistic behavior	RELATED (déclaré par HPO)	Persistent deficits in social interaction and communication and interaction as well as a markedly restricted repertoire of activity and interest as well as repetitive patterns of behavior.	This term can be used to refer to autism spectrum disorder as a phenotypic feature that can be a component of a disease. Autism spectrum disorder range from a severe form, called autistic disorder, to	HP:0000717	Autism — le terme HPO, pas « Autistic behavior »
bulbous nasal tip	4	craniofacial	HP:0000414	Bulbous nose	RELATED (déclaré par HPO)	Increased volume and globular shape of the anteroinferior aspect of the nose.	This is a bundled term, but as it is useful in practice it is kept here. This alteration of size and shape may be limited to the tip, but may involve the lower third of the nose. If only the width of 	HP:0000414	Bulbous nose
carpal tunnel syndrome	4	limbs	HP:0012185	Constrictive median neuropathy	RELATED (déclaré par HPO)	Injury to the median nerve caused by its entrapment at the wrist as it traverses through the carpal tunnel. Clinically, constrictive median neuropathy is characterized by pain, paresthesia, and weakness in the median nerve distribution of the hand.	Constrictive median neuropathy is the major clinical feature of carpal tunnel syndrome.	HP:0012185	Constrictive median neuropathy — le terme HPO
narrow bifrontal diameter	3	craniofacial	HP:0000341	Narrow forehead	EXACT (j=0.50)	Width of the forehead or distance between the frontotemporales is more than two standard deviations below the mean (objective); or apparently narrow intertemporal region (subjective).	A reduced distance between the temporal regions (temples) on each side of the head to one another. Frontotemporalis is a point lateral to the vertical component of the supraorbital ridge, where there 		
wide fontanels	3	craniofacial	HP:0000239	Large fontanelles	EXACT (j=0.67)	In newborns, the two frontal bones, two parietal bones, and one occipital bone are joined by fibrous sutures, which form a small posterior fontanelle, and a larger, diamond-shaped anterior fontanelle. These regions allow for the skull to pass the birth canal and for later growth. The fontanelles gra	There are six membrane-covered openings between the cranial sutures in the incompletely ossified skull of the fetus or newborn infant that normally close sometime after birth (anterior fontanel, crani		
broad thorax	3	thorax							
incomplete rotation of colon	3	abdomen	HP:0002566	Intestinal malrotation	EXACT (j=0.50)	An abnormality of the intestinal rotation and fixation that normally occurs during the development of the gut. This can lead to volvulus, or twisting of the intestine that causes obstruction and necrosis.			
short or webbed neck	3	neck	HP:0000465	Webbed neck	NAME (j=0.67)	Pterygium colli is a congenital skin fold that runs along the sides of the neck down to the shoulders. It involves an ectopic fibrotic facial band superficial to the trapezius muscle. Excess hair-bearing skin is also present and extends down the cervical region well beyond the normal hairline.			
iris heterochromia	3	eyes	HP:0007818	Central heterochromia	EXACT (j=0.67)	The presence of distinct colors in the central (pupillary) zone of the iris than in the mid-peripheral (ciliary) zone.			
brain anomalies	3	neuro							
dimples	3	skin	HP:0000960	Sacral dimple	NAME (j=0.50)	A cutaneous indentation resulting from tethering of the skin to underlying structures (bone) of the intergluteal cleft.			
gastrointestinal defects	3	abdomen	HP:0002012	Abnormality of the abdominal organs	EXACT (j=0.67)	An abnormality of the viscera of the abdomen.	The abdominal organs comprise the stomach, small and large intestines, liver, pancreas, bile tract, and spleen.		
short upslanting palpebral fissures	3	eyes	HP:0000582	Upslanted palpebral fissure	EXACT (j=0.75)	The palpebral fissure inclination is more than two standard deviations above the mean for age (objective); or, the inclination of the palpebral fissure is greater than typical for age.			
short downslanting palpebral fissures	3	eyes	HP:0000494	Downslanted palpebral fissures	EXACT (j=0.75)	The palpebral fissure inclination is more than two standard deviations below the mean.			
colobomata	3	eyes							
porencephaly	3	neuro							
learning disabilities	3	neuro	HP:0001328	Specific learning disability	NAME (j=0.67)	Impairment of certain skills such as reading or writing, coordination, self-control, or attention that interfere with the ability to learn. The impairment is not related to a global deficiency of intelligence.	The term learning disability is used with different meanings in different contexts. Significant impairments of mental functioning with a reduction in IQ below 70 should be coded as mental retardation.		
asymmetry	3	craniofacial	HP:0000267	Cranial asymmetry	NAME (j=0.50)	Asymmetry of the bones of the skull.			
behavior problems	3	neuro							
enamel defects	3	mouth							
moderate to severe intellectual disability	3	neuro	HP:0002342	Moderate intellectual disability	NAME (j=0.75)	Moderate intellectual disability (ID) is defined as a type of ID characterized by moderately sub-average adaptive functioning and intellectual functioning, with an intelligence quotient (IQ) the range of 35-49.			
abnormal ears	3	ears	HP:0000357	Abnormal location of ears	NAME (j=0.67)	Abnormal location of the ear.			
triangular-shaped face	3	craniofacial							
renal defect	3	genitourinary	HP:0000124	Renal tubular dysfunction	EXACT (j=0.67)	Abnormal function of the renal tubule. The basic functional unit of the kidney, the nephron, consists of a renal corpuscle attached to a renal tubule, with roughly 0.8 to 1.5 nephrons per adult kidney. The functions of the renal tubule include reabsorption of water, electrolytes, glucose, and amino 			
abnormal electroencephalograph	3	neuro							
wide sutures	3	craniofacial	HP:0000239	Large fontanelles	NARROW (j=0.67)	In newborns, the two frontal bones, two parietal bones, and one occipital bone are joined by fibrous sutures, which form a small posterior fontanelle, and a larger, diamond-shaped anterior fontanelle. These regions allow for the skull to pass the birth canal and for later growth. The fontanelles gra	There are six membrane-covered openings between the cranial sutures in the incompletely ossified skull of the fetus or newborn infant that normally close sometime after birth (anterior fontanel, crani		
accelerated osseous maturation	3	skeletal	HP:0005616	Accelerated skeletal maturation	NAME (j=0.50)	An abnormally increased rate of skeletal maturation. Accelerated skeletal maturation can be diagnosed on the basis of an estimation of the bone age from radiographs of specific bones in the human body.			
poland sequence	3	limbs							
absence of olfactory bulbs	3	neuro	HP:0001341	Olfactory lobe agenesis	EXACT (j=0.50)				
intrauterine growth deficiency	3	growth	HP:0001510	Growth delay	EXACT (j=0.67)	A deficiency or slowing down of growth pre- and postnatally.	Poor or abnormally slow gains in weight or height in a child.		
decreased range of motion at elbows	3	limbs	HP:0001377	Limited elbow extension	EXACT (j=0.40)	Limited ability to straighten the arm at the elbow joint.			
lateral displacement of inner canthi	3	eyes	HP:0006397	Lateral displacement of patellae	NAME (j=0.40)				
median cleft lip	3	mouth	HP:0000161	Median cleft upper lip	NAME (j=0.75)	A type of cleft lip presenting as a midline (median) gap in the upper lip.			
dacryostenosis	3	eyes							
postnatal onset of short stature	3	growth	HP:0004322	Short stature	NAME (j=0.50)	"A height below that which is expected according to age and gender norms. Although there is no universally accepted definition of short stature, many refer to \""short stature\"" as height more than 2 standard deviations below the mean for age and gender (or below the 3rd percentile for age and gender "			
anal anomalies	3	abdomen							
dilated lateral ventricles	3	neuro	HP:0002119	Ventriculomegaly	EXACT (j=0.67)	An increase in size of the ventricular system of the brain.			
inguinal and umbilical hernia	3	abdomen	HP:0000023	Inguinal hernia	NAME (j=0.67)	Protrusion of the contents of the abdominal cavity through the inguinal canal.	Inguinal hernia appears as a bulge in the groin.		
delayed sexual development	3	genitourinary	HP:0001263	Global developmental delay	EXACT (j=0.67)	A delay in the achievement of motor or mental milestones in the domains of development of a child, including motor skills, speech and language, cognitive skills, and social and emotional skills. This term should only be used to describe children younger than five years of age.	Developmental retardation is any significant lag in development in the any or all of the physical, cognitive, behavioral, emotional, or social spheres. Note that the term intellectual disability (ment		
hyperpigmentation	3	skin	HP:0000953	Hyperpigmentation of the skin	NAME (j=0.50)	A darkening of the skin related to an increase in melanin production and deposition.			
broad first toe	3	limbs	HP:0001837	Broad toe	NAME (j=0.67)	Visible increase in width of the non-hallux digit without an increase in the dorso-ventral dimension.	Note that the girth may be increased in a broad toe, but this must be distinguished from Macrodactyly because in Macrodactyly the length is increased as well. The affected digit should be specified. N		
moebius sequence	3	neuro							
urinary tract defects	3	genitourinary	HP:0000010	Recurrent urinary tract infections	EXACT (j=0.50)	Repeated infections of the urinary tract.	The urinary tract comprises the kidneys, ureters, a bladder, and a urethra.		
high clavicles	3	thorax							
small ilia	3	skeletal							
metaphyseal flare	3	limbs							
neurologic complications	3	neuro							
restricted joint mobility	3	limbs	HP:0001376	Limitation of joint mobility	NAME (j=0.50)	A reduction in the freedom of movement of one or more joints.			
horizontal acetabula	3	skeletal							
pelvic dysplasia	3	skeletal							
choanal stenosis or atresia	3	craniofacial	HP:0200138	Bilateral choanal atresia/stenosis	NAME (j=0.75)				
exposure keratopathy	3	eyes							
limb asymmetry	3	limbs	HP:0100559	Lower limb asymmetry	NAME (j=0.67)	A difference in length or diameter between the left and right leg.			
hypoplastic maxilla	3	craniofacial							
short hands and feet	3	limbs	HP:0001773	Short foot	EXACT (j=0.67)	A measured foot length that is more than 2 SD below the mean for a newborn of 27 - 41 weeks gestation, or foot that is less than the 3rd centile for individuals from birth to 16 years of age (objective). Alternatively, a foot that appears disproportionately short (subjective).			
metaphyseal cupping of the distal ulna	3	skeletal	HP:0003021	Metaphyseal cupping	NAME (j=0.50)	Metaphyseal cupping refers to an inward bulging of the metaphyseal profile giving the metaphysis a cup-like appearance.			
velvety translucent skin	3	skin	HP:0000977	Soft skin	EXACT (j=0.67)	Subjective impression of increased softness upon palpation of the skin.			
rupture	3	heart	HP:0012223	Splenic rupture	NAME (j=0.50)	A breach of the capsule of the spleen.			
intracranial arterial tortuosity	3	neuro	HP:0005116	Arterial tortuosity	NAME (j=0.67)	Abnormal tortuous (i.e., twisted) form of arteries.			
aneurysm of other vessels	3	heart							
submandibular branchial cysts	3	neck	HP:0009796	Branchial cyst	NAME (j=0.67)	A branchial cyst is a remnant of embryonic development resulting from a failure of obliteration of a branchial cleft and consists of a subcutaneous cystic mass. Cysts are located anterior or posterior to the ear or in the submandibular region.	Branchial cyst have to be distinguished from the preauricular cysts and sinuses, which are ectodermal remnants from an aberrant development of the auditory tubercles, tend to be bilateral, and are loc		
vascular malformations	3	skin	HP:0006576	Hepatic vascular malformations	NAME (j=0.67)				
moderate-to-severe intellectual disability	3	neuro	HP:0001249	Intellectual disability	NAME (j=0.67)	The term intellectual disability or intellectual developmental disorder is used to describe significantly sub-average intellectual and adaptive functioning based on clinical assessment and as measured by individually administered, appropriately normed, standardized and validated tests of intellectua	This term should be used for children who are at least five years old. For younger children, consider using the term Global developmental delay (HP:0001263). According to the WHO classification, Disor		
accentuated lumbar lordosis	3	skeletal	HP:0002938	Lumbar hyperlordosis	EXACT (j=0.67)	An abnormal accentuation of the inward curvature of the spine in the lumbar region.			
anterior wedging of vertebral bodies	3	skeletal	HP:0004568	Beaking of vertebral bodies	EXACT (j=0.60)	Anterior tongue-like protrusions of the vertebral bodies.			
short middle and distal phalanges	3	limbs	HP:0005819	Short middle phalanx of finger	EXACT (j=0.75)	Short (hypoplastic) middle phalanx of finger, affecting one or more fingers.			
congenital heart disease	3	heart	HP:0001627	Abnormal heart morphology	EXACT (j=0.50)	Any structural anomaly of the heart.			
genitourinary malformations	3	genitourinary	HP:0000119	Abnormality of the genitourinary system	EXACT (j=0.67)	The presence of any abnormality of the genitourinary system.			
renal cysts	3	genitourinary	HP:0000107	Renal cyst	RELATED (déclaré par HPO)	A fluid filled sac in the kidney.		HP:0000107	Renal cyst — pluriel
ligamentous laxity	3	skeletal	HP:0001382	Joint hypermobility	RELATED (déclaré par HPO)	The capability that a joint (or a group of joints) has to move, passively and/or actively, beyond normal limits along physiological axes.	Synonyms of joint hypermobility (JH) include joint laxity and double-jointedness. In general terms, joint hyperlaxity is often considered a further synonym of JH. JH may be caused by a number of facto	HP:0001382	Joint hypermobility — RELATED layperson
broad flat nasal bridge	3	craniofacial	HP:0000431	Wide nasal bridge	RELATED (déclaré par HPO)	Increased breadth of the nasal bridge (and with it, the nasal root).	Care should be taken to distinguish between increased width of bone and Fullness of paranasal tissue. A wide nasal bridge should be distinguished from Telecanthus and Hypertelorism. A wide nasal bridg		
accessory nipples	3	skin	HP:0002558	Supernumerary nipple	RELATED (déclaré par HPO)	Presence of more than two nipples.			
mild growth deficiency	3	growth	HP:0001530	Mild postnatal growth retardation	RELATED (déclaré par HPO)	A mild degree of slow or limited growth after birth, being between two and three standard deviations below age- and sex-related norms.			
short hands	3	limbs	HP:0004279	Short palm	RELATED (déclaré par HPO)	Short palm.	This term refers to a developmental finding resulting in short palms. This term is reserved for individuals with shortening of all four metacarpals 2-5. Individuals with fewer than four shortened meta	HP:0200055	Small hand — pas « Short palm »
cognitive delays	3	neuro	HP:0001263	Global developmental delay	RELATED (déclaré par HPO)	A delay in the achievement of motor or mental milestones in the domains of development of a child, including motor skills, speech and language, cognitive skills, and social and emotional skills. This term should only be used to describe children younger than five years of age.	Developmental retardation is any significant lag in development in the any or all of the physical, cognitive, behavioral, emotional, or social spheres. Note that the term intellectual disability (ment		
speech difficulties	3	neuro	HP:0000750	Delayed speech and language development	RELATED (déclaré par HPO)	A degree of language development that is significantly below the norm for a child of a specified age.	Language delay can be characterized by a failure to meet the developmental milestones for language development, an inability to follow directions, or slow or incomprehensible speech after the age of t	PARENT:HP:0002167	parapluie ; « delayed speech » serait plus precis que le livre
refractive error	2	eyes							
wide gap between first and second toes	2	limbs	HP:0001852	Sandal gap	EXACT (j=0.83)	A widely spaced gap between the first toe (the great toe) and the second toe.			
auricular septal defect	2	heart	HP:0001671	Abnormal cardiac septum morphology	EXACT (j=0.67)	An anomaly of the intra-atrial or intraventricular septum.			
aberrant subclavian artery	2	heart	HP:0031632	Aberrant right subclavian artery	NAME (j=0.75)	Abnormal origin of the right subclavian artery from the descending aorta. The right subclavian artery normally arises from the brachiocephalic trunk, which divides into the right common carotid artery and right subclavian artery.			
anomalous auricles	2	ears							
feeble fetal activity	2	other	HP:0001558	Decreased fetal movement	EXACT (j=0.50)	An abnormal reduction in quantity or strength of fetal movements.			
low-set auricles	2	ears							
microgyria	2	neuro							
wormian cranial bones	2	craniofacial	HP:0002645	Wormian bones	NAME (j=0.67)	The presence of extra bones within a cranial suture. Wormian bones are irregular isolated bones which appear in addition to the usual centers of ossification of the cranium.	Irregular, isolated bones in the lambdoidal suture or at the fontanelles.		
syndactyly of third and fourth fingers	2	limbs	HP:0010709	2-4 finger cutaneous syndactyly	EXACT (j=0.60)	A soft tissue continuity in the anteroposterior axis between the second (index) to the fourth (ring) finger that extends distally to at least the level of the proximal interphalangeal joints.			
fused vertebrae	2	skeletal	HP:0002948	Vertebral fusion	EXACT (j=0.67)	A developmental defect leading to the union of two adjacent vertebrae.			
anophthalmos	2	eyes	HP:0011478	True anophthalmia	EXACT (j=0.50)	Absence of globe, optic nerve, chiasm and optic tracts. No evidence of ocular tissue on MRI scan or examination.	True anophthalmia implies an early failure of eye development.		
limited elbow supination	2	limbs	HP:0005852	Limited elbow extension and supination	NAME (j=0.75)				
abnormal scapula	2	skeletal	HP:0000782	Abnormal scapula morphology	NAME (j=0.67)	Any abnormality of the scapula, also known as the shoulder blade.			
abnormal sternum	2	skeletal	HP:0000766	Abnormal sternum morphology	NAME (j=0.67)	An anomaly of the sternum, also known as the breastbone.			
subarachnoid cyst	2	neuro							
hypoplastic external genitalia	2	genitourinary	HP:0000050	Hypoplastic male external genitalia	NAME (j=0.75)	Underdevelopment of part or all of the male external reproductive organs (which include the penis, the scrotum and the urethra).			
short webbed neck	2	neck	HP:0000465	Webbed neck	NAME (j=0.67)	Pterygium colli is a congenital skin fold that runs along the sides of the neck down to the shoulders. It involves an ectopic fibrotic facial band superficial to the trapezius muscle. Excess hair-bearing skin is also present and extends down the cervical region well beyond the normal hairline.			
hypoplastic dermal ridges	2	limbs	HP:0009891	Underdeveloped supraorbital ridges	EXACT (j=0.50)	Flatness of the supraorbital portion of the frontal bones.			
patent ductus arteriosis	2	heart	HP:0001643	Patent ductus arteriosus	NAME (j=0.50)	In utero, the ductus arteriosus (DA) serves to divert ventricular output away from the lungs and toward the placenta by connecting the main pulmonary artery to the descending aorta. A patent ductus arteriosus (PDA) in the first 3 days of life is a physiologic shunt in healthy term and preterm newbor			
genitourinary defects	2	genitourinary							
metopic ridging	2	craniofacial	HP:0005487	Prominent metopic ridge	EXACT (j=0.67)	Vertical bony ridge positioned in the midline of the forehead.	The ridge may extend from the hairline to the glabella or may be partial. The frontal suture of the skull is a dense connective tissue structure that divides the two halves of the frontal bone of the 		
ventricular and atrial septal defects	2	heart	HP:0001629	Ventricular septal defect	NAME (j=0.75)	A hole between the two bottom chambers (ventricles) of the heart. The defect is centered around the most superior aspect of the ventricular septum.			
distal axial triradius	2	limbs	HP:0001042	High axial triradius	NAME (j=0.50)				
learning difficulties	2	neuro							
short terminal phalanges	2	limbs	HP:0009803	Short phalanx of finger	EXACT (j=0.67)	Short (hypoplastic) phalanx of finger, affecting one or more phalanges.			
brain malformations	2	neuro							
