organe_llm	signe	n_syndromes	syndromes
bone	marrow between the bony trabeculae is focally fibrotic	2	14.4 Osteogenesis Imperfecta, Type IIC ; P Osteogenesis Imperfecta Syndrome, Type II  (Osteogenesis Imperfecta Congenita, Vrolik Disease)
bone	nonspecific derangement at the chondroosseous junction	1	8.15 Pseudodiastrophic Dysplasia (MIM 264180)
bone	periosteocytic (unmineralized) lesions	1	15.3 Hereditary Rickets (MIM 307800, 193100, 241520, 613312, 241530, 264700, 600081, 277440, 600785, 300554, 612089)
bone	premature maturation of chondrocytes	1	K Metaphyseal Dysplasia, Schmid Type
bone	small islands of metaplastic cartilage in the center of the bone	5	14.2 Osteogenesis Imperfecta, Type I (MIM 116200) ; 14.4 Osteogenesis Imperfecta, Type IIC ; 14.5 Osteogenesis Imperfecta, Type III/IIB (MIM 259420) ; P Osteogenesis Imperfecta Syndrome, Type I  (Autosomal Dominant Osteogenesis Imperfecta, Lobstein Disease)
bone	small islands of metaplastic cartilage in the metaphysis	3	14.2 Osteogenesis Imperfecta, Type I (MIM 116200) ; 14.4 Osteogenesis Imperfecta, Type IIC ; P Osteogenesis Imperfecta Syndrome, Type II  (Osteogenesis Imperfecta Congenita, Vrolik Disease)
bone	spongiotic hypertrophy with thin cortex	1	17.15 Pyle Disease (MIM 265900)
bone	sterile osteomyelitis	1	3.8 CINCA (Chronic Infantile Neurologic Cutaneous and Articular Syndrome) (MIM 607115)
bone	thick primary bone	2	11.2 Ellis Van Creveld Syndrome (MIM 255500) ; K Chondroectodermal Dysplasia (Ellis–van Creveld Syndrome)
bone marrow	abnormal proliferation of myeloid blasts, mostly megakaryoblasts	1	A Down Syndrome (Trisomy 21 Syndrome)
bone marrow	erythroid hypoplasia	1	J Aase Syndrome (Diamond-Blackfan Anemia)
bone marrow	focally fibrotic marrow	1	14.5 Osteogenesis Imperfecta, Type III/IIB (MIM 259420)
bone marrow	focally fibrotic marrow between the bony trabeculae	1	P Osteogenesis Imperfecta Syndrome, Type I  (Autosomal Dominant Osteogenesis Imperfecta, Lobstein Disease)
bone marrow	multinucleated osteoclasts unable to resorb bone	1	16.6 Osteopetrosis with Renal Tubular Acidosis (MIM 259730)
bone marrow	normal or increased numbers of multinucleated osteoclasts unable to resorb bone	1	16.3 Infantile Osteopetrosis (MIM 259700, 259710, 259720, 611490)
brain	abnormal bodies seen in axons and dendrites	1	FAMILLE Mucopolysaccharidoses
brain	abnormally developed temporal lobes	1	1.1 Thanatophoric Dysplasia, Types 1 and 2 (MIM 187600, 187601)
brain	absent or abnormal hypothalamus and neurohypophysis	1	FAMILLE Holoprosencéphalies
brain	brain cytoarchitecture distorted due to extensive loss of neurons and gliosis	1	FAMILLE Mucopolysaccharidoses
brain	degeneration of myelin sheaths in white matter	1	FAMILLE Mucopolysaccharidoses
brain	dysmorphic cells forming clusters scattered in the deep white matter	1	Q Tuberous Sclerosis Syndrome
brain	fibrillary gliosis forming sheaf-like bundles in the subpial zone	1	Q Tuberous Sclerosis Syndrome
brain	heterotopia	1	U Septo-Optic Dysplasia Sequence
brain	inclusion showing a honeycomb or cobblestone appearance	1	FAMILLE Dystroglycanopathies
brain	inclusion showing the typical herringbone pattern	1	FAMILLE Dystroglycanopathies
brain	increased apoptosis	1	Q Sturge-Weber Sequence
brain	increased lipofuscin pigment in cases with prolonged survival	1	FAMILLE Mucopolysaccharidoses
brain	lack of ammon’s horn	1	1.1 Thanatophoric Dysplasia, Types 1 and 2 (MIM 187600, 187601)
brain	neuronal storage most pronounced in head of caudate nucleus and anterior putamen	1	FAMILLE Mucopolysaccharidoses
brain	perikarya strongly pas-positive on frozen sections	1	FAMILLE Mucopolysaccharidoses
brain	pleomorphic inclusions in a glial cell	1	FAMILLE Dystroglycanopathies
brain	proliferation of endothelium	1	Q Sturge-Weber Sequence
brain	severe loss of neurons and gliosis in posterior portion of putamen	1	FAMILLE Mucopolysaccharidoses
brain	storage material consisting of packed concentrically arranged lamellar structures	1	FAMILLE Mucopolysaccharidoses
brain	storage material detected in glial cells	1	FAMILLE Mucopolysaccharidoses
brain	tissue destruction in the distribution of proximal penetrating branches of the middle cerebral arteries	1	U Septo-Optic Dysplasia Sequence
brain parenchyma	melanocytic infiltrate extending into underlying parenchyma through virchow-robin spaces	1	Q Neurocutaneous Melanosis Sequence
brain stem	absent decussation of the pyramids	1	G X-Linked Hydrocephalus Spectrum  (X-Linked Hydrocephalus Syndrome, MASA Syndrome, L1 syndrome)
brain stem	small brain stem	1	G X-Linked Hydrocephalus Spectrum  (X-Linked Hydrocephalus Syndrome, MASA Syndrome, L1 syndrome)
cardiac mitral valve	collagen accumulation responsible for severe fibrosis	3	13.14 Geleophysic Dysplasia (MIM 231050) ; 13.15 Acromicric Dysplasia (MIM 102370) ; K Geleophysic Dysplasia
cartilage	abnormal extracellular matrix with threads of fibrillar material between cystic acellular areas and areas of normal cellularity	3	8.3 Diastrophic Dysplasia (MIM 222600) ; 8.6 Chondrodysplasia with Joint Dislocations, IMPAD1/gPAPP Type (MIM 614078) ; K Diastrophic* Dysplasia (Diastrophic Nanism Syndrome)
cartilage	cartilage matrix abnormalities	2	8.3 Diastrophic Dysplasia (MIM 222600) ; K Diastrophic* Dysplasia (Diastrophic Nanism Syndrome)
cartilage	chondrocytes surrounded by lamellar material forming concentric rings	3	8.3 Diastrophic Dysplasia (MIM 222600) ; 8.6 Chondrodysplasia with Joint Dislocations, IMPAD1/gPAPP Type (MIM 614078) ; K Diastrophic* Dysplasia (Diastrophic Nanism Syndrome)
cartilage	collagen fibers denser around chondrocytes forming collagen rings	1	7.1 Achondrogenesis Type 1A (MIM 200600)
cartilage	cyst-like degeneration of resting cartilage	1	7.11 Dyssegmental Dysplasia (MIM 224400, MIM 244110)
cartilage	disorderly arrangement of hypertrophic chondrocytes	1	1.1 Thanatophoric Dysplasia, Types 1 and 2 (MIM 187600, 187601)
cartilage	hypertrophic chondrocytes in disorderly arrangement	1	K Thanatophoric Dysplasia
cartilage	increase in vessels with perivascular fibrosis	1	4.1 Achondrogenesis II, Hypochondrogenesis (MIM 200610)
cartilage	increase in vessels with perivascular fibrosis in cartilage	1	8.4 Multiple Epiphyseal Dysplasia, Recessive Type (rMED; MIM 226900)
cartilage	non-homogeneous matrix with coarse collagen fibers	1	7.1 Achondrogenesis Type 1A (MIM 200600)
cartilage	paucity of sulfated proteoglycans in cartilage matrix	3	8.3 Diastrophic Dysplasia (MIM 222600) ; 8.6 Chondrodysplasia with Joint Dislocations, IMPAD1/gPAPP Type (MIM 614078) ; K Diastrophic* Dysplasia (Diastrophic Nanism Syndrome)
cartilage	rarified cartilage matrix partially replaced by a larger number of cells	1	7.1 Achondrogenesis Type 1A (MIM 200600)
cartilage	stippled cartilage	4	10.5 Chondrodysplasia Punctata, Brachytelephalangic Type (MIM 302950, 602497) ; 10.7 Chondrodysplasia Punctata, Tibia- Metacarpal Type (MIM 118651) ; K Autosomal Recessive Chondrodysplasia Punctata (Chondrodysplasia Punctata, Rhizomelic Type) ; K Chondrodysplasia Punctata, X-Linked Dominant Type (Conradi-Hünermann Syndrome)
cartilage and bone	punctate calcifications in laryngeal cartilage, sternum, coracoid process of the scapulae, triradiate cartilage, spine, and epiphyses of the hip and shoulder	1	10.5 Chondrodysplasia Punctata, Brachytelephalangic Type (MIM 302950, 602497)
cells	laminated inclusions within the cells	1	FAMILLE Mucopolysaccharidoses
cerebellum	dendrites of cerebellar purkinje cells expanded with storage material	1	FAMILLE Mucopolysaccharidoses
cerebellum	heterotopia of the piriform purkinje cells into the white matter of the cerebellum	1	A Trisomy 18 Syndrome
cerebellum	heterotopias	1	A Trisomy 13 Syndrome (Patau Syndrome)
cerebellum	massive heterotopias in the cerebellum	2	A Trisomy 13 Syndrome (Patau Syndrome) ; FAMILLE Holoprosencéphalies
cerveau	figures apoptotiques	1	FAMILLE Arthrogryposes
cerveau	images d’apoptose	1	FAMILLE Arthrogryposes
cerveau	lésion cavitaire remplie de macrophages	1	FAMILLE Arthrogryposes
cerveau	microgyrie	1	G Zellweger Syndrome (Cerebro-Hepato-Renal Syndrome)
cerveau	neuroblastes à noyaux picnotiques	1	FAMILLE Arthrogryposes
cerveau	substance grise épaisse avec aspect de “double cortex”	1	G Miller-Dieker Syndrome (Lissencephaly Syndrome)
cervelet	dysplasie du cervelet	1	G Neu-Laxova Syndrome
cervelet	perte de la lamination	1	G Neu-Laxova Syndrome
chamber angle	irregular development of the chamber angle	1	A Trisomy 18 Syndrome
chondroosseous junction	distinctive degenerating chondrocytes with perichondrocytic collagen	1	FAMILLE Spranger 8 — diastrophic dysplasia and related conditions and dysplasias 
choroid	diffuse choroidal hemangioma	1	Q Sturge-Weber Sequence
choroid	diffuse choroidal hemangioma in a phthisical eye	1	Q Sturge-Weber Sequence
cochlear nucleus	massive nests of germinal cells in the cochlear nucleus	2	A Trisomy 13 Syndrome (Patau Syndrome) ; FAMILLE Holoprosencéphalies
cornea	microcornea	1	FAMILLE Dystroglycanopathies
cornea	vacuolation conspicuous in corneal epithelial cells	1	FAMILLE Mucopolysaccharidoses
coronary arteries	fibrous tissue that contains vacuolated cells consistent with mucopolysaccharidosis	1	FAMILLE Mucopolysaccharidoses
coronary arteries	intimal proliferation containing glycosaminoglycans	1	FAMILLE Mucopolysaccharidoses
cortex	thick fourth layer made up of neurons of the superficial layer which have stopped their migration	1	G Miller-Dieker Syndrome (Lissencephaly Syndrome)
cortex	thin and paucicellular third layer	1	G Miller-Dieker Syndrome (Lissencephaly Syndrome)
cortex cerebri	ectopie neurogliale	1	G Walker-Warburg Syndrome  (Hard ± E Syndrome, Warburg Syndrome)
cortical bone	cortical bone is hypercellular with large osteocytes	1	14.4 Osteogenesis Imperfecta, Type IIC
cristallin	dégénérescence ballonnisante des fibres cristalliniennes postérieures	1	D Smith-Lemli-Opitz Syndrome
cristallin	désorganisation du cristallin	1	G Neu-Laxova Syndrome
cristallin	liquéfaction des fibres cristalliniennes sous-jacentes	1	D Smith-Lemli-Opitz Syndrome
cristallin	prolifération fibroblastique sous la capsule antérieure du cristallin	1	D Smith-Lemli-Opitz Syndrome
derme	prolifération vasculaire mature faite de capillaires bien différenciés, en nombre accrus dans le derme	1	Q Sturge-Weber Sequence
derme	vascularisation anormale du derme superficiel	1	Q Sturge-Weber Sequence
dermis	membranous ossification in the dermis	1	19.3 Progressive Osseous Heteroplasia (MIM 166350)
dermis	osteoma cutis	1	19.3 Progressive Osseous Heteroplasia (MIM 166350)
dermolipoma	conjunctival epithelium or non-keratinizing squamous epithelium with mainly fat stromal elements	1	V Oculo-Auriculo-Vertebral Spectrum  (First and Second Branchial Arch Syndrome, Facio-Auriculo-Vertebral Spectrum, Hemifacial Microsomia, Goldenhar Syndrome)
epidermis	elongation of the rete pegs	1	Q Multiple Lentigines Syndrome (LEOPARD Syndrome)
epidermis	grains de kératohyaline d'aspect spongiforme	1	FAMILLE Ichtyoses congénitales
epidermis	increased numbers of melanocytes disposed singly along the base of the epidermis	1	Q Multiple Lentigines Syndrome (LEOPARD Syndrome)
eye	abnormally developed chamber angle	1	Q Microphthalmia–Linear Skin Defects Syndrome  (MIDAS Syndrome)
eye	absence of corneal stroma	1	H Fraser Syndrome (Cryptophthalmos Syndrome)
eye	absence of trabecular meshwork	1	H Fraser Syndrome (Cryptophthalmos Syndrome)
eye	aniridia and absence of anterior segment structures	1	H Fraser Syndrome (Cryptophthalmos Syndrome)
eye	cartilaginous choristoma	1	I Lenz Microphthalmia Syndrome
eye	choristomas	1	Q Encephalocraniocutaneous Lipomatosis
eye	cloudy microcornea	1	Q Microphthalmia–Linear Skin Defects Syndrome  (MIDAS Syndrome)
eye	collagenous nodule at the junction of descemet membrane and the trabecular meshwork	1	T Alagille Syndrome (Arteriohepatic Dysplasia)
eye	developmental iris anomalies	1	Q Microphthalmia–Linear Skin Defects Syndrome  (MIDAS Syndrome)
eye	persistent hyaloid artery	1	A Trisomy 18 Syndrome
eye	preretinal glial tissue next to the optic nerve head	1	A 45X Syndrome (XO Syndrome, Turner Syndrome)
eye	prominent collagenous nodule	1	T Alagille Syndrome (Arteriohepatic Dysplasia)
eye	retention of lens nuclei	1	Q Microphthalmia–Linear Skin Defects Syndrome  (MIDAS Syndrome)
eye	retrocorneal membrane	1	Q Microphthalmia–Linear Skin Defects Syndrome  (MIDAS Syndrome)
eye	rudimentary developed chamber angle	1	Q Microphthalmia–Linear Skin Defects Syndrome  (MIDAS Syndrome)
eye	vessels within the corneal stroma	1	Q Microphthalmia–Linear Skin Defects Syndrome  (MIDAS Syndrome)
eye	wedl cells and globules	1	Q Microphthalmia–Linear Skin Defects Syndrome  (MIDAS Syndrome)
fetal organs	lightly staining, eosinophilic intranuclear inclusion bodies in circulating normoblasts and in their precursors in fetal organs	1	FAMILLE Hydrops fetalis non immun
gastrointestinal tract	distinctive interdigitating smooth muscle bundles in a characteristic arborizing (branching tree) appearance throughout the lamina propria	1	Q Peutz-Jeghers Syndrome
germinal matrix	cystic germinal matrix	1	C Microcephalic Primordial Dwarfing Syndromes  (Majewski Osteodysplastic Primordial Dwarfism [MOPD II], Seckel Syndrome, MOPD I)
gonad	increased numbers of immature germ cells expressing plap, pou5f1 and kit	2	A Down Syndrome (Trisomy 21 Syndrome) ; A Trisomy 18 Syndrome
gonad	rapid loss of germ cells after midgestation	1	A 45X Syndrome (XO Syndrome, Turner Syndrome)
growth plate	atypical proliferation and differentiation of chondrocytes	1	12.4 MESOMELIC DYSPLASIA , LANGERTYPE ( MIM 249700 )
growth plate	fibrous disorganization with formation of plump haphazardly arranged bony trabeculae	1	K Thanatophoric Dysplasia
growth plate	hypertrophy of the periphysis with penetration of the growth plate	2	1.1 Thanatophoric Dysplasia, Types 1 and 2 (MIM 187600, 187601) ; K Thanatophoric Dysplasia
growth plate	hypocellular areas containing multinuclear giant cells	1	FAMILLE Spranger 9 — filaminassociated dysplasias dysostoses and related disorder
gut	submucosal supernumerary smooth muscle coat	1	T Mowat-Wilson Syndrome
hair	flattened and twisted hairs	1	G Menkes Syndrome (Menkes Kinky Hair Syndrome)
heart	focal ventricular epicardial lymphocytic infiltrate extending into the superficial myocardium	1	A Down Syndrome (Trisomy 21 Syndrome)
heart	large cells with clear cytoplasm	1	Q Tuberous Sclerosis Syndrome
heart	multiple tiny fat droplets	1	Q Microphthalmia–Linear Skin Defects Syndrome  (MIDAS Syndrome)
heart	myocarditis	1	FAMILLE Hydrops fetalis non immun
heart	nucleus connected by strands of cytoplasm to the cell membrane	1	Q Tuberous Sclerosis Syndrome
heart	pathologic myocardial disarray	1	D Costello Syndrome
heart	rhabdomyoma	1	Q Tuberous Sclerosis Syndrome
heart	spider cells	1	Q Tuberous Sclerosis Syndrome
hypothalamus	hypothalamus dysplasia	1	U Septo-Optic Dysplasia Sequence
inner ear	hypoplasia of the peripheral vestibular system	1	A Down Syndrome (Trisomy 21 Syndrome)
inner ear	much smaller density of vestibular hair cells	1	A Down Syndrome (Trisomy 21 Syndrome)
inner ear	significantly reduced number of scarpa’s ganglion cells	1	A Down Syndrome (Trisomy 21 Syndrome)
intestine	hyaline deposition in the small and large intestine	1	18.2 Hyaline Fibromatosis (MIM 228600)
intestine	hyaline material in the intestine	1	18.2 Hyaline Fibromatosis (MIM 228600)
intestine	intestinal arterial thrombi	1	A Trisomy 13 Syndrome (Patau Syndrome)
iris	focal areas of iris stromal hyperplasia	1	A Down Syndrome (Trisomy 21 Syndrome)
kidney	blastema and 1 or 2 nephron generations visible	1	G Meckel-Gruber Syndrome (Dysencephalia Splanchnocystica)
kidney	cells lining the cysts are large, eosinophilic, with sometimes a multistratified appearance	1	Q Tuberous Sclerosis Syndrome
kidney	complete absence of megalin staining in proximal tubular cells	1	H Donnai-Barrow Syndrome  (Facio-Oculo-Acoustic-Renal Syndrome, DBS/FOAR Syndrome)
kidney	cystic collecting tubules surrounded by fibrotic rings of interstitial tissue	1	Q Tuberous Sclerosis Syndrome
kidney	cystic dilatations from all parts of nephron and collecting ducts	1	G Meckel-Gruber Syndrome (Dysencephalia Splanchnocystica)
kidney	cysts' epithelia are frequently dedifferentiated	1	T Bardet-Biedl Syndrome
kidney	diffuse hyaline thickening of the glomerular basement membrane with many collagen fibrils	1	FAMILLE Spranger 20 — polytopic dysostoses
kidney	dysplastic development of kidneys	1	U Early Urethral Obstruction Sequence  (Prune Belly Syndrome)
kidney	focal segmental glomerulosclerosis	1	7.16 Schimke Immunoosseous Dysplasia (MIM 242900)
kidney	increased number of nephrons	1	F Beckwith-Wiedemann Syndrome  (Exomphalos-Macroglossia-Gigantism Syndrome)
kidney	interstitial fibrosis with focal inflammatory cell infiltrates, tubular atrophy, glomerulosclerosis, and occasional cysts	2	11.6 Cranioectodermal Dysplasia (MIM 218330) ; R Cranioectodermal Dysplasia (Sensenbrenner Syndrome)
kidney	irregular thickening of the glomerular basement membrane with electron-lucent areas giving a mottled "moth-eaten" appearance	1	20.8 Ischio-Pubic-Patellar Dysplasia (MIM 147891)
kidney	irregular thickening of the glomerular basement membrane with electron-lucent areas giving a mottled 'moth-eaten' appearance	3	20.7 Nail-Patella Syndrome (MIM 161200) ; 23.5 Baller-Gerold Syndrome (MIM 218600, 266280) ; N Nail-Patella Syndrome (Hereditary Osteo-Onychodysplasia)
kidney	nephronophthisis with glomerular sclerosis, interstitial fibrosis, and tubular dilatation	1	FAMILLE Spranger 11 — shortrib polydactyly dysplasias
kidney	persistence of normal, non-dilated collecting ducts in the medulla	1	T Bardet-Biedl Syndrome
kidney	presence of collagen-like fibers within the basement membrane and the mesangial matrix	4	20.7 Nail-Patella Syndrome (MIM 161200) ; 20.8 Ischio-Pubic-Patellar Dysplasia (MIM 147891) ; 23.5 Baller-Gerold Syndrome (MIM 218600, 266280) ; N Nail-Patella Syndrome (Hereditary Osteo-Onychodysplasia)
kidney	some degree of renal dysplasia	1	D Smith-Lemli-Opitz Syndrome
lens	lens dislocation	1	P Ehlers-Danlos Syndrome
lens	zonular rupture	1	P Ehlers-Danlos Syndrome
leptomeninges	atypical melanocytic proliferation in the leptomeninges	1	Q Neurocutaneous Melanosis Sequence
leptomeninges	melanocytic infiltrate arranged in nests with scattered melanin pigmentation	1	Q Neurocutaneous Melanosis Sequence
leptomeninges	patchy or diffuse leptomeningeal melanocytic infiltrate	1	Q Neurocutaneous Melanosis Sequence
liver	bile duct proliferation	2	11.6 Cranioectodermal Dysplasia (MIM 218330) ; R Cranioectodermal Dysplasia (Sensenbrenner Syndrome)
liver	marginal ductular transformation	1	T Alagille Syndrome (Arteriohepatic Dysplasia)
liver	moderate portal fibrosis without ductular proliferation	1	T Bardet-Biedl Syndrome
lung	histologically indistinguishable from idiopathic pulmonary arterial hypertension	1	Q Hereditary Hemorrhagic Telangiectasia  (Osler Hemorrhagic Telangiectasia)
lung	lymphangiomyomatosis	1	Q Tuberous Sclerosis Syndrome
lymph node	hyaline deposition in lymph nodes	1	18.2 Hyaline Fibromatosis (MIM 228600)
medial gyri	abnormally placed and crudely shaped hippocampi	1	FAMILLE Holoprosencéphalies
metaphysis	small islands of metaplastic cartilage in the metaphysis	2	14.5 Osteogenesis Imperfecta, Type III/IIB (MIM 259420) ; P Osteogenesis Imperfecta Syndrome, Type I  (Autosomal Dominant Osteogenesis Imperfecta, Lobstein Disease)
midbrain	fused colliculi	1	FAMILLE Holoprosencéphalies
moelle épinière	fragmentation de la chromatine des motoneurones	1	FAMILLE Arthrogryposes
moelle épinière	picnose des motoneurones	1	FAMILLE Arthrogryposes
moelle épinière	turgescence des motoneurones	1	FAMILLE Arthrogryposes
muscle	abnormally small type 1 fibers with abnormally large type 2 fibers	1	G Myotonic Dystrophy Syndrome  (Myotonic Dystrophy Type 1, Steinert Syndrome, Dystrophia Myotonica)
muscle	distinctive “halo” surrounding the periphery of muscle fibers	1	G Myotonic Dystrophy Syndrome  (Myotonic Dystrophy Type 1, Steinert Syndrome, Dystrophia Myotonica)
muscle	loss of type 1 fibers	1	G Myotonic Dystrophy Syndrome  (Myotonic Dystrophy Type 1, Steinert Syndrome, Dystrophia Myotonica)
muscle	prominent lymphocytic infiltrates	1	FAMILLE Laminopathies
muscles abdominaux	atrophie ou hypotrophie cellulaire des muscles	1	U Early Urethral Obstruction Sequence  (Prune Belly Syndrome)
myocardium	hyaline deposition in the myocardium	1	18.2 Hyaline Fibromatosis (MIM 228600)
myocardium	large cells with clear cytoplasm with variable amount of interstitial fibrosis	1	Q Tuberous Sclerosis Syndrome
myocardium	macrovesicular fatty change in the myocytes	1	FAMILLE Glycosylation (CDG)
myocardium	myocardial disarray	1	D Noonan Syndrome
myocardium	vacuolated non-necrotic myocardium	1	A Down Syndrome (Trisomy 21 Syndrome)
neck	multiple irregular spaces with abundant, paucicellular intervening connective tissue	1	A 45X Syndrome (XO Syndrome, Turner Syndrome)
neck	numerous dilated lymphatic spaces	1	A 45X Syndrome (XO Syndrome, Turner Syndrome)
noyaux des paires crâniennes	signes de dégénérescence cellulaire des noyaux des paires crâniennes	1	FAMILLE Arthrogryposes
oral epithelium	lack of periderm cells	1	25.3 Ectrodactyly, Ectodermal Dysplasia, and Cleft Lip/Palate Syndrome (MIM 129900, 604292)
ovary	undifferentiated spindle cell stroma, poor follicle formation	1	FAMILLE Holoprosencéphalies
palms and soles	hyperkeratosis and acanthosis of the palms and soles	1	FAMILLE Ichtyoses congénitales
pancreas	branching and cystically dilated duct-like structures, lined by cuboidal epithelium, surrounded by primitive mesenchyme containing pancreatic acini	1	A Trisomy 18 Syndrome
pancreas	cystic spaces lined by cuboidal to columnar epithelium with variable acini and islets located between the cysts	1	A Trisomy 13 Syndrome (Patau Syndrome)
pancreas	dense or immature connective tissue containing dilated and distorted ducts and sparse or absent acini and islets	1	A Trisomy 18 Syndrome
pancreas	dilated interlobular ducts, filled with eosinic mucus and surrounded by abundant connective tissue	1	G Schinzel-Giedion Syndrome
pancreas	goblet cells in intralobular excretory ducts	1	A Trisomy 13 Syndrome (Patau Syndrome)
pancreas	interstitial parenchymal fibrosis of the pancreas	1	18.2 Hyaline Fibromatosis (MIM 228600)
pancreas	intrapancreatic splenic tissue	1	A Trisomy 13 Syndrome (Patau Syndrome)
pancreas	islet cells with nucleomegaly	2	A Trisomy 13 Syndrome (Patau Syndrome) ; F Beckwith-Wiedemann Syndrome  (Exomphalos-Macroglossia-Gigantism Syndrome)
pancreas	microcysts in the pancreas	1	A Trisomy 13 Syndrome (Patau Syndrome)
pancreas	nodular splenic heterotopias	1	A Trisomy 13 Syndrome (Patau Syndrome)
pancreas	nucleomegaly of endocrine cells	1	F Beckwith-Wiedemann Syndrome  (Exomphalos-Macroglossia-Gigantism Syndrome)
pancreas	pancreatic cysts	1	F Beckwith-Wiedemann Syndrome  (Exomphalos-Macroglossia-Gigantism Syndrome)
pancreas	small aggregates of intralobular ducts lined by columnar cells and goblet cells	1	A Trisomy 13 Syndrome (Patau Syndrome)
papillary muscle	coagulative necrosis of the centre of the papillary muscle	1	A Down Syndrome (Trisomy 21 Syndrome)
parathyroid gland	parathyroid hypoplasia	1	I 22q11.2 Microdeletion Syndrome  (Velo-Cardio-Facial Syndrome, DiGeorge Syndrome, Shprintzen Syndrome)
paroi abdominale	défaut de musculature pariétale abdominale	1	U Early Urethral Obstruction Sequence  (Prune Belly Syndrome)
peau	clarification cytoplasmique	1	FAMILLE Épidermolyses bulleuses
peau	clivage dans les kératinocytes à distance de la membrane cytoplasmique	1	FAMILLE Épidermolyses bulleuses
peau	inflammation du derme superficiel	1	FAMILLE Épidermolyses bulleuses
peau	inflammation du derme superficiel par des éosinophiles	1	Q Incontinentia Pigmenti Syndrome  (Bloch-Sulzberger Syndrome)
pituitary gland	fewer corticotrophs which appear degenerate	1	FAMILLE Holoprosencéphalies
placenta	enlarged, hypovascular villi with immature hematopoietic elements	1	FAMILLE Hydrops fetalis non immun
placenta	fetal capillary proliferative lesions	1	FAMILLE Hydrops fetalis non immun
placenta	hemangioendotheliomas and multiple chorangiomas	1	F Beckwith-Wiedemann Syndrome  (Exomphalos-Macroglossia-Gigantism Syndrome)
placenta	hydropic placenta	1	FAMILLE Hydrops fetalis non immun
placenta	immature cells marking as megakaryoblasts, erythroblasts, or primitive cells	1	A Down Syndrome (Trisomy 21 Syndrome)
placenta	inclusion-bearing cells in syncytium and hofbauer cells	1	5.3 Mucolipidosis II (MIM 252500)
placenta	infiltration with enlarged macrophages	1	U Amnion Rupture Sequence
placenta	intervillous thrombi	1	FAMILLE Hydrops fetalis non immun
