signe_livre	membres	hpo_membres	parent_propose	label_parent	distance	parent_foetal	definition_parent	decision
Missing or hypoplastic toes	Missing toes | hypoplastic toes	HP:0001849+HP:0001831	PARENT:HP:0011297	Abnormal digit morphology	2	oui	A morphological abnormality of a digit, i.e., of a finger or toe.	PARENT:HP:0011297
Fusion or short metatarsals	Fusion metatarsals | short metatarsals	HP:0001440+HP:0010743	PARENT:HP:0001832	Abnormal metatarsal morphology	2	oui	Abnormalities of the metatarsal bones (i.e. of five tubular bones located between the tarsal bones of the hind- and mid-foot and the phalanges of the toes).	PARENT:HP:0001832
Rectovaginal or rectoperineal fistula	Rectovaginal fistula | rectoperineal fistula	HP:0000143+HP:0004792	PARENT:HP:0100590	Rectal fistula	1	oui	The presence of a fistula affecting the rectum.	PARENT:HP:0100590
Hypoplastic or dysplastic kidneys	Hypoplastic kidneys | dysplastic kidneys	HP:0000089+HP:0000110	PARENT:HP:0012210	Abnormal renal morphology	2	oui	Any structural anomaly of the kidney.	PARENT:HP:0012210
Umbilical or inguinal hernias	Umbilical hernias | inguinal hernias	HP:0001537+HP:0000023	PARENT:HP:0004299	Hernia of the abdominal wall	1	oui	The presence of a hernia in the abdominal wall.	PARENT:HP:0004299
Absent or dystrophic nails	Absent nails | dystrophic nails	HP:0001798+HP:0008404	PARENT:HP:0001597	Abnormal nail morphology	2	oui	Abnormal structure or appearance of the nail.	PARENT:HP:0001597
Aplasia or hypoplasia of lacrimal puncta	Aplasia of lacrimal puncta | hypoplasia of lacrimal puncta	HP:0001092+HP:0007892	PARENT:HP:0011479	Abnormal lacrimal punctum morphology	1	oui	An abnormality of the lacrimal punctum, an opening on the eyelid close to the medial canthus that drains tears from the conjunctival sac into the lacrimal duct in the same eyelid.	PARENT:HP:0011479
Malformed or low-set ears	Malformed ears | low-set ears	HP:0000377+HP:0000369	PARENT:HP:0000356	Abnormality of the outer ear	3	oui	An abnormality of the external ear.	PARENT:HP:0000356
Absence or dysgenesis of the corpus callosum	Absence of the corpus callosum | dysgenesis of the corpus callosum	HP:0001274+HP:0006989	PARENT:HP:0001273	Abnormal corpus callosum morphology	3	oui	Abnormality of the corpus callosum.	PARENT:HP:0001273
Short or downslanting palpebral fissures	Short palpebral fissures | downslanting palpebral fissures	HP:0012745+HP:0000494	PARENT:HP:0008050	Abnormality of the palpebral fissures	2	oui	An anomaly of the space between the medial and lateral canthi of the two open eyelids.	PARENT:HP:0008050
Inguinal or axillary freckling	Inguinal freckling | axillary freckling	HP:0030052+HP:0000997	PARENT:HP:0001480	Freckling	1	oui	The presence of an increased number of freckles, small circular spots on the skin that are darker than the surrounding skin because of deposits of melanin.	PARENT:HP:0001480
Narrow or hypoplastic nails	Narrow nails | hypoplastic nails	HP:0011313+HP:0001792	PARENT:HP:0001597	Abnormal nail morphology	2	oui	Abnormal structure or appearance of the nail.	PARENT:HP:0001597
pulmonary or aortic valvular stenosis	pulmonary valvular stenosis | aortic valvular stenosis	HP:0034350+HP:0001650	PARENT:HP:0031653	Abnormal heart valve physiology	3	oui	Any functional abnormality of a cardiac valve.	PARENT:HP:0031653
Sensorineural or conductive deafness	Sensorineural deafness | conductive deafness	HP:0000407+HP:0000405	PARENT:HP:0000365	Hearing impairment	1	non	A decreased magnitude of the sensory perception of sound.	NON
Full or everted lower lip	Full lower lip | everted lower lip	HP:0000179+HP:0000232	PARENT:HP:0000178	Abnormal lower lip morphology	1	oui	An abnormality of the lower lip.	PARENT:HP:0000178
Fine or coarse hair	Fine hair | coarse hair	HP:0002213+HP:0002208	PARENT:HP:0010719	Abnormality of hair texture	1	oui	An abnormality of the texture of the hair.	PARENT:HP:0010719
Conductive or mixed hearing loss	Conductive hearing loss | mixed hearing loss	HP:0000405+HP:0000410	PARENT:HP:0011452	Functional abnormality of the middle ear	2	oui	An abnormality of the function of the middle ear.	NON
Cutaneous or osseous syndactyly of the fingers	Cutaneous syndactyly of the fingers | osseous syndactyly of the fingers	HP:0010554+HP:0010492	PARENT:HP:0006101	Finger syndactyly	1	oui	"Webbing or fusion of the fingers, involving soft parts only or including bone structure. Bony fusions are referred to as \""bony\"" Syndactyly if the fusion occurs in a radio-ulnar axis. Fusions of bones of the fingers in a proximo-distal axis are refe"	PARENT:HP:0006101
Absent or hypoplastic clavicles	Absent clavicles | hypoplastic clavicles	HP:0006660+HP:0000894	PARENT:HP:0006710	Aplasia/Hypoplasia of the clavicles	1	oui	Absence or underdevelopment of the clavicles (collar bones).	PARENT:HP:0006710
Hypoplastic or absent clavicles	Hypoplastic clavicles | absent clavicles	HP:0000894+HP:0006660	PARENT:HP:0006710	Aplasia/Hypoplasia of the clavicles	1	oui	Absence or underdevelopment of the clavicles (collar bones).	PARENT:HP:0006710
Hypertelorism or telecanthus		HP:0000316+HP:0000506						
Strabismus or amblyopia		HP:0000486+HP:0000646		Abnormal eye physiology	4			NON
decreased lacrimation or sweating		HP:0000633+HP:0000975						
Slurred or dysarthric speech		HP:0001350+HP:0001260		Abnormal nervous system physiology	6			NON
Delayed motor development or hypotonia		HP:0001270+HP:0001252						NON
Ossicular or cochlear malformation		HP:0004452+HP:0008554		Abnormal ear morphology	4			
