id	referentiel	entite	role	stade	conforme	label_propose	source	probleme	label_fr
FOETO:PP.PLA-NOR-072	BENIRSCHKE	Plaque basale normale — couches fibrinoïdes (Rohr, Nitabuch)	structure		non_standard	À scinder : « Fibrinoïde de Rohr » (sous-trophoblastique) et « Fibrinoïde de Nitabuch » (déciduo-trophoblastique)	Benirschke, Burton & Baergen, Pathology of the Human Placenta — plaque basale	Libellé composite regroupant deux couches anatomiquement distinctes, déjà présentes séparément dans le vocabulaire.	Fibrine de Rohr et fibrine de Nitabuch
FOETO:PP.PLA-INF-008	AMSTERDAM	Méconium — lésions associées à l'exposition méconiale	manifestation		oui		Khong 2016, méconium (macrophages chargés de méconium, altérations amniotiques)		Dégénérescence de l'épithélium amniotique par le méconium
FOETO:PP.PLA-INF-009	HORS_REFERENTIEL		manifestation		non_standard	Dépôt de C4d du syncytiotrophoblaste (marqueur immunohistochimique)		Marqueur immunohistochimique adjuvant (intervillite chronique histiocytaire, MPFD) : aucun référentiel ne le codifie comme lésion morphologique ; le libellé mêle l'axe technique à l'axe lésionnel.	Dépôt de C4d dans les villosités (immunohistochimie)
FOETO:PP.PLA-INF-010	AMSTERDAM	Méconium — lésions associées à l'exposition méconiale	manifestation		non_standard	Macrophages chargés de méconium (chorion des membranes)	Khong 2016, méconium	« Dépôt de méconium » est imprécis : le critère reconnu est la présence de macrophages chargés de pigment méconial.	Dépôt de méconium dans le chorion
FOETO:PP.PLA-INF-011	AMSTERDAM	AI — réponse inflammatoire fœtale (FIR) stade 3	stade	FIR stade 3	non_standard	Funisite nécrosante (FIR stade 3)	Khong 2016, infection amniotique — FIR stade 3	Orthographe retenue par le consensus : « funisite » et non « funiculite ».	Funiculite nécrosante (stade 3 réponse fœtale)
FOETO:PP.PLA-INF-012	BENIRSCHKE	Funisite candidosique (Candida albicans) à micro-abcès périphériques	synonyme		non_standard	Funisite périphérique à micro-abcès (candidose)	Benirschke, Burton & Baergen — infections fongiques du cordon (Candida)	Doublon de contenu avec « Microabcès sous-amniotiques du cordon (Candida) » ; orthographe « funisite ».	Funiculite périphérique à micro-abcès (candidose)
FOETO:PP.PLA-INF-013	AMSTERDAM	AI — réponse inflammatoire fœtale (FIR), funisite aiguë	synonyme		non_standard	Funisite aiguë	Khong 2016, infection amniotique — FIR (orthographe « funisite »)	Latinisme « funisitis » explicitement écarté par le consensus d'Amsterdam.	Funisitis aiguë
FOETO:PP.PLA-INF-014	AMSTERDAM	CHI — intervillite chronique histiocytaire	synonyme		non_standard	Intervillite chronique histiocytaire (CHI)	Khong 2016, lésions inflammatoires chroniques — CHI	« Histiocytose intervillositaire » n'est pas la forme retenue ; doublon de contenu avec les autres libellés de CHI du vocabulaire.	Histiocytose intervillositaire chronique
FOETO:PP.PLA-INF-015	BENIRSCHKE	Réaction histiocytaire chronique du chorion (hyperplasie histiocytaire chorionique)	manifestation		non_standard	Hyperplasie histiocytaire du chorion	Benirschke, Burton & Baergen — lésions inflammatoires chroniques des membranes	Lésion descriptive non codifiée par Amsterdam ; granularité et signification diagnostique incertaines.	Hyperplasie histiocytaire chorionique
FOETO:PP.PLA-INF-016	BENIRSCHKE	Villite à cytomégalovirus (CMV)	critere		non_standard	Inclusions virales cytomégaliques (cellules en œil de hibou) des cellules villositaires	Benirschke, Burton & Baergen — villites à étiologie identifiée, CMV	Siège placentaire non précisé ; recouvre le même contenu que « Inclusions virales intranucléaires et intracytoplasmiques dans les villosités (CMV) ».	Inclusions cytomégalovirus placentaires (cellules en œil de hibou)
FOETO:PP.PLA-INF-017	BENIRSCHKE	Placentite / villite herpétique (HSV)	critere		non_standard	Inclusions virales herpétiques dans le trophoblaste et la décidue	Benirschke, Burton & Baergen — villites à étiologie identifiée, HSV	« Caduque » est un terme vieilli ; libellé à deux sièges.	Inclusions herpétiques dans le trophoblaste/caduque
FOETO:PP.PLA-INF-018	BENIRSCHKE	Villite à cytomégalovirus (CMV)	critere		oui		Benirschke, Burton & Baergen — villites à étiologie identifiée, CMV		Inclusions virales intranucléaires et intracytoplasmiques dans les villosités (CMV)
FOETO:PP.PLA-INF-019	BENIRSCHKE	Villite aiguë / intervillite aiguë à micro-abcès d'origine hématogène (listériose)	critere		oui		Benirschke, Burton & Baergen — infections hématogènes bactériennes (Listeria monocytogenes)	Libellé additionnant deux sièges (intervilleux et intravillositaire) sans préciser l'étiologie ; recouvre en partie « Micro-abcès placentaires en cocarde (listériose) ».	Infiltrat neutrophilique intervillositaire et intravillositaire (microabcès)
FOETO:PP.PLA-INF-020	BENIRSCHKE	Villite chronique plasmocytaire (évocatrice de CMV)	critere		oui		Benirschke, Burton & Baergen — villites à étiologie identifiée, villite plasmocytaire à CMV	Doublon partiel avec « Villite chronique lympho-plasmocytaire » ; un contingent plasmocytaire exclut le cadre de la VUE.	Infiltrat plasmocytaire villositaire
FOETO:PP.PLA-NOR-041	BENIRSCHKE	Anatomie normale — colonnes trophoblastiques d'ancrage	structure		oui		Benirschke, Burton & Baergen, Pathology of the Human Placenta — cytotrophoblaste extravilleux, colonnes d'ancrage		Colonnes de cytotrophoblaste extravilleux (colonnes d'ancrage)
FOETO:PP.PLA-NOR-042	BENIRSCHKE	Anatomie villositaire normale — contour villositaire	structure		oui		Benirschke, Burton & Baergen, Pathology of the Human Placenta — morphologie villositaire normale		Contours villositaires lisses
FOETO:PP.PLA-INF-038	AMSTERDAM	FIR stade 1 — vascularite choriale / phlébite ombilicale	critere	FIR stade 1	non_standard	Vascularite choriale (FIR stade 1)	Khong 2016, inflammation aiguë — réponse inflammatoire fœtale	« Vaisseaux allanto-choriaux » n'est pas la dénomination Amsterdam (vaisseaux choriaux) ; le libellé accole la lésion et son stade.	Vascularite des vaisseaux allanto-choriaux (réponse fœtale stade 1)
FOETO:PP.PLA-INF-039	AMSTERDAM	Vascularite fœtale éosinophile / à cellules T (ETCV)	synonyme		oui		Khong 2016, lésions inflammatoires chroniques — eosinophilic/T-cell chorionic vasculitis		Vasculite chorionique éosinophilique/à cellules T
FOETO:PP.PLA-INF-040	AMSTERDAM	Réponse inflammatoire fœtale (FIR) — infection amniotique	critere		non_standard	Vascularite choriale et vascularite ombilicale (FIR)	Khong 2016, inflammation aiguë — réponse inflammatoire fœtale	Libellé composite réunissant deux sièges qui relèvent de stades FIR différents (choriale = stade 1, ombilicale artérielle = stade 2), donc non stadable tel quel.	Vasculite des vaisseaux chorioniques et ombilicaux
FOETO:PP.PLA-INF-041	AMSTERDAM	VUE — villite chronique d'étiologie indéterminée	synonyme		non_standard	Villite chronique d'étiologie indéterminée (VUE)	Khong 2016, lésions inflammatoires chroniques — VUE	Doublon de « Villite chronique d'étiologie inconnue (VCEI) » : une seule forme doit être retenue.	Villite d'étiologie inconnue
FOETO:PP.PLA-INF-042	AMSTERDAM	VUE — villite chronique d'étiologie indéterminée	critere		erreur	Villite chronique	Khong 2016, lésions inflammatoires chroniques — villite chronique	« Villosite » est une graphie fautive de villite ; de plus le terme générique sans étiologie ni grade fait doublon avec la VUE.	Villosite chronique
FOETO:PP.PLA-INF-043	BENIRSCHKE	Villite / infection placentaire à parvovirus B19	critere		oui		Benirschke, Burton & Baergen — infection à parvovirus B19 (inclusions intranucléaires des érythroblastes)	Le siège précis (érythroblastes des capillaires villositaires fœtaux) n'est pas explicité par le libellé.	Érythroblastes à inclusion intranucléaire Parvovirus B19 (placentaire)
FOETO:PP.PLA-MAL-001	AMSTERDAM	Amnios nodosum	synonyme		oui		Khong 2016, membranes — amnion nodosum	Duplique « Amnios nodosum » par simple ajout d'un siège (membrane de séparation gémellaire) ; le siège devrait rester une facette.	Amnios nodosum (membrane de séparation gémellaire)
FOETO:PP.PLA-MAL-002	GEMELLAIRE	Anastomoses vasculaires du placenta monochorionique — anastomose artério-artérielle	structure		oui		Lewi/Khalil, angioarchitecture monochorioniale ; Slaghekke (TAPS)		Anastomose artério-artérielle (placenta gémellaire)
FOETO:PP.PLA-MAL-003	GEMELLAIRE	Anastomoses vasculaires du placenta monochorionique — anastomose artério-veineuse profonde	structure		oui		Lewi/Khalil, angioarchitecture monochorioniale ; Quintero (TTTS)		Anastomose artério-veineuse profonde (placenta gémellaire)
FOETO:PP.PLA-MAL-004	GEMELLAIRE	Anastomoses vasculaires du placenta monochorionique — anastomose veino-veineuse	structure		oui		Lewi/Khalil, angioarchitecture monochorioniale		Anastomose veino-veineuse (placenta gémellaire)
FOETO:PP.PLA-MAL-005	AMSTERDAM	Artère ombilicale unique	synonyme		non_standard	Artère ombilicale unique	Khong 2016, cordon ombilical — single umbilical artery	Duplication d'un terme existant par ajout d'un contexte clinique (grossesse gémellaire) qui n'est pas un axe morphologique.	Artère ombilicale unique (grossesse gémellaire)
FOETO:PP.PLA-MAL-006	BENIRSCHKE	Calcifications placentaires (dépôts calciques dégénératifs)	manifestation		oui		Benirschke, Burton & Baergen — calcifications placentaires et vasculaires		Calcification vasculaire placentaire (veines choriales)
FOETO:PP.PLA-MAL-007	BENIRSCHKE	Calcifications du cordon ombilical	manifestation		oui		Benirschke, Burton & Baergen — cordon ombilical, calcifications dystrophiques		Calcifications du cordon ombilical
FOETO:PP.PLA-VAS-004	AMSTERDAM	FVM — malperfusion vasculaire fœtale, forme segmentaire	critere		oui		Khong 2016, FVM — intramural fibrin deposition	« grands vaisseaux placentaires » ne distingue pas vaisseaux de la plaque choriale et vaisseaux de villosités tronculaires, alors que le comptage des thrombus les sépare	Dépôt de fibrine intramural dans les grands vaisseaux placentaires
FOETO:PP.PLA-VAS-005	AMSTERDAM	MPFD / MFI — dépôt massif de fibrinoïde périvillositaire	synonyme		non_standard	Dépôt massif de fibrinoïde périvillositaire (MPFD)	Khong 2016, MPFD/MFI	Libellé composite : mêle la lésion élémentaire (fibrinoïde périvillositaire) et l'entité nommée « infarctus du plancher maternel », et écrit « fibrine » là où Amsterdam parle de fibrinoïde ; doublonne avec les autres entrées MPFD/NIDF du vocabulaire	Dépôt de fibrine périvillositaire massive (infarctus du plancher maternel)
FOETO:PP.PLA-RET-014	BENIRSCHKE	Altérations post-mortem du placenta (rétention in utero, datation de Genest)	manifestation		non_standard	Aspect pseudo-prolifératif du cytotrophoblaste villositaire après mort fœtale	Benirschke & Baergen, changements après mort fœtale in utero	« réactionnelle » et « post-mortem » sont contradictoires ; siège du cytotrophoblaste (villositaire vs extravilleux) non précisé et lésion non décrite comme telle dans la littérature de datation	Prolifération cytotrophoblastique réactionnelle post-mortem
FOETO:PP.PLA-RET-015	BENIRSCHKE	Altérations post-mortem du placenta (rétention in utero)	manifestation		oui		Fox & Sebire, pseudo-vasculitis du cordon après mort fœtale	Terme par analogie : désigne un artefact trompeur (caryorrhexie/débris pariétaux) et non une lésion inflammatoire ; à ne pas coder comme vascularite	Pseudovasculite du cordon ombilical
FOETO:PP.PLA-RET-016	BENIRSCHKE	Altérations post-mortem du placenta (datation de Genest)	manifestation		non_standard	Oblitération luminale fibroblastique multifocale des vaisseaux de villosités souches (rétention in utero)	Genest 1992, datation des lésions placentaires après mort fœtale	Libellé composite (deux lésions accolées) portant en outre une mention éponymique non factorisable ; fait doublon avec PP.PLA-RET-017	Septation fibroblastique et obliteration luminale des vaisseaux villositaires souches (multifocal) (Genest)
FOETO:PP.PLA-RET-017	BENIRSCHKE	Altérations post-mortem du placenta (datation de Genest)	manifestation		non_standard	Septation fibroblastique multifocale des vaisseaux de villosités souches (rétention in utero)	Genest 1992, datation des lésions placentaires après mort fœtale	« Septoïsation » est un néologisme ; le siège vasculaire est porté par la facette mais absent du libellé ; doublon de PP.PLA-RET-016	Septoïsation fibroblastique villositaire multifocale
FOETO:PP.PLA-TUM-001	BENIRSCHKE	Tumeurs placentaires non trophoblastiques — adénome hépatocellulaire	synonyme		oui		Benirschke, Burton & Baergen, tumeurs du placenta (tissu hépatique ectopique et adénome hépatocellulaire)		Adénome hépatocellulaire placentaire
FOETO:PP.PLA-TUM-002	BENIRSCHKE	Chorangiome	manifestation		oui		Benirschke, Burton & Baergen, chorangiome (remaniements dégénératifs : calcification, thrombose, infarctus)		Calcification d'un chorangiome
FOETO:PP.PLA-TUM-003	BENIRSCHKE	Métastases maternelles au placenta	manifestation		non_standard	Cellules tumorales maternelles dans l'espace intervilleux	Benirschke, Burton & Baergen, atteinte placentaire des néoplasies maternelles	Libellé fourre-tout : « cellules anormales » ne précise ni la nature ni l'origine (maternelle tumorale, histiocytaire, hématopoïétique)	Cellules anormales dans l'espace intervillositaire
FOETO:PP.PLA-TUM-004	BENIRSCHKE	Métastases fœtales au placenta	critere		oui		Benirschke, Burton & Baergen, tumeurs fœtales métastatiques au placenta (neuroblastome, leucémie exclue)		Cellules tumorales non hématopoïétiques dans la circulation fœtale placentaire
FOETO:PP.PLA-TUM-005	BENIRSCHKE	Chorangiocarcinome	synonyme		oui		Benirschke, Burton & Baergen, chorangiocarcinome		Chorangiocarcinome placentaire
FOETO:PP.PLA-TUM-006	BENIRSCHKE	Chorangiome — variante avec prolifération trophoblastique (chorangiocarcinome)	manifestation		oui		Benirschke, Burton & Baergen, chorangiome atypique / chorangiocarcinome	Granularité limite : recouvre partiellement l'entité chorangiocarcinome codée séparément (PP.PLA-TUM-005)	Chorangiome avec prolifération trophoblastique
FOETO:PP.PLA-TUM-007	BENIRSCHKE	Chorangiome	manifestation		oui		Benirschke, Burton & Baergen, variantes histologiques du chorangiome (cellulaire, myxoïde/dégénératif)		Chorangiome myxoïde
FOETO:PP.PLA-TUM-008	BENIRSCHKE	Chorangiome	manifestation		oui		Benirschke, Burton & Baergen, variantes histologiques du chorangiome (dégénérescence fibreuse du stroma)		Chorangiome à stroma fibreux
FOETO:PP.PLA-TUM-009	AMSTERDAM	Chorangiose	manifestation		oui		Khong 2016, chorangiose (seuil 10/10/10) ; Altshuler 1984, chorangiose focale / segmentaire / diffuse	Le qualifieur « focale » relève de la gradation d'Altshuler et non du seuil quantitatif diffus d'Amsterdam : granularité hétérogène avec l'entrée « Chorangiose placentaire »	Chorangiose focale
FOETO:PP.VAC-VAS-002	AMSTERDAM	FVM — malperfusion vasculaire fœtale	synonyme		obsolete	Malperfusion vasculaire fœtale (FVM), atteinte des vaisseaux allanto-choriaux	Khong 2016, FVM (remplace « endovasculite hémorragique »)	Terminologie explicitement abandonnée par le consensus d'Amsterdam au profit de FVM.	Endovasculite hémorragique allanto-choriale
FOETO:PP.VAC-VAS-003	AMSTERDAM	FVM — malperfusion vasculaire fœtale globale (obstruction partielle)	critere		oui		Khong 2016, FVM — global : ectasie vasculaire		FVM — Ectasie vasculaire choriale
FOETO:PP.PLA-INF-023	BENIRSCHKE	Villite/placentite à étiologie identifiée — toxoplasmose	critere		oui		Benirschke, Burton & Baergen, Infectious diseases — Toxoplasmosis (pseudokystes à bradyzoïtes)		Kystes toxoplasmiques placentaires
FOETO:PP.PLA-INF-024	AMSTERDAM	Méconium — macrophages chargés de méconium	critere		oui		Khong 2016, meconium-laden macrophages		Macrophages chargés de méconium (membranes)
FOETO:PP.PLA-INF-025	BENIRSCHKE	Placentite à étiologie identifiée — listériose	critere		oui		Benirschke, Burton & Baergen, Listeria monocytogenes (micro-abcès villositaires)		Micro-abcès placentaires en cocarde (listériose)
FOETO:PP.PLA-INF-026	BENIRSCHKE	Funisite candidosique (Candida albicans)	critere		oui		Benirschke, Burton & Baergen, Candida funisitis (micro-abcès périphériques du cordon)		Microabcès sous-amniotiques du cordon (Candida)
FOETO:PP.PLA-INF-027	HORS_REFERENTIEL		hors		non_standard	Modifications réactives/dégénératives de l'épithélium amniotique (préciser : méconium, dégénérescence ballonnisante, métaplasie)		Libellé fourre-tout non spécifique : la nature des modifications n'est pas précisée, aucun référentiel ne code un tel item générique.	Modifications réactives de l'épithélium amniotique
FOETO:PP.PLA-INF-028	AMSTERDAM	Méconium — myonécrose des vaisseaux ombilicaux (MAVM)	critere		oui		Khong 2016, meconium-associated vascular myonecrosis		Myonécrose vasculaire ombilicale induite par le méconium
FOETO:PP.PLA-INF-029	AMSTERDAM	Méconium — dépôt/pigment méconial	manifestation		oui		Khong 2016, meconium-associated changes		Méconium subamniotique
FOETO:PP.PLA-INF-030	BENIRSCHKE	Métaplasie malpighienne de l'amnios (variante non pathologique)	structure		oui		Benirschke, Burton & Baergen, amnion — squamous metaplasia		Métaplasie malpighienne de l'épithélium du cordon ombilical
FOETO:PP.PLA-INF-031	AMSTERDAM	Méconium — myonécrose des vaisseaux ombilicaux (MAVM)	critere		non_standard	Myonécrose vasculaire associée au méconium (MAVM)	Khong 2016, meconium-associated vascular myonecrosis	Doublon de PP.PLA-INF-028 / MAVM, avec un siège composite (cordon + plaque choriale) mêlant deux localisations dans un même libellé.	Nécrose musculaire vasculaire méconique (cordon/surface placentaire)
FOETO:PP.PLA-INF-032	BENIRSCHKE	Villite/placentite infectieuse par voie hématogène (étiologie identifiée)	synonyme		oui		Benirschke, Burton & Baergen, hematogenous (transplacental) infections		Placentite hématogène
FOETO:PP.PLA-INF-033	AMSTERDAM	Déciduite chronique	manifestation		oui		Khong 2016, chronic deciduitis (infiltrats lymphoplasmocytaires périvasculaires)		Périvasculite chronique déciduale
FOETO:PP.PLA-INF-034	BENIRSCHKE	Réaction giganto-cellulaire à corps étranger au vernix	manifestation		oui		Benirschke, Burton & Baergen, vernix (foreign body) reaction	Le siège inclut le myomètre, hors compartiment placentaire déclaré.	Réaction à corps étranger au vernix (décidua/myomètre)
FOETO:PP.PLA-INF-035	BENIRSCHKE	Villite infectieuse à étiologie identifiée (CMV, syphilis) — œdème stromal et hyperplasie des cellules de Hofbauer	manifestation		non_standard	Œdème du stroma villositaire / Hyperplasie des cellules de Hofbauer (deux items distincts)	Benirschke, Burton & Baergen, chronic infectious villitis — stromal edema, Hofbauer cell hyperplasia	Libellé composite associant deux lésions élémentaires distinctes (œdème stromal et hyperplasie histiocytaire) qui existent déjà séparément dans le vocabulaire.	Stroma villositaire œdémateux avec augmentation des cellules de Hofbauer
FOETO:PP.PLA-NOR-191	BENIRSCHKE	Anatomie normale — villosité d'ancrage (colonne trophoblastique)	structure		oui		Benirschke, Burton & Baergen, Anatomy of the normal placenta — anchoring villi		Villosité d'ancrage
FOETO:PP.PLA-NOR-192	VOGEL	Maturation villositaire normale — villosité intermédiaire immature	structure		oui		Vogel, Clinical Pathology of the Placenta — typologie villositaire (villosités intermédiaires immatures)	Doublon de forme avec « Villosités intermédiaires immatures » et « Villosités intermédiaires immatures — aspect histologique ».	Villosité intermédiaire immature
FOETO:PP.PLA-VAS-006	AMSTERDAM	MPFD — dépôt massif de fibrinoïde périvillositaire	manifestation		oui		Khong 2016, massive perivillous fibrin(oid) deposition	Terme non quantifié : seul le caractère massif (≥ 25-50 % d'une coupe) est diagnostique, un dépôt périvillositaire isolé étant physiologique.	Dépôt périvillositaire de fibrinoïde
FOETO:PP.PLA-VAS-007	AMSTERDAM	FVM — malperfusion vasculaire fœtale, forme globale (obstruction partielle)	critere		obsolete	FVM — ectasie vasculaire des vaisseaux de villosités tronculaires	Khong 2016, FVM (vascular ectasia ; remplace « vasculopathie thrombotique fœtale »)	Le libellé conserve l'acronyme obsolète VTF et une pseudo-gradation « stade précoce » qui n'existe dans aucun référentiel.	Ectasie vasculaire des troncs villositaires (VTF stade précoce)
FOETO:PP.PLA-VAS-008	AMSTERDAM	FVM — malperfusion vasculaire fœtale, forme globale (obstruction partielle)	critere		non_standard	FVM — ectasie vasculaire des vaisseaux fœtaux (préciser : plaque choriale ou villosité tronculaire)	Khong 2016, FVM (vascular ectasia)	Siège fœtal non précisé, ce qui empêche la distinction avec « FVM — ectasie vasculaire choriale » et « ectasie des troncs villositaires » présents par ailleurs dans le vocabulaire.	Ectasie vasculaire fœtale placentaire
FOETO:PP.PLA-VAS-009	AMSTERDAM	MPFD — dépôt massif de fibrinoïde périvillositaire	manifestation		non_standard	Fibrinoïde périvillositaire augmenté	Khong 2016, increased perivillous fibrin(oid)	« Fibrine intervilleuse » désigne en réalité le fibrinoïde périvillositaire ; doublon avec « Fibrine périvillositaire augmentée » et « Fibrinoïde périvillositaire ».	Fibrine intervilleuse augmentée
FOETO:PP.PLA-VAS-010	REDLINE	FVM haut grade — foyers de villosités avasculaires	critere		non_standard	Foyers étendus de villosités avasculaires (≥ 45 villosités par foyer)	Redline 2004 ; Khong 2016, FVM grading (haut grade : ≥ 45 villosités avasculaires en moyenne ou ≥ 2 foyers de ≥ 45)	Quantification qualitative (« grands foyers ») sans le seuil chiffré qui définit le grade ; granularité incohérente avec « Petits foyers de villosités avasculaires ».	Grands foyers de villosités avasculaires
FOETO:PP.PLA-VAS-011	AMSTERDAM	MVM — hématome intraplacentaire arrondi (« infarction hematoma »)	manifestation		obsolete	Hématome intraplacentaire arrondi (rounded intraplacental hematoma)	Khong 2016, gross lesions — rounded intraplacental hematoma (anciennement infarction hematoma)	Libellé composite hématome + infarctus, terminologie remplacée par « hématome intraplacentaire arrondi » ; ni siège ni ancienneté précisés.	Hématome d'infarction placentaire
FOETO:PP.PLA-VAS-012	BENIRSCHKE	Hématome du cordon ombilical	synonyme		oui		Benirschke, Burton & Baergen, Umbilical cord — cord hematoma		Hématome du cordon ombilical
FOETO:PP.PLA-VAS-013	AMSTERDAM	MVM — hématome rétroplacentaire (abruptio placentae)	critere		oui		Khong 2016, MVM — macroscopie (retroplacental hematoma)	Doublon avec « Hématome rétroplacentaire », « Hémorragie rétroplacentaire » et « Hématome décidual basal ».	Hématome décidual basal (hématome rétroplacentaire)
FOETO:PP.PLA-VAS-014	AMSTERDAM	Hématome marginal (décollement marginal)	manifestation		oui		Khong 2016, gross lesions — marginal hematoma	Doublon strict avec « Hématome marginal placentaire ».	Hématome décidual marginal
FOETO:PP.PLA-VAS-015	AMSTERDAM	Hématome marginal (décollement marginal)	manifestation		non_standard	Hématome marginal (décollement marginal)	Khong 2016, gross lesions — marginal hematoma	Doublon strict avec « Hématome décidual marginal » : un seul libellé doit être retenu.	Hématome marginal placentaire
FOETO:PP.PLA-VAS-016	AMSTERDAM	Hématome sous-chorionique	manifestation		oui		Khong 2016, gross lesions — subchorionic hematoma / massive subchorionic thrombohematoma	Recouvrement partiel avec « Thrombohématome sous-chorial » et « Thrombose sous-choriale massive (môle de Breus) » : la forme massive doit rester distincte.	Hématome sous-chorionique
FOETO:PP.PLA-VAS-017	AMSTERDAM	MVM — hématome rétroplacentaire (abruptio placentae)	critere		non_standard	Hématome rétroplacentaire	Khong 2016, MVM — macroscopie (retroplacental hematoma)	« Hémorragie rétroplacentaire » fait doublon avec les libellés d'hématome rétroplacentaire ; le terme consacré est hématome.	Hémorragie rétroplacentaire
FOETO:PP.PLA-VAS-018	BENIRSCHKE	Hématome / hémorragie sous-amniotique	manifestation		oui		Benirschke, Burton & Baergen, Subamniotic hematoma (le plus souvent traumatique, lié à la délivrance)	Lésion le plus souvent artefactuelle per-partum : l'absence de mention de ce caractère peut faire surinterpréter le signe.	Hémorragie sous-amniotique
FOETO:PP.PAR-VAS-011	BENIRSCHKE	Hémorragie intravillositaire	synonyme		oui		Benirschke, Burton & Baergen, Pathology of the Human Placenta — intravillous hemorrhage	Lésion non codée par Amsterdam ; à ne pas confondre avec le thrombus intervilleux.	Hémorragie intravillositaire
FOETO:PP.PAR-VAS-012	AMSTERDAM	MVM — infarctus	critere		oui		Khong 2016, MVM (villous infarct)		Infarctus villositaire
