id	niveau	lesion	site	qualifieurs	pattern	compartiment	label_fr	doute
FOETO:PP.PLA-NOR-016	element	augmentation de l'index prolifératif des cytotrophoblastes	villosité			placenta	Augmentation de l'index prolifératif des cytotrophoblastes villositaires	
FOETO:PP.PLA-NOR-017	element	augmentation de la densité des cytotrophoblastes	villosité			placenta	Augmentation de la densité des cytotrophoblastes villositaires	
FOETO:PP.PLA-NOR-018	element	augmentation de la surface villositaire	villosité	totale		placenta	Augmentation de la surface villositaire totale	
FOETO:PP.PLA-NOR-019	element	augmentation des cellules trophoblastiques géantes	site d'implantation			placenta	Augmentation des cellules trophoblastiques géantes du site d'implantation	
FOETO:PP.PLA-NOR-020	element	augmentation des nœuds syncytiaux	villosité avasculaire			placenta	Augmentation des nœuds syncytiaux dans les villosités avasculaires	
FOETO:PP.PLA-NOR-021	structure		bourgeon syncytial			placenta	Bourgeon syncytial / bourgeon trophoblastique	libellé à double dénomination (syncytial / trophoblastique) pour un même repère architectural
FOETO:PP.PLA-NOR-022	structure		bourgeon syncytial			placenta	Bourgeons syncytiaux	
FOETO:PP.PLA-NOR-023	structure		bourgeon vasculaire endothélial villositaire			placenta	Bourgeons vasculaires endothéliaux villositaires	
FOETO:PP.PLA-NOR-024	structure		bourgeon villositaire			placenta	Bourgeons villositaires (villosité sprout)	
FOETO:PP.PLA-NOR-025	element	calcification	placenta			placenta	Calcifications placentaires	
FOETO:PP.PLA-NOR-026	element	calcification	placenta	absente ou rare		placenta	Calcifications placentaires absentes ou rares	libellé exprimant une absence/rareté (constat négatif) et non une lésion présente
FOETO:PP.PLA-NOR-027	structure		canal stromal villositaire			placenta	Canaux stromaux villeux	
FOETO:PP.COR-MAL-001	entite	insertion vélamenteuse du cordon	cordon ombilical			cordon	Insertion vélamenteuse du cordon ombilical	
FOETO:PP.COR-MAL-002	entite	artère ombilicale unique	cordon ombilical			cordon	Artère ombilicale unique	
FOETO:PP.COR-NOR-000	structure		cordon ombilical	normal		cordon	Cordon normal	
FOETO:PP.COR-RET-001	element	hémorragie périvasculaire	gelée de Wharton	artefact		cordon	Hémorragie périvasculaire dans la gelée de Wharton (artefact)	
FOETO:PP.COR-RET-002	element	nécrose des myocytes de la paroi vasculaire	vaisseau ombilical	post-mortem|rétention supérieure à 6 jours		cordon	Nécrose myocytes cordon (rétention >6j Genest)	
FOETO:PP.COR-TUM-001	entite	hémangiome	cordon ombilical			cordon	Hémangiome funiculaire	
FOETO:PP.COR-VAS-001	entite	nécrose des myocytes de la paroi vasculaire	vaisseau ombilical	induite par le méconium		cordon	MAVM (meconium associated vascular myonecrosis)	
FOETO:PP.COR-VAS-002	element	thrombose	vaisseau ombilical			cordon	Thrombose vasculaire ombilicale	libellé ne précise ni le vaisseau atteint (artère/veine) ni l'ancienneté du thrombus
FOETO:PP.VFU-NOR-000	structure		vaisseau ombilical	normal		cordon	Vaisseaux funiculaires normaux	
FOETO:PP.WHA-NOR-000	structure		gelée de Wharton	normal		cordon	Gelée de Wharton normale	
FOETO:PP.AMN-NOR-000	structure		amnios	normal		membranes	Amnios normal	
FOETO:PP.CHO-NOR-000	structure		chorion laeve	normal		membranes	Chorion laeve normal	
FOETO:PP.DME-NOR-000	structure		décidue des membranes	normal		membranes	Décidue des membranes normale	
FOETO:PP.IAC-NOR-000	structure		interface chorio-amniotique	normal		membranes	Interface amnios/chorion normale	
FOETO:PP.ICD-NOR-000	structure		interface chorio-déciduale	normal		membranes	Interface chorion/décidue normale	
FOETO:PP.VAC-VAS-002	entite	endovasculite hémorragique	vaisseau allanto-chorial			vaisseaux_allantochoriaux	Endovasculite hémorragique allanto-choriale	
FOETO:PP.VAC-VAS-003	element	ectasie vasculaire	vaisseau de la plaque choriale		malperfusion vasculaire fœtale (FVM)	vaisseaux_allantochoriaux	FVM — Ectasie vasculaire choriale	
FOETO:PP.PLA-INF-023	element	kyste parasitaire (toxoplasme)	placenta			placenta	Kystes toxoplasmiques placentaires	
FOETO:PP.PLA-INF-024	element	macrophages chargés de méconium	membranes libres			placenta	Macrophages chargés de méconium (membranes)	
FOETO:PP.PLA-INF-025	element	micro-abcès	placenta	en cocarde|listériose		placenta	Micro-abcès placentaires en cocarde (listériose)	
FOETO:PP.PLA-INF-026	element	micro-abcès	cordon ombilical, région sous-amniotique	candidosique		placenta	Microabcès sous-amniotiques du cordon (Candida)	
FOETO:PP.PLA-INF-027	element	modifications réactives épithéliales	épithélium amniotique			placenta	Modifications réactives de l'épithélium amniotique	libellé peu spécifique, ne précise pas la nature des modifications
FOETO:PP.PLA-INF-028	element	nécrose des myocytes de la média	vaisseau ombilical	induite par le méconium		placenta	Myonécrose vasculaire ombilicale induite par le méconium	
FOETO:PP.PLA-INF-029	element	dépôt de méconium	région sous-amniotique			placenta	Méconium subamniotique	
FOETO:PP.PLA-INF-030	element	métaplasie malpighienne	épithélium du cordon ombilical			placenta	Métaplasie malpighienne de l'épithélium du cordon ombilical	
FOETO:PP.PLA-INF-031	element	nécrose des myocytes de la média	vaisseaux du cordon ombilical et de la plaque choriale	induite par le méconium		placenta	Nécrose musculaire vasculaire méconique (cordon/surface placentaire)	
FOETO:PP.PLA-INF-032	entite	inflammation placentaire	placenta	hématogène		placenta	Placentite hématogène	
FOETO:PP.PLA-INF-033	element	périvasculite	vaisseau décidual	chronique		placenta	Périvasculite chronique déciduale	
FOETO:PP.PLA-INF-034	element	réaction giganto-cellulaire à corps étranger au vernix	décidue et myomètre			placenta	Réaction à corps étranger au vernix (décidua/myomètre)	
FOETO:PP.PLA-INF-035	element	œdème stromal avec augmentation des cellules de hofbauer	stroma villositaire			placenta	Stroma villositaire œdémateux avec augmentation des cellules de Hofbauer	
FOETO:PP.PLA-INF-036	element	hyphes et spores fongiques	placenta	candidosique		placenta	Structures mycéliennes et spores fongiques (candida) dans le placenta	
FOETO:PP.PLA-INF-037	entite	vascularite éosinophilique à cellules t	vaisseau de la plaque choriale			placenta	Vascularite choriale éosinophilique à cellules T	
FOETO:PP.PLA-MAL-025	element	kyste	gelée de Wharton			placenta	Kyste de la gelée de Wharton	
FOETO:PP.PLA-MAL-026	entite	kyste omphalomésentérique	cordon ombilical			placenta	Kyste omphalomésentérique du cordon ombilical	
FOETO:PP.PLA-MAL-027	element	métaplasie malpighienne	surface du cordon ombilical			placenta	Métaplasie malpighienne de la surface du cordon	
FOETO:PP.PLA-MAL-028	element	nécrose épithéliale	épithélium amniotique de la membrane de séparation gémellaire			placenta	Nécrose de l'épithélium amniotique (membrane de séparation gémellaire)	
FOETO:PP.PLA-MAL-029	element	nécrose pariétale	artère ombilicale			placenta	Nécrose de la paroi artérielle ombilicale	
FOETO:PP.PLA-MAL-030	entite	insertion circummarginale des membranes	marge placentaire			placenta	Placenta circummarginal	
FOETO:PP.PLA-MAL-031	entite	insertion circumvallée des membranes	marge placentaire			placenta	Placenta circumvallé	
FOETO:PP.PLA-MAL-032	entite	infarctus	territoire placentaire du jumeau papyracé	focal		placenta	Placenta fœtus papyraceus (portion infarcte)	libellé mêlant une entité gémellaire (fœtus papyraceus) et la lésion de son territoire placentaire
FOETO:PP.PLA-MAL-033	element	reliquat musculaire	artère ombilicale	atrophique		placenta	Remnant musculaire d'artère ombilicale atrophiée	
FOETO:PP.PLA-MAL-034	pattern				séquence anémie-polycythémie gémellaire (TAPS)	placenta	Séquence anémie-polycythémie gémellaire (TAPS) — aspect placentaire	libellé renvoyant globalement aux aspects placentaires, sans lésion élémentaire précisée
FOETO:PP.PLA-MAL-035	element	thrombose	artère ombilicale			placenta	Thrombose d'artère ombilicale	
FOETO:PP.PLA-MAL-036	element	thrombose	veine ombilicale			placenta	Thrombose de veine ombilicale	
FOETO:PP.PLA-MAL-037	element	thrombose	veine de surface placentaire			placenta	Thrombose des veines de surface placentaire	
FOETO:PP.PLA-MAL-038	element	tissu ectopique	cordon ombilical			placenta	Tissu ectopique dans le cordon ombilical	nature du tissu ectopique non précisée dans le libellé
FOETO:PP.PLA-MAL-039	element	torsion et coarctation	cordon ombilical			placenta	Torsion / coarctation du cordon ombilical	libellé regroupant deux lésions distinctes (torsion, coarctation) sous un seul intitulé
FOETO:PP.PAR-VAS-013	entite	artériopathie	artère déciduale		malperfusion vasculaire maternelle (MVM)	parenchyme	MVM — Artériopathie déciduale	
FOETO:PP.PAR-VAS-014	entite	hypoplasie villositaire distale	villosité distale		malperfusion vasculaire maternelle (MVM)	parenchyme	MVM — Hypoplasie villositaire distale	
FOETO:PP.PAR-VAS-015	element	infarctus	villosité		malperfusion vasculaire maternelle (MVM)	parenchyme	MVM — Infarctus	
FOETO:PP.PAR-VAS-016	pattern			segmentaire	malperfusion vasculaire fœtale (FVM)	parenchyme	Malperfusion vasculaire fœtale segmentaire	
FOETO:PP.PAR-VAS-017	element	nécrose fibrinoïde pariétale	artère déciduale			parenchyme	Nécrose fibrinoïde de la paroi artérielle déciduale	
FOETO:PP.PAR-VAS-018	element	nécrose fibrinoïde pariétale	villosité			parenchyme	Nécrose fibrinoïde intravillositaire	
FOETO:PP.PAR-VAS-019	entite	thrombose	espace sous-chorial	massif		parenchyme	Thrombose sous-choriale massive (môle de Breus)	
FOETO:PP.PAR-VAS-020	element	thrombose	vaisseau de la plaque choriale			parenchyme	Thrombus de la plaque choriale	
FOETO:PP.PAR-VAS-021	element	thrombose	espace intervilleux			parenchyme	Thrombus intervilleux	
FOETO:PP.PAR-VAS-022	entite			travées|étendu	NIDF	parenchyme	NIDF — Travées (stade étendu)	acronyme NIDF non explicité dans le libellé : lésion élémentaire et siège non factorisables
FOETO:PP.PAR-VAS-023	entite	villite	villosité	haut grade|multifocal	villite chronique d'étiologie indéterminée (VUE)	parenchyme	VUE High grade	
FOETO:PP.PAR-VAS-024	entite	villite	villosité	bas grade|multifocal	villite chronique d'étiologie indéterminée (VUE)	parenchyme	VUE Low grade	
FOETO:PP.PAR-VAS-025	entite	vasculopathie thrombotique				parenchyme	Vasculopathie thrombotique fœtale	
FOETO:PP.PAR-VAS-026	element	villosités avasculaires	villosité			parenchyme	Villosités avasculaires	
FOETO:PP.PAR-VAS-027	entite			focal|îlots	NIDF	parenchyme	NIDF — Îlots (stade focal)	acronyme NIDF non explicité dans le libellé : lésion élémentaire et siège non factorisables
FOETO:PP.PLA-NOR-088	maturation	inclusions de glycogène	cytotrophoblaste			placenta	Inclusions de glycogène dans les cellules cytotrophoblastiques	
FOETO:PP.PLA-NOR-089	structure		insertion du cordon ombilical	central		placenta	Insertion du cordon ombilical — centrale	
FOETO:PP.PLA-NOR-090	element	invasion trophoblastique	myomètre			placenta	Invasion trophoblastique myométriale	phénomène de placentation physiologique, non lésionnel en soi
FOETO:PP.PLA-NOR-091	element	kyste	amnios			placenta	Kyste amniotique	
FOETO:PP.PLA-NOR-092	element	kyste	membranes chorio-amniotiques	microscopique		placenta	Kyste choriamniotique microscopique (membranes)	
FOETO:PP.PLA-NOR-093	element	kyste	chorion			placenta	Kyste chorioniaque	libellé orthographiquement altéré (« chorioniaque »), siège chorial imprécis
FOETO:PP.PLA-NOR-094	element	kyste	îlot cellulaire trophoblastique			placenta	Kyste d'îlot cellulaire trophoblastique	
FOETO:PP.PLA-NOR-095	element	kyste	trophoblaste extravilleux			placenta	Kyste trophoblastique extravilleux	
FOETO:PP.PLA-NOR-096	element	kyste	îlot cellulaire trophoblastique	multiple		placenta	Kystes des îlots cellulaires trophoblastiques	
FOETO:PP.PLA-NOR-097	structure		espace sous-chorial			placenta	Lac sous-chorial	
FOETO:PP.PLA-NOR-098	structure		pore intervilleux			placenta	Largeur des pores intervilleux	paramètre morphométrique (largeur) et non lésion ni structure au sens strict
FOETO:PP.PLA-NOR-099	structure		lit placentaire			placenta	Lit placentaire (site placentaire)	
FOETO:PP.PLA-NOR-100	maturation		capillaire villositaire	central		placenta	Localisation centrale des capillaires villositaires	
FOETO:PP.PLA-NOR-101	structure		macrophage villositaire			placenta	Macrophage villositaire (cellule de Hofbauer)	
FOETO:PP.PLA-NOR-102	structure		macrophage villositaire	multiple		placenta	Macrophages villeux (cellules de Hofbauer)	
FOETO:PP.PLA-NOR-133	structure		membrane de séparation gémellaire	bichorionique biamniotique		placenta	Placenta bichorionique biamniотique (architecture membranaire)	
FOETO:PP.PLA-NOR-134	structure		placenta	bilobé		placenta	Placenta bilobé	variante de forme placentaire, non lésionnelle
FOETO:PP.PLA-NOR-135	structure		placenta	membraneux		placenta	Placenta membraneux	anomalie de forme placentaire classée en architecture
FOETO:PP.PLA-NOR-136	structure		placenta	gémellaire|monochorionique diamniotique		placenta	Placenta monochorionique diamniotique	
FOETO:PP.PLA-NOR-137	structure		membrane de séparation gémellaire	monochorionique diamniotique		placenta	Placenta monochorionique diamniотique (architecture membranaire)	
FOETO:PP.PLA-NOR-138	structure		placenta	gémellaire|monochorionique monoamniotique		placenta	Placenta monochorionique monoamniotique	
FOETO:PP.PLA-NOR-139	structure		plaque basale			placenta	Plaque basale	
FOETO:PP.PLA-NOR-140	structure		plaque basale	architecture materno-fœtale		placenta	Plaque basale — architecture materno-fœtale	
FOETO:PP.PLA-NOR-141	structure		plaque choriale			placenta	Plaque choriale	
FOETO:PP.PLA-NOR-142	structure		plaque choriale	architecture fœtale		placenta	Plaque choriale — architecture fœtale	
FOETO:PP.PLA-NOR-143	structure		amnios	monochorionique monoamniotique|vestigial		placenta	Plica amniotique vestigiale (placenta MoMo)	
FOETO:PP.PLA-NOR-144	element	ponts syncytiaux	espace intervilleux			placenta	Ponts intervillositaires syncytiaux	
FOETO:PP.PLA-NOR-145	maturation		cytotrophoblaste villositaire	selon l'âge gestationnel		placenta	Proportion de cytotrophoblaste villositaire selon l'âge gestationnel	
FOETO:PP.PLA-NOR-146	element	précurseurs hématopoïétiques non érythroïdes circulants		circulant|non érythroïde		placenta	Précurseurs hématopoïétiques non érythroïdes circulants	siège vasculaire fœtal implicite, non précisé dans le libellé
FOETO:PP.PLA-NOR-147	element	pseudokyste	septum placentaire			placenta	Pseudokystes des septa placentaires	
FOETO:PP.MEM-CLA-001	entite	amnios nodosum	amnios			membranes	Amnios nodosum	
FOETO:PP.MEM-CLA-002	element	macrophages chargés de méconium	amnios	délai 24-48 h		membranes	Macrophages chargés de méconium (délai 24-48h)	
FOETO:PP.MEM-CLA-003	element	nécrose laminaire	décidue des membranes			membranes	Nécrose laminaire des membranes	
FOETO:PP.MEM-CLA-004	element	séparation chorioamniotique	interface chorio-amniotique			membranes	Séparation chorioamniotique	
FOETO:PP.MEM-INF-001	entite	infiltrat de polynucléaires neutrophiles	membranes chorio-amniotiques	aigu|modéré|stade 2	chorioamnionite	membranes	Chorioamniotite aiguë modérée (stade 2)	
FOETO:PP.MEM-INF-002	entite	infiltrat de polynucléaires neutrophiles	espace sous-chorial	aigu|stade 1	chorioamnionite	membranes	Chorioamniotite aiguë sous-choriale (stade 1)	
FOETO:PP.MEM-INF-003	entite	infiltrat lymphocytaire	membranes chorio-amniotiques	chronique	chorioamnionite	membranes	Chorioamniotite chronique	
FOETO:PP.MEM-INF-004	entite	infiltrat de polynucléaires neutrophiles avec nécrose	membranes chorio-amniotiques	aigu|nécrosant|stade 3	chorioamnionite	membranes	Chorioamniotite nécrosante (stade 3)	
FOETO:PP.MEM-INF-005	entite	infiltrat inflammatoire mixte	membranes chorio-amniotiques	subaigu	chorioamnionite	membranes	Chorioamniotite subaiguë	libellé sans précision du type cellulaire ni du stade
FOETO:PP.MEM-INF-006	entite	infiltrat de polynucléaires neutrophiles	décidue	aigu		membranes	Déciduite aiguë	
FOETO:PP.MEM-INF-007	entite	infiltrat lympho-plasmocytaire	décidue basale	chronique		membranes	Déciduite chronique	
FOETO:PP.MEM-INF-008	pattern			grade 1	réponse inflammatoire maternelle (MIR)	membranes	MIR Grade 1	libellé purement gradué, aucune lésion ni siège précisé
FOETO:PP.MEM-INF-009	element	abcès	décidue	aigu|grade 1	réponse inflammatoire maternelle (MIR)	membranes	MIR Grade 1 — Abcès décidual	
FOETO:PP.MEM-INF-010	entite	infiltrat de polynucléaires neutrophiles	espace sous-chorial	aigu|stade 1	réponse inflammatoire maternelle (MIR)	membranes	MIR Stage 1 — Chorionite subchoriale aiguë	libellé dit sous-chorial alors que la description micro situe l'infiltrat dans la décidue
FOETO:PP.MEM-INF-011	entite	infiltrat de polynucléaires neutrophiles	membranes chorio-amniotiques	aigu|stade 2	réponse inflammatoire maternelle (MIR)	membranes	MIR Stage 2 — Chorioamniotite aiguë	
FOETO:PP.PLA-NOR-103	maturation		villosité	selon l'âge gestationnel		placenta	Maturation villositaire (évaluation par rapport à l'âge gestationnel)	libellé générique : désigne l'acte d'évaluation de la maturation, pas un stade précis
FOETO:PP.PLA-NOR-104	maturation		villosité	accélérée		placenta	Maturation villositaire accélérée	
FOETO:PP.PLA-NOR-105	maturation		villosité	adaptée à l'âge gestationnel		placenta	Maturation villositaire adaptée à l'âge gestationnel	
FOETO:PP.PLA-NOR-106	maturation		villosité	normal		placenta	Maturation villositaire normale	
FOETO:PP.PLA-NOR-107	maturation		villosité	retardée		placenta	Maturation villositaire retardée	
FOETO:PP.PLA-NOR-108	structure		amnios			placenta	Membrane amniotique (amnios)	
FOETO:PP.PLA-NOR-109	structure		membrane basale trophoblastique			placenta	Membrane basale trophoblastique	
FOETO:PP.PLA-NOR-110	structure		membrane de séparation gémellaire	bichorionique biamniotique|coupe histologique		placenta	Membrane de séparation gémellaire DiDi (coupe histologique)	
FOETO:PP.PLA-NOR-111	structure		membrane de séparation gémellaire	coupe histologique|monochorionique diamniotique		placenta	Membrane de séparation gémellaire DiMo (coupe histologique)	
FOETO:PP.PLA-NOR-112	structure		membrane de séparation gémellaire	bichorionique biamniotique		placenta	Membrane séparatrice bichoriale biamniote	
FOETO:PP.PLA-NOR-113	structure		membrane de séparation gémellaire	monochorionique diamniotique		placenta	Membrane séparatrice monochoriale diamniote	
FOETO:PP.PLA-NOR-114	structure		membrane vasculo-syncytiale			placenta	Membrane vasculo-syncytiale	repère architectural normal servant d'indicateur de maturation villositaire
FOETO:PP.PLA-NOR-115	structure		capillaire villositaire terminal	membranes basales distinctes		placenta	Membranes basales distinctes des capillaires villositaires terminaux	
FOETO:PP.PLA-NOR-116	structure		membranes libres	architecture tricouche		placenta	Membranes extraplacentaires — architecture tricouche	
FOETO:PP.PLA-NOR-117	structure		membrane vasculo-syncytiale			placenta	Membranes vasculo-syncytiales	variante au pluriel du même repère architectural
FOETO:PP.PLA-MET-012	element	histiocytes de surcharge	tissus placentaires			placenta	Histiocytes de surcharge dans les tissus placentaires	siège très vague (« tissus placentaires ») et nature du matériel de surcharge non précisée
FOETO:PP.PLA-MET-013	element	dépôt d'hémosidérine	membranes			placenta	Hémosidérose membranaire placentaire	
FOETO:PP.PLA-MET-014	element	inclusions lysosomales membraneuses	placenta			placenta	Inclusions lysosomales membraneuses dans le placenta	type cellulaire non précisé ; lésion identifiable seulement en microscopie électronique
FOETO:PP.PLA-MET-015	element	infiltrat de cellules de gaucher	stroma villositaire			placenta	Infiltrat de cellules de Gaucher dans le stroma villositaire	
FOETO:PP.PLA-MET-016	element	macrophages chargés d'hémosidérine	membranes chorio-amniotiques			placenta	Macrophages avec hémosidérine dans la chorioamniotique	
FOETO:PP.PLA-MET-017	element	macrophages chargés d'hémosidérine	cordon ombilical et membranes			placenta	Macrophages avec pigment ferrique dans le cordon et les membranes	siège composite (deux structures dans un même libellé)
FOETO:PP.PLA-MET-018	element	macrophages chargés d'hémosidérine	membranes			placenta	Macrophages chargés d'hémosidérine dans les membranes	
FOETO:PP.PLA-MET-019	element	minéralisation villositaire	villosité	segmentaire		placenta	Minéralisation segmentaire des villosités	
FOETO:PP.PLA-MET-020	element	macrophages chargés de pigment biliaire	membranes			placenta	Pigment biliaire dans les macrophages des membranes (ictère fœtal)	la mention « ictère fœtal » est une interprétation clinique accolée à la lésion
FOETO:PP.PLA-MET-021	element	placentomégalie	placenta	aspect pâle		placenta	Placentomégalie avec aspect pâle	signe macroscopique et non lésion histologique élémentaire
FOETO:PP.PLA-MET-022	element	produits de stockage anormaux	trophoblaste et macrophages stromaux villositaires			placenta	Produits de stockage anormaux dans le trophoblaste et les macrophages stromaux	siège composite ; nature du matériel de stockage non précisée
FOETO:PP.PLA-MET-023	element	vacuoles claires limitées par une membrane	cellules placentaires	microscopie électronique		placenta	Vacuoles claires liées à une membrane dans les cellules placentaires (MEB)	type cellulaire non précisé
