id	label_fr	referentiel	entite	role	stade	conforme	label_propose	ancre	verbatim_verifie	source	verbatim	probleme
FOETO:PP.MEM-INF-003	Chorioamniotite chronique	AMSTERDAM	Chorioamnionite chronique	synonyme		non_standard	Chorioamnionite chronique	oui	oui	khong2019 ch45	Chronic chorioamnionitis is one of the chronic  inflammatory lesions of the placenta, the involved  placental compartment being the chorioamniotic  membranes (extraplacental membranes)	Orthographe : « chorioamnionite » et non « chorioamniotite » ; doublon du terme « Chorioamnionite chronique » du vocabulaire.
FOETO:PP.MEM-INF-004	Chorioamniotite nécrosante (stade 3)	AMSTERDAM	AI — réponse inflammatoire maternelle (MIR)	stade	MIR stade 3	non_standard	Chorioamnionite nécrosante — MIR stade 3	oui	oui	amsterdam ch1	Stage 3—necrotizing chorioamnionitis: karyorrhexis of polymorphonuclear leukocytes, amniocyte necrosis, and/or amnion basement membrane hypereosinophilia	Orthographe « chorioamniotite » non retenue ; doublon de MIR Stage 3.
FOETO:PP.MEM-INF-005	Chorioamniotite subaiguë	VOGEL	Inflammation de type amniotique — chorioamnionite chronique/subaiguë	manifestation		non_standard	Chorioamnionite subaiguë (infiltrat mononucléé de la plaque choriale)	oui	oui	vogel ch9	Chronic or subacute  chorioamnionitis is characterized by mononuclear cells in the chorionic plate and is  often seen with coexisting acute chorioamnionitis [22].	Entité non individualisée par Amsterdam ; libellé imprécis (ni type cellulaire ni topographie), recouvrement avec la chorioamnionite chronique.
FOETO:PP.MEM-INF-006	Déciduite aiguë	VOGEL	Inflammation de type amniotique — déciduite aiguë	manifestation		oui		oui	oui	vogel ch9	Some, for example, include isolated deciduitis in the definition [12,20]; however, according to Fox, this ‘acute deciduitis’ is of no pathological significance	Déciduite aiguë isolée non retenue comme entité par Amsterdam ; sa signification pathologique isolée est contestée.
FOETO:PP.MEM-INF-007	Déciduite chronique	AMSTERDAM	Déciduite chronique à plasmocytes	synonyme		oui		oui	oui	khong2019 ch33	Chronic deciduitis is diagnosed in the presence  of lymphoplasmacytic inflammation in the  decidua	Terme présent en double dans le vocabulaire (et recoupé par « Inflammation chronique déciduale »).
FOETO:PP.MEM-INF-010	MIR Stage 1 — Chorionite / subchorionite aiguë	AMSTERDAM	AI — réponse inflammatoire maternelle (MIR)	stade	MIR stade 1	oui		oui	oui	amsterdam ch1	Stage 1—acute subchorionitis or chorionitis	Le site facetté (« espace sous-chorial ») décrit l'accumulation de polynucléaires sous la plaque choriale, alors que ces polynucléaires sont d'origine décidualo-maternelle ; doublon de MEM-INF-002.
FOETO:PP.MEM-INF-011	MIR Stage 2 — Chorioamnionite aiguë	AMSTERDAM	AI — réponse inflammatoire maternelle (MIR)	stade	MIR stade 2	oui		oui	oui	amsterdam ch1	Stage 2—acute chorioamnionitis: polymorphonuclear leukocytes extend into fibrous chorion and/or amnion	Doublon de MEM-INF-001 ; le grade n'est pas porté par le libellé et doit rester un axe séparé.
FOETO:PP.MEM-INF-012	MIR Stage 3 — Chorioamnionite nécrosante	AMSTERDAM	AI — réponse inflammatoire maternelle (MIR)	stade	MIR stade 3	oui		oui	oui	amsterdam ch1	Stage 3—necrotizing chorioamnionitis: karyorrhexis of polymorphonuclear leukocytes, amniocyte necrosis, and/or amnion basement membrane hypereosinophilia	Doublon de MEM-INF-004 ; facettes redondantes (stade MIR 3 répété dans les qualifieurs).
FOETO:PP.MEM-NOR-001	Membranes normales	BENIRSCHKE	Anatomie normale — membranes extraplacentaires (amnios, chorion laeve, décidue)	structure		oui		oui	oui	benirschke ch15	In normal membranes, the amnion is fairly closely attached to the chorion; despite the hypotonic nature of amnionic fluid, it does not penetrate the amnion.	
FOETO:PP.MEM-VAS-001	Abruptio placentae — stade 1 (membranes)	AMSTERDAM	MVM — hématome rétroplacentaire / abruptio placentae	manifestation		non_standard	Hémorragie récente des membranes libres (extension membranaire d'un décollement placentaire)	non	non			Libellé composite : entité (abruptio) + gradation « stade 1 » qu'aucun référentiel ne définit pour les membranes ; la stadification 1/2 semble locale et non normalisée.
FOETO:PP.MEM-VAS-002	Abruptio placentae — stade 2 (membranes)	AMSTERDAM	MVM — hématome rétroplacentaire / hémorragie marginale	manifestation		non_standard	Hémorragie récente de la décidue des membranes (extension membranaire d'un hématome rétroplacentaire)	oui	oui	khong2019 ch9	additional retroplacental haematomas, villous	Gradation « stade 2 » aplatie dans le libellé alors qu'Amsterdam ne stade pas l'abruptio ; le nom mêle entité clinique (abruptio), compartiment et pseudo-stade.
FOETO:PP.PAR-CLA-001	Agglutination villositaire	AMSTERDAM	MVM — agglutination villositaire	manifestation		oui		oui	oui	khong2019 ch17	Villous agglutination is thought to occur when localised hypoxia leads to focal trophoblast degeneration and loss.	
FOETO:PP.PAR-CLA-002	Dépôt massif de fibrinoïde périvillositaire	AMSTERDAM	MPFD — dépôt massif de fibrinoïde périvillositaire	synonyme		oui		oui	oui	benirschke ch26	MPFD has been defined as the presence of PVFD in more than 50% of at least one slide histologically	
FOETO:PP.PAR-CLA-003	Macrophages pigmentés au méconium	AMSTERDAM	Méconium — macrophages chargés de méconium	critere		non_standard	Macrophages chargés de méconium	oui	oui	amsterdam ch1	A meconium-laden macrophage is seen in the amnion, whereas there is columnar metaplasia of the amniotic epithelium	Doublon fonctionnel avec les autres entrées « macrophages chargés de méconium » (membranes, décidue, délai 24-48 h) ; le rattachement au compartiment parenchyme est discutable, la lésion se décrivant dans les membranes.
FOETO:PP.PAR-DYS-001	Chorangiomatose placentaire	BENIRSCHKE	Chorangiomatose	synonyme		oui		oui	oui	benirschke ch30	Chorangiomatosis is defined as a focus of excessive capillary growth within and permeating stem villi	
FOETO:PP.PAR-DYS-002	Chorangiome placentaire	BENIRSCHKE	Chorangiome	synonyme		oui		oui	oui	benirschke ch30	the most common benign tumors of the placenta are vascular in nature	
FOETO:PP.PAR-DYS-003	Dysplasie mésenchymateuse placentaire	BENIRSCHKE	Dysplasie mésenchymateuse placentaire	synonyme		oui		oui	oui	khong2019 ch16	Placental mesenchymal dysplasia (PMD) is a rare placental lesion that can be mistaken for a molar gestation.	
FOETO:PP.PAR-INF-001	Intervillosite aiguë réactionnelle périinfarctus	BENIRSCHKE	Infarctus villositaire — réaction inflammatoire aiguë péri-infarctus	manifestation		oui		oui	oui	benirschke ch19	This reactive acute intervillositis is nonspecific and should	Réaction non spécifique décrite autour des infarctus, non codée comme lésion par Amsterdam ; à ne pas confondre avec l'intervillosite aiguë infectieuse.
FOETO:PP.PAR-INF-002	Intervillosite chronique histiocytaire	AMSTERDAM	CHI — intervillite chronique histiocytaire	synonyme		non_standard	Intervillite chronique histiocytaire (CHI)	oui	oui	khong2019 ch30	CHIV is an infiltrate of maternal mononuclear cells in the intervillous space	« Intervillosite » au lieu de « intervillite » ; doublons dans le vocabulaire (Intervillite chronique massive, Histiocytose intervillositaire chronique).
FOETO:PP.PAR-INF-003	Maladies inflammatoires chroniques du placenta	AMSTERDAM	Lésions inflammatoires chroniques	synonyme		non_standard	Lésions inflammatoires chroniques du placenta (catégorie de regroupement)	oui	oui	khong2019 ch45	Chronic chorioamnionitis is one of the chronic inflammatory lesions of the placenta	Libellé de regroupement, non diagnostique : aucune lésion élémentaire ni siège factorisables ; à réserver à un niveau de chapitre, pas à un item codable.
FOETO:PP.PAR-INF-004	Villite aiguë	BENIRSCHKE	Villite d'étiologie identifiée / placentite hématogène (villite aiguë)	manifestation		oui		oui	oui	khong2019 ch28	Isolated acute villitis is uncommon and much less frequently seen than chronic villitis.	Pattern morphologique le plus souvent infectieux (listériose, bactériémie) : hors périmètre VUE d'Amsterdam.
FOETO:PP.PAR-INF-005	Villite basale chronique	AMSTERDAM	VUE — villite chronique d'étiologie indéterminée (localisation basale)	manifestation		oui		oui	oui	amsterdam ch1	Parabasal and basal villitis is often associated with chronic deciduitis	
FOETO:PP.PAR-INF-006	Villite chronique	AMSTERDAM	VUE — villite chronique d'étiologie indéterminée	manifestation		non_standard	Villite chronique (préciser : d'étiologie indéterminée ou d'étiologie identifiée)	oui	oui	benirschke ch26	chronic villitis (CV) and chronic villitis of unknown etiology (CVUE) in the chorionic villi	Terme générique qui ne distingue pas la VUE (Amsterdam) de la villite à étiologie identifiée (Benirschke) : granularité insuffisante pour coder.
FOETO:PP.PAR-INF-007	Villite chronique d'étiologie inconnue (VCEI)	AMSTERDAM	VUE — villite chronique d'étiologie indéterminée	synonyme		non_standard	Villite chronique d'étiologie indéterminée (VUE)	oui	oui	khong2019 ch29	This enigmatic form of chronic villitis has been called villitis of unknown aetiology	Sigle VCEI non retenu ; le référentiel emploie VUE et « étiologie indéterminée ». La gradation (bas/haut grade) doit rester un axe séparé.
FOETO:PP.PAR-INF-008	Villite chronique lympho-plasmocytaire	BENIRSCHKE	Villite chronique à étiologie identifiée (CMV, syphilis)	manifestation		oui		oui	oui	benirschke ch26	which often has a lymphoplasmacytic villous infiltrate	La composante plasmocytaire oriente vers une étiologie identifiée (CMV, syphilis) : ce n'est pas une VUE, donc hors périmètre Amsterdam.
FOETO:PP.PAR-INF-009	Villite granulomateuse	BENIRSCHKE	Villite chronique d'étiologie identifiée (infectieuse)	manifestation		oui		oui	oui	benirschke ch25	Popek [515] described granulomatous villitis in an 18-week stillbirth with intensive chronic villitis; she also reviewed the literature on placental toxoplasma infection	Pattern morphologique sans étiologie précisée : n'est pas une VUE d'Amsterdam, oriente vers une villite infectieuse (toxoplasmose, varicelle, tuberculose)
FOETO:PP.PAR-INF-010	Villite nécrosante	BENIRSCHKE	Villite chronique d'étiologie identifiée (infectieuse)	manifestation		oui		oui	oui	benirschke ch25	A 16-week demise has also been reported showing necrotizing granulomatous villitis [516].	Pattern morphologique évoquant une étiologie infectieuse (CMV, HSV, varicelle) : hors périmètre de la VUE d'Amsterdam
FOETO:PP.PAR-INF-015	Déciduite chronique	AMSTERDAM	Déciduite chronique à plasmocytes	synonyme		oui		oui	oui	khong2019 ch33	Chronic deciduitis is diagnosed in the presence of lymphoplasmacytic inflammation in the decidua	Doublon avec les autres libellés de déciduite chronique / inflammation chronique déciduale du vocabulaire
FOETO:PP.PAR-MAL-001	Hypoplasie villositaire distale (déficience des villosités terminales)	AMSTERDAM	MVM — hypoplasie villositaire distale (DVH)	manifestation		non_standard	Hypoplasie villositaire distale	oui	oui	khong2019 ch15	Distal villous hypoplasia is sometimes referred to as terminal villous deficiency but the latter term is preferably not used	Le libellé véhicule un synonyme explicitement déconseillé (« déficience des villosités terminales ») ; doublon avec « MVM — Hypoplasie villositaire distale » et « Hypoplasie villositaire distale »
FOETO:PP.PAR-MAL-002	Lobe placentaire accessoire (succenturié)	BENIRSCHKE	Anomalies de forme placentaire (placenta bilobé / lobe succenturié)	manifestation		oui		oui	oui	benirschke ch17	In our experience, succenturiate lobes occur in 5–6% of routinely examined placentas.	Anomalie macroscopique de forme et non lésion histologique élémentaire ; hors périmètre d'Amsterdam
FOETO:PP.PAR-MAL-003	Placenta accreta spectrum	ACCRETA	Placenta accreta spectrum (PAS, FIGO 2019)	synonyme		oui		oui	oui	benirschke ch14	FIGO consensus guidelines on placenta accreta spectrum disorders: prenatal diagnosis and screening.	Libellé chapeau désignant un spectre (accreta/increta/percreta) sans grade FIGO ni lésion élémentaire ; à graduer (grade 1 / 2 / 3a-3b-3c)
FOETO:PP.PAR-MET-001	Accumulation de glycogène dans le syncytiotrophoblaste	BENIRSCHKE	Dépôts de glycogène placentaires	manifestation		oui		oui	oui	benirschke ch6	A positive crimson rim can be seen within the apical zone of the syncytiotrophoblast	Le libellé ne distingue pas le glycogène physiologique du premier trimestre d'une surcharge métabolique pathologique
FOETO:PP.PAR-MET-002	Accumulation lysosomale de glycogène dans le placenta	BENIRSCHKE	Surcharge lysosomale du placenta (glycogénose type II / Pompe)	manifestation		oui		oui	oui	benirschke ch24	Jones and her collaborators [34] made similar findings of lyso- somal glycogen accumulation.	Siège non précisé au-delà de l'organe entier alors que la topographie cellulaire (cytotrophoblaste, endothélium, fibrocytes) porte l'information diagnostique
FOETO:PP.PAR-MET-003	Athérose aiguë déciduale	AMSTERDAM	MVM — artériopathie déciduale (athérose aiguë)	manifestation		oui		oui	oui	khong2019 ch32	Acute atherosis or atherosis is defined by the presence of foamy macrophages within the wall of a uterine vessel.	Terme classé en compartiment « métabolique » alors qu'il s'agit d'une lésion vasculaire de MVM ; vaisseau atteint non nommé ; doublon avec « Athérose aiguë des artères spiralées » et « Athérose des vaisseaux déciduaux »
FOETO:PP.PAR-MET-004	Calcifications	BENIRSCHKE	Calcifications placentaires	manifestation		non_standard	Calcifications placentaires	oui	oui	khong2019 ch37	Deposition of calcification as coarse structureless deposits in the placenta or as stippled linear and particulate deposits in villi	Libellé fourre-tout sans siège ; doublon avec les nombreux autres libellés de calcification du vocabulaire
FOETO:PP.PAR-MET-005	Drépanocytose placentaire	BENIRSCHKE	Drépanocytose maternelle — falciformation érythrocytaire intervilleuse	manifestation		non_standard	Falciformation érythrocytaire maternelle dans l'espace intervilleux (drépanocytose maternelle)	oui	oui	benirschke ch21	This is characterized by the presence of sickle-shaped red blood cells in the intervillous space	Libellé attribuant au placenta une maladie maternelle ; le signe est la falciformation des érythrocytes maternels intervilleux
FOETO:PP.PAR-MET-006	Hémosidérine dans les macrophages chorioniques	BENIRSCHKE	Hémosidérose placentaire / choriodéciduale	manifestation		oui		oui	oui	khong2019 ch41	Haemosiderin deposition can be observed not only in the extraplacental membranes but also in the chorionic plate and basal plate.	Doublon partiel avec les libellés d'hémosidérine des membranes et l'hémosidérose chorioamniotique diffuse ; classé à tort en compartiment métabolique
FOETO:PP.PAR-MET-007	Vacuolisation des cellules de Hofbauer	BENIRSCHKE	Surcharge métabolique — vacuolisation cellulaire placentaire	manifestation		oui		oui	oui	benirschke ch24	Vacuolation of the placental Hofbauer cells in a case of mucopolysaccharidosis (MPS) VII	Doublon avec « Vacuolisation des macrophages stromaux villositaires »
FOETO:PP.PAR-MET-008	Vacuolisation des décidues (cellules déciduales)	BENIRSCHKE	Surcharge métabolique — vacuolisation cellulaire placentaire	manifestation		non_standard	Vacuolisation des cellules déciduales	non	non			Libellé fautif (« vacuolisation des décidues ») ; aucun extrait ne documente la vacuolisation des cellules déciduales dans les surcharges, décrite au trophoblaste, aux cellules de Hofbauer, fibroblastes et endothélium
FOETO:PP.PAR-MET-009	Vacuolisation du cytotrophoblaste villositaire	BENIRSCHKE	Surcharge métabolique — vacuolisation cellulaire placentaire	manifestation		oui		oui	oui	benirschke ch24	These were seen in the cyto- trophoblast, endothelium, fibrocytes, and pericytes.	Doublon avec « Vacuolisation du cytotrophoblaste extravilleux » et « Vacuolisation du syncytiotrophoblaste » : granularité par type cellulaire sans entité chapeau
FOETO:PP.PAR-MET-010	Vacuolisation du syncytiotrophoblaste	BENIRSCHKE	Maladies de surcharge lysosomale — vacuolisation du trophoblaste (syncytiotrophoblaste)	manifestation		oui		oui	oui	benirschke ch24	the Hofbauer cells, endothelium, and syncytium are packed with clear, membrane-bound vacuoles	
FOETO:PP.PAR-NOR-000	Parenchyme normal	VOGEL	Anatomie normale — compartiment villositaire / parenchyme placentaire	structure		oui		oui	oui	vogel ch2	full thickness sections from macroscopically normal parenchyma.	Libellé de normalité (absence de lésion) : sert de constat de référence, non factorisable en lésion élémentaire.
