signe	nom_propose	hpo_id	label_hpo	n	choix
mitochondrial encephalomyopathy	Mitochondrial encephalopathy	HP:0006789	Mitochondrial encephalopathy	7	
nephro-blastomatosis	Nephroblastomatosis	HP:0008643	Nephroblastomatosis	7	
Ocular abnormalities	Abnormality of the eye	HP:0000478	Abnormality of the eye	7	HP:0000478
ocular anomalies	Abnormality of the eye	HP:0000478	Abnormality of the eye	7	HP:0000478
post-prandial hyperlactacidemia	Postprandial hyperlactemia	HP:0011997	Postprandial hyperlactemia	7	
recurrent vomiting	Vomiting	HP:0002013	Vomiting	7	HP:0002013
Roving eye movements	Abnormal eye movements	HP:0000496	Abnormality of eye movement	7	HP:0000496
Short hands and feet	Short foot	HP:0001773	Short foot	7	HP:0200055+HP:0001773
Shortness of stature	Short stature	HP:0004322	Short stature	7	HP:0004322
Sleep disorders	Sleep disturbance	HP:0002360	Sleep disturbance	7	HP:0002360
5th-finger clinodactyly	Clinodactyly of the 5th finger	HP:0004209	Clinodactyly of the 5th finger	6	HP:0004209
Anxiety disorders	Anxiety	HP:0000739	Anxiety	6	HP:0000739
Behavioral difficulties	Behavioral abnormality	HP:0000708	Atypical behavior	6	HP:0000708
Characteristic facial features	Abnormal facial shape	HP:0001999	Abnormal facial shape	6	HP:0001999
cherry-red macula	Cherry red spot of the macula	HP:0010729	Cherry red spot of the macula	6	HP:0010729
cognitive delay	Intellectual disability	HP:0001249	Intellectual disability	6	HP:0001249
costal deficiencies	Rib anomaly	HP:0000772	Abnormal rib morphology	6	
cyclic vomiting	Episodic vomiting	HP:0002572	Episodic vomiting	6	HP:0002572
deficiencies in the posterior portion of affected ribs	Rib anomaly	HP:0000772	Abnormal rib morphology	6	
edema of hands and feet	Edema	HP:0000969	Edema	6	HP:0007514+HP:0012098
encephalomyopathy	Encephalopathy	HP:0001298	Encephalopathy	6	HP:0001298+HP:0003198
end-stage cirrhosis	Cirrhosis	HP:0001394	Cirrhosis	6	
Generalized demineralization	Osteopenia	HP:0000938	Osteopenia	6	HP:0000938
Gingival hypertrophy	Gingival hyperplasia	HP:0000212	Gingival overgrowth	6	HP:0000212
Growth restriction	Growth delay	HP:0001510	Growth delay	6	HP:0001510
growth restriction	Intrauterine growth restriction	HP:0001511	Intrauterine growth retardation	6	PARENT:HP:0001510
Hearing loss	Hearing impairment	HP:0000365	Hearing impairment	6	HP:0000365
hyperlactacidemia	Increased circulating lactate concentration	HP:0002151	Increased circulating lactate concentration	6	
Hypoplastic genitalia	External genital hypoplasia	HP:0003241	External genital hypoplasia	6	HP:0003241
intractable seizures	Seizure	HP:0001250	Seizure	6	PARENT:HP:0012638
kidney anomalies	Abnormality of the kidney	HP:0000077	Abnormality of the kidney	6	HP:0000077
Motor neuropathy	Motor polyneuropathy	HP:0007178	Motor polyneuropathy	6	PARENT:HP:0009830
Neurological symptoms	Abnormality of the nervous system	HP:0000707	Abnormality of the nervous system	6	
Neuronal migration defects	Abnormal neuronal migration	HP:0002269	Abnormality of neuronal migration	6	HP:0002269
nonimmune fetal hydrops	Nonimmune hydrops fetalis	HP:0001790	Nonimmune hydrops fetalis	6	
Oculogyric crises	Oculogyric crisis	HP:0010553	Oculogyric crisis	6	HP:0010553
optic nerve pallor	Optic atrophy	HP:0000648	Optic atrophy	6	HP:0000648
persistent pulmonary hypertension of the newborn	Persistent fetal circulation	HP:0011726	Persistent fetal circulation	6	
Retinal abnormalities	Abnormality of the retina	HP:0000479	Abnormal retinal morphology	6	HP:0000479
Shortened long bones	Short long bones	HP:0003026	Short long bone	6	HP:0003026
single right umbilical artery	Single umbilical artery	HP:0001195	Single umbilical artery	6	
slopping forehead	Prominent forehead	HP:0011220	Prominent forehead	6	
Small ilia	Hypoplastic ilia	HP:0000946	Hypoplastic ilia	6	HP:0000946
Tethered spinal cord	Tethered cord	HP:0002144	Tethered cord	6	HP:0002144
Thick vermilion of the upper and lower lips	Thick vermilion border	HP:0012471	Thick vermilion border	6	HP:0012471
thyroid follicular nodular disease	Thyroid nodule	HP:0025388	Thyroid nodule	6	
Acromegaly	Acral overgrowth	HP:0033794	Acral overgrowth	5	HP:0033794
Alteration in pigmentation	Abnormality of skin pigmentation	HP:0001000	Abnormality of skin pigmentation	5	
Bilateral hydronephroses	Hydronephrosis	HP:0000126	Hydronephrosis	5	
blistering	Blister	HP:0008066	Abnormal blistering of the skin	5	HP:0008066
Brain stem atrophy	Brainstem atrophy	HP:0007366	Atrophy/Degeneration affecting the brainstem	5	HP:0007366
Broad hands and feet	Broad hands	HP:0001169	Broad palm	5	PARENT:HP:0001169
Broad hands and feet	Broad feet	HP:0001769	Broad foot	5	HP:0001769
bulbar dysfunction	Bulbar palsy	HP:0001283	Bulbar palsy	5	HP:0001283
Cardiac decompensation	Heart failure	HP:0001635	Congestive heart failure	5	
cardiac defects	Abnormality of the heart	HP:0001627	Abnormal heart morphology	5	HP:0001627
congenital anomalies of the kidney and urinary tract	Abnormality of the urinary system	HP:0000079	Abnormality of the urinary system	5	HP:0000079
coronary artery disease	Coronary artery atherosclerosis	HP:0001677	Coronary artery atherosclerosis	5	PARENT:HP:0002621
cramps	Muscle cramp	HP:0003394	Muscle spasm	5	HP:0003394
dysmorphism	Dysmorphic facial feature	HP:0001999	Abnormal facial shape	5	
dystonic tremor	Tremor	HP:0001337	Tremor	5	PARENT:HP:0004305
Elevated serum alkaline phosphatase	Elevated alkaline phosphatase	HP:0003155	Elevated circulating alkaline phosphatase concentration	5	HP:0003155
embolism in the left pulmonary artery	Pulmonary embolism	HP:0002204	Pulmonary embolism	5	
embolism in the pulmonary trunk	Pulmonary embolism	HP:0002204	Pulmonary embolism	5	
Eye anomalies	Abnormality of the eye	HP:0000478	Abnormality of the eye	5	HP:0000478
fatal infantile lactic acidosis	Lactic acidosis	HP:0003128	Lactic acidosis	5	
Fibrosis	Hepatic fibrosis	HP:0001395	Hepatic fibrosis	5	NON
Genitourinary malformations	Abnormality of the genitourinary system	HP:0000119	Abnormality of the genitourinary system	5	HP:0000119
giant cell transformation	Giant cell hepatitis	HP:0200084	Giant cell hepatitis	5	
Horizontal acetabula	Horizontal acetabular roof	HP:0003180	Flat acetabular roof	5	HP:0003180
Hyperkinetic movement disorder	Hyperkinesia	HP:0002487	Hyperkinetic movements	5	HP:0002487
Hypermobile joints	Joint hypermobility	HP:0001382	Joint hypermobility	5	HP:0001382
hypertropic cardiomyopathy	Hypertrophic cardiomyopathy	HP:0001639	Hypertrophic cardiomyopathy	5	
intractable infantile spasms	Infantile spasms	HP:0012469	Infantile spasms	5	
ipsilateral renal anomaly	Renal anomaly	HP:0000077	Abnormality of the kidney	5	
large fetal ascites	Fetal ascites	HP:0001791	Fetal ascites	5	
Liver disease	Abnormality of the liver	HP:0001392	Abnormality of the liver	5	HP:0001392
malformations of the heart	Abnormality of the heart	HP:0001627	Abnormal heart morphology	5	
Mild-to-moderate intellectual disability	Mental retardation	HP:0001249	Intellectual disability	5	PARENT:HP:0001256
Mild-to-moderate intellectual disability	Mild intellectual disability	HP:0001256	Mild intellectual disability	5	PARENT:HP:0002342
neurological regression	Developmental regression	HP:0002376	Developmental regression	5	
neuropathy	Peripheral neuropathy	HP:0009830	Peripheral neuropathy	5	HP:0009830
Obtuse mandibular angle	Obtuse angle of mandible	HP:0005446	Obtuse angle of mandible	5	HP:0005446
Organomegaly	Visceromegaly	HP:0003271	Visceromegaly	5	HP:0003271
pigmentary maculopathy	Pigmentary retinopathy	HP:0000580	Pigmentary retinopathy	5	
Porencephaly	Porencephalic cyst	HP:0002132	Porencephalic cyst	5	HP:0002132
Postnatal onset of growth deficiency	Postnatal growth deficiency	HP:0008897	Postnatal growth retardation	5	HP:0008897
Psychiatric manifestations	Psychiatric disturbances	HP:0000708	Atypical behavior	5	NON
Radiohumeral synostosis	Humeroradial synostosis	HP:0003041	Humeroradial synostosis	5	HP:0003041
Refractive error	Abnormality of refraction	HP:0000539	Abnormality of refraction	5	HP:0000539
Short metacarpals and metatarsals	Short metacarpals	HP:0010049	Short metacarpal	5	HP:0010049
Short metacarpals and metatarsals	Short metatarsals	HP:0010743	Short metatarsal	5	HP:0010743
Speech impairment	Abnormal speech pattern	HP:0002167	Abnormal speech pattern	5	PARENT:HP:0002167
structural brain anomalies	Abnormality of the brain	HP:0012443	Abnormal brain morphology	5	HP:0012443
superior vena cava syndrome	Obstruction of the superior vena cava	HP:0031041	Obstruction of the superior vena cava	5	
Swallowing dysfunction	Swallowing difficulty	HP:0002015	Dysphagia	5	HP:0002015
Tall forehead	High forehead	HP:0000348	High forehead	5	HP:0000348
Temper tantrums	Abnormal temper tantrums	HP:0025160	Abnormal temper tantrums	5	HP:0025160
transaminitis	Elevated circulating hepatic transaminase concentration	HP:0002910	Elevated circulating hepatic transaminase concentration	5	HP:0002910
Wide fontanels	Wide fontanelles	HP:0000239	Large fontanelles	5	HP:0000239
abnormal facial features	Abnormal facial shape	HP:0001999	Abnormal facial shape	4	
abnormal facies	Abnormal facial shape	HP:0001999	Abnormal facial shape	4	
Abnormal tone	Abnormal muscle tone	HP:0003808	Abnormal muscle tone	4	HP:0003808
Anterior wedging of vertebral bodies	Vertebral wedging	HP:0008422	Vertebral wedging	4	HP:0008422
Aphthous stomatitis	Recurrent aphthous stomatitis	HP:0011107	Recurrent aphthous stomatitis	4	
atypical facial features	Dysmorphic facial features	HP:0001999	Abnormal facial shape	4	
Behavior problems	Behavioral abnormality	HP:0000708	Atypical behavior	4	HP:0000708
behaviour abnormalities	Atypical behavior	HP:0000708	Atypical behavior	4	
Bowed femora	Bowed femur	HP:0002980	Femoral bowing	4	HP:0002980
Bowel loop dilatation	Fetal bowel dilatation	HP:4000140	Fetal bowel dilatation	4	
Bowing of the long tubular bones	Bowing of long bones	HP:0006487	Bowing of the long bones	4	HP:0006487
brisk tendon reflexes	Hyperreflexia	HP:0001347	Hyperreflexia	4	HP:0001347
Broad proximal phalanges	Broad proximal phalanges of the hand	HP:0009852	Broad proximal phalanges of the hand	4	HP:0009852
Broad thorax	Shield chest	HP:0000914	Shield chest	4	HP:0000914
Bulbous nasal tip	Bulbous nose	HP:0000414	Bulbous nose	4	HP:0000414
Cardiac involvement	Cardiomyopathy	HP:0001638	Cardiomyopathy	4	HP:0001626
Cardiac manifestations	Abnormality of the heart	HP:0001627	Abnormal heart morphology	4	HP:0001627
Cervical adenitis	Cervical lymphadenopathy	HP:0025289	Cervical lymphadenopathy	4	
Cleft palate alone	Cleft palate	HP:0000175	Cleft palate	4	HP:0000175
Coarsening of facial features	Coarse facial features	HP:0000280	Coarse facial features	4	HP:0000280
cognitive disability	Intellectual disability	HP:0001249	Intellectual disability	4	HP:0001249
Cognitive dysfunction	Cognitive impairment	HP:0100543	Cognitive impairment	4	HP:0100543
Colobomata of iris	Iris coloboma	HP:0000612	Iris coloboma	4	HP:0000612
Complex I deficiency	Decreased activity of mitochondrial complex I	HP:0011923	Decreased activity of mitochondrial complex I	4	
Crowding	Dental crowding	HP:0000678	Dental crowding	4	HP:0000678
Dacryostenosis	Nasolacrimal duct obstruction	HP:0000579	Nasolacrimal duct obstruction	4	HP:0000579
developmental and epileptic encephalopathy	Epileptic encephalopathy	HP:0200134	Epileptic encephalopathy	4	HP:0200134
Diastolic dysfunction	Left ventricular diastolic dysfunction	HP:0025168	Left ventricular diastolic dysfunction	4	PARENT:HP:0005162
Dilated lateral ventricles	Ventriculomegaly	HP:0002119	Ventriculomegaly	4	HP:0002119
dilated perivascular spaces	Dilation of Virchow-Robin spaces	HP:0012520	Dilation of Virchow-Robin spaces	4	HP:0012520
displaced small anterior fontanelle	Small anterior fontanelle	HP:0000237	Small anterior fontanelle	4	
diurnal fluctuation	Diurnal	HP:0025302	Diurnal	4	NON
Dorsal kyphosis	Kyphosis	HP:0002808	Kyphosis	4	HP:0002808
dysmorphisms	Dysmorphic facial features	HP:0001999	Abnormal facial shape	4	
Dystonic posturing	Dystonia	HP:0001332	Dystonia	4	HP:0001332
elevated liver transaminases	Elevated circulating hepatic transaminase concentration	HP:0002910	Elevated circulating hepatic transaminase concentration	4	HP:0002910
enlarged spleen	Splenomegaly	HP:0001744	Splenomegaly	4	HP:0001744
extensive gliosis of the periventricular white matter	Periventricular leukomalacia	HP:0006970	Periventricular leukomalacia	4	
extremely thin ribs	Thin ribs	HP:0000883	Thin ribs	4	
extremity hypertonia	Hypertonia	HP:0001276	Hypertonia	4	
facial dysmorphia	Facial dysmorphism	HP:0001999	Abnormal facial shape	4	
Failure to gain weight	Failure to thrive	HP:0001508	Failure to thrive	4	HP:0001508
Fatal cardiomyopathy	Cardiomyopathy	HP:0001638	Cardiomyopathy	4	
fatal, neonatal-onset isolated complex IV deficiency	Decreased activity of mitochondrial complex IV	HP:0008347	Decreased activity of mitochondrial complex IV	4	
Fetal fingertip pads	Prominent fingertip pads	HP:0001212	Prominent fingertip pads	4	HP:0001212
Fetal inguinal hernia	Inguinal hernia	HP:0000023	Inguinal hernia	4	
flattening of the ventral pons	Hypoplasia of the ventral pons	HP:0006850	Hypoplasia of the ventral pons	4	
Gait changes	Abnormal gait	HP:0001288	Gait disturbance	4	HP:0001288
Gastrointestinal reflux	Gastroesophageal reflux	HP:0002020	Gastroesophageal reflux	4	HP:0002020
genital hypoplasia	External genital hypoplasia	HP:0003241	External genital hypoplasia	4	HP:0003241
Hand flapping	Recurrent hand flapping	HP:0100023	Recurrent hand flapping	4	HP:0100023
Hyperekplexia	Exaggerated startle response	HP:0002267	Exaggerated startle response	4	HP:0002267
Hyperpigmentation	Irregular hyperpigmentation	HP:0007400	Irregular hyperpigmentation	4	HP:0000953
Hypoplasia of the basilar portions of the ilia	Hypoplastic ilia	HP:0000946	Hypoplastic ilia	4	HP:0008824
Hypoplasia of the facial bones	Aplasia/Hypoplasia of facial bones	HP:0034261	Aplasia/Hypoplasia of facial bones	4	HP:0034261
Hypoplastic maxilla	Maxillary hypoplasia	HP:0000327	Hypoplasia of the maxilla	4	HP:0000327
hypotrophic newborn	Small for gestational age	HP:0001518	Small for gestational age	4	
Impaired hearing	Hearing impairment	HP:0000365	Hearing impairment	4	HP:0000365
Increased birth weight	Large for gestational age	HP:0001520	Large for gestational age	4	HP:0001520
Increased mandibular angle	Obtuse angle of mandible	HP:0005446	Obtuse angle of mandible	4	HP:0005446
intelligent disability	Intellectual disability	HP:0001249	Intellectual disability	4	
intra-uterine growth retardation	Intrauterine growth retardation	HP:0001511	Intrauterine growth retardation	4	
ipsilateral renal agenesis	Renal agenesis	HP:0000104	Renal agenesis	4	
Iron deficiency	Abnormality of iron homeostasis	HP:0011031	Abnormality of iron homeostasis	4	PARENT:HP:0011031
Irregular vertebral end plates	Irregular vertebral endplates	HP:0003301	Irregular vertebral endplates	4	HP:0003301
Late closure of fontanels	Delayed closure of fontanelles	HP:0000270	Delayed cranial suture closure	4	HP:0000270
Learning difficulties	Intellectual disability	HP:0001249	Intellectual disability	4	PARENT:HP:0001249
lentigines	Multiple lentigines	HP:0001003	Multiple lentigines	4	HP:0001003
Ligamentous hyperlaxity	Joint hypermobility	HP:0001382	Joint hypermobility	4	HP:0001382
Low-​set ears	Low-set ears	HP:0000369	Low-set ears	4	HP:0000369
Malignancy	Neoplasm	HP:0002664	Neoplasm	4	HP:0002664
maternal calf edema	Edema	HP:0000969	Edema	4	
maternal edema	Edema	HP:0000969	Edema	4	
mild-to-moderate intellectual disability	Moderate intellectual disability	HP:0002342	Moderate intellectual disability	4	HP:0001249
Mitochondrial hyperplasia in diaphragm muscle	Abnormal mitochondria in muscle tissue	HP:0008316	Abnormal mitochondria in muscle tissue	4	
moderate cerebral tetraventricular dilatation	Ventriculomegaly	HP:0002119	Ventriculomegaly	4	
mouth foaming	Sialorrhea	HP:0002307	Drooling	4	
multiple intestinal atresia	Multiple small bowel atresias	HP:0004797	Multiple small bowel atresias	4	PARENT:HP:0011100
Narrow bifrontal diameter	Narrow forehead	HP:0000341	Narrow forehead	4	HP:0000341
Narrow ilia	Narrow pelvis bone	HP:0003275	Narrow pelvis bone	4	PARENT:HP:0002867
Neonatal cardiomyopathy	Cardiomyopathy	HP:0001638	Cardiomyopathy	4	
Neonatal cholestasis	Neonatal cholestatic liver disease	HP:0006566	Neonatal cholestatic liver disease	4	HP:0006566
Neonatal respiratory failure	Respiratory failure	HP:0002878	Respiratory failure	4	
Neural tube closure defect	Neural tube defect	HP:0045005	Neural tube defect	4	HP:0045005
neurobehavioral/psychiatric manifestations	Behavioral abnormality	HP:0000708	Atypical behavior	4	PARENT:HP:0011446
Neurologic complications	Abnormality of the nervous system	HP:0000707	Abnormality of the nervous system	4	HP:0000707
Neurologic involvement	Abnormality of the nervous system	HP:0000707	Abnormality of the nervous system	4	HP:0000707
neuropsychiatric changes	Personality changes	HP:0000751	Personality changes	4	PARENT:HP:0011446
Pancreatic agenesis	Aplasia/Hypoplasia of the pancreas	HP:0100800	Aplasia/Hypoplasia of the pancreas	4	
Persistent pulmonary hypertension	Pulmonary arterial hypertension	HP:0002092	Pulmonary arterial hypertension	4	
placental edema	Edema	HP:0000969	Edema	4	PARENT:HP:0100767
poor postnatal growth	Postnatal growth retardation	HP:0008897	Postnatal growth retardation	4	HP:0008897
postnatal growth restriction	Postnatal growth retardation	HP:0008897	Postnatal growth retardation	4	
Postnatal short stature	Postnatal growth retardation	HP:0008897	Postnatal growth retardation	4	HP:0008897
predisposition to Wilms tumor	Nephroblastoma	HP:0002667	Nephroblastoma	4	HP:0002667
prematurity	Premature birth	HP:0001622	Premature birth	4	HP:0001622
Progressive encephalomyopathy	Progressive encephalopathy	HP:0002448	Progressive encephalopathy	4	
Protuberant eyes	Proptosis	HP:0000520	Proptosis	4	HP:0000520
proximal weakness	Proximal muscle weakness	HP:0003701	Proximal muscle weakness	4	HP:0003701
Psychomotor retardation	Global developmental delay	HP:0001263	Global developmental delay	4	HP:0001263
Punctate calcifications	Epiphyseal stippling	HP:0010655	Epiphyseal stippling	4	HP:0010655
Ragged red fibers	Ragged-red muscle fibers	HP:0003200	Ragged-red muscle fibers	4	HP:0003200
Redness	Erythema	HP:0010783	Erythema	4	HP:0010783
Reduced complex I activity	Decreased activity of mitochondrial complex I	HP:0011923	Decreased activity of mitochondrial complex I	4	
Refractory seizures	Seizure	HP:0001250	Seizure	4	HP:0001250
renal cortical tubular and glomerular cysts	Renal cysts	HP:0000107	Renal cyst	4	
Restricted joint mobility	Joint stiffness	HP:0001387	Joint stiffness	4	HP:0001376
Restriction of the elbow joint	Limited elbow movement	HP:0002996	Limited elbow movement	4	HP:0002996
Retarded osseous maturation	Delayed bone age	HP:0002750	Delayed skeletal maturation	4	HP:0002750
right ventricle hypertrophied	Right ventricular hypertrophy	HP:0001667	Right ventricular hypertrophy	4	
Scarring alopecia	Cicatricial alopecia	HP:0004552	Scarring alopecia of scalp	4	HP:0004552
Secondary glaucoma	Glaucoma	HP:0000501	Glaucoma	4	HP:0000501
Seizure disorder	Seizures	HP:0001250	Seizure	4	HP:0001250
severe fatal lactic acidosis	Lactic acidosis	HP:0003128	Lactic acidosis	4	
severe pontocerebellar hypoplasia	Olivopontocerebellar hypoplasia	HP:0006955	Olivopontocerebellar hypoplasia	4	
Short extremities	Short limb	HP:0009826	Limb undergrowth	4	HP:0009826
Short great toe	Short hallux	HP:0010109	Short hallux	4	HP:0010109
Short spine	Relatively short spine	HP:0002766	Relatively short spine	4	HP:0002766
Short trunk with prominent abdomen	Protuberant abdomen	HP:0001538	Protuberant abdomen	4	HP:0001538
Short, horizontally oriented ribs	Short ribs	HP:0000773	Short ribs	4	PARENT:HP:0000773
Skin thickening	Thickened skin	HP:0001072	Thickened skin	4	HP:0001072
sleep-disordered breathing	Sleep apnea	HP:0010535	Sleep apnea	4	HP:0010535
slit-like fourth ventricle	Abnormal fourth ventricle morphology	HP:0010950	Abnormal fourth ventricle morphology	4	
slow deep tendon reflexes	Hyporeflexia	HP:0001265	Hyporeflexia	4	
slow growth	Growth delay	HP:0001510	Growth delay	4	HP:0001510
small-sized cerebellum	Small cerebellum	HP:0001321	Cerebellar hypoplasia	4	
small-sized frontal lobe	Hypoplasia of the frontal lobe	HP:0007333	Hypoplasia of the frontal lobes	4	
small-sized pons	Pons hypoplasia	HP:0012110	Hypoplasia of the pons	4	
Spontaneous perirenal hemorrhage	Perirenal hematoma	HP:0030171	Perirenal hematoma	4	
steep acetabula	Steep acetabular roof	HP:0010455	Steep acetabular roof	4	HP:0010455
Stereotypic movements	Motor stereotypy	HP:0000733	Motor stereotypy	4	HP:0000733
symmetric growth restriction	Intrauterine growth retardation	HP:0001511	Intrauterine growth retardation	4	
symphalangism	Finger symphalangism	HP:0009700	Finger symphalangism	4	PARENT:HP:0004278
Thyroid dysfunction	Abnormality of the thyroid gland	HP:0000820	Abnormality of the thyroid gland	4	HP:0000820
tone abnormalities	Abnormal muscle tone	HP:0003808	Abnormal muscle tone	4	HP:0003808
Type 2 diabetes mellitus	Type II diabetes mellitus	HP:0005978	Type II diabetes mellitus	4	HP:0005978
uterine cervical embryonal rhabdomyosarcoma	Embryonal rhabdomyosarcoma	HP:0006743	Embryonal rhabdomyosarcoma	4	
Vertebral defects	Vertebral anomalies	HP:0003468	Abnormal vertebral morphology	4	HP:0003468
Vertical talus	Talipes calcaneovarus	HP:0008124	Talipes calcaneovarus	4	HP:0001838
visual disturbances	Visual impairment	HP:0000505	Visual impairment	4	HP:0000505
wide interdigital spaces	Webbed toes	HP:0001770	Toe syndactyly	4	
Wide sutures	Diastasis of cranial sutures	HP:0010537	Wide cranial sutures	4	HP:0010537
Abnormal electroencephalograph	Abnormal electroencephalogram	HP:0002353	EEG abnormality	3	HP:0002353
Abnormal nails	Abnormal nail morphology	HP:0001597	Abnormal nail morphology	3	HP:0001597
Abnormal palmar creases	Abnormality of the palmar creases	HP:0010490	Abnormality of the palmar creases	3	HP:0010490
absence of deep tendon and neonatal reflexes	Absent deep tendon reflexes	HP:0001284	Areflexia	3	
Absence of olfactory bulbs	Aplasia of the olfactory bulb	HP:0032466	Aplasia of the olfactory bulb	3	HP:0032466
accelerated carpotarsal ossification	Accelerated skeletal maturation	HP:0005616	Accelerated skeletal maturation	3	HP:0004233
Accelerated osseous maturation	Advanced bone age	HP:0005616	Accelerated skeletal maturation	3	HP:0005616
Acute respiratory distress	Respiratory distress	HP:0002098	Respiratory distress	3	
agenesis of the splenium of corpus callosum	Partial agenesis of the corpus callosum	HP:0001338	Partial agenesis of the corpus callosum	3	
Airway compromise	Airway obstruction	HP:0006536	Airway obstruction	3	HP:0006536
Anal anomalies	Anal atresia	HP:0002023	Anal atresia	3	PARENT:HP:0004378
Aneurysm of other vessels	Aneurysm	HP:0002617	Vascular dilatation	3	HP:0002617
Aortic valve insufficiency	Aortic regurgitation	HP:0001659	Aortic regurgitation	3	HP:0001659
Asymmetry	Asymmetric growth	HP:0100555	Asymmetric growth	3	HP:0000324
atrophy	Muscle atrophy	HP:0003202	Skeletal muscle atrophy	3	HP:0003202
atrophy of the cerebellar hemispheres	Cerebellar atrophy	HP:0001272	Cerebellar atrophy	3	
Attention-deficit/hyperactivity disorder (ADHD)	Attention deficit hyperactivity disorder	HP:0007018	Attention deficit hyperactivity disorder	3	HP:0007018
Autonomic neuropathy	Abnormal autonomic nervous system physiology	HP:0012332	Abnormal autonomic nervous system physiology	3	HP:0012332
Axonal sensorimotor neuropathy	Sensorimotor neuropathy	HP:0007141	Sensorimotor neuropathy	3	PARENT:HP:0009830
behavioral issues	Behavioral abnormality	HP:0000708	Atypical behavior	3	HP:0000708
Bilateral retinochoroidal coloboma	Chorioretinal coloboma	HP:0000567	Chorioretinal coloboma	3	
Bleeding from the gums	Gingival bleeding	HP:0000225	Gingival bleeding	3	HP:0000225
Bowed long tubular bones	Bowed long bones	HP:0006487	Bowing of the long bones	3	HP:0006487
Bowed tibiae	Tibial bowing	HP:0002982	Tibial bowing	3	HP:0002982
Bowel perforation	Intestinal perforation	HP:0031368	Intestinal perforation	3	HP:0031368
Bowing of the radius	Radial bowing	HP:0002986	Radial bowing	3	HP:0002986
Broad first toe	Broad hallux	HP:0010055	Broad hallux	3	HP:0010055
Broad metaphyses	Metaphyseal widening	HP:0003016	Metaphyseal widening	3	HP:0003016
