score	omim	nom	n_onset_prenatal	signes_foetaux	orpha
15	OMIM:200980	Acrorenal-Mandibular syndrome	0	agénésie rénale;HDC;RCIU;oligohydramnios;hypoplasie pulm	ORPHA:958
14	OMIM:619003	Mitochondrial complex I deficiency, nuclear type 35	5	RCIU;hypoplasie pulm;décès néonat	ORPHA:2609
14	OMIM:618947	Arthrogryposis multiplex congenita 5	0	RCIU;décès nourrisson;MFA↓;polyhydramnios	—
14	OMIM:618622	Neurodevelopmental disorder with microcephaly, arthrogryposis, and structural brain anomalies	3	RCIU;décès nourrisson;prématurité	ORPHA:664923
14	OMIM:617468	Arthrogryposis multiplex congenita, neurogenic, with myelin defect	0	MFA↓;akinésie;hypoplasie pulm;mort-né	ORPHA:2680
14	OMIM:616867	Spinal muscular atrophy with congenital bone fractures 2	0	MFA↓;polyhydramnios;prématurité;hypoplasie pulm	ORPHA:486811
13	OMIM:620369	Congenital myopathy 22B, severe fetal	0	MFA↓;polyhydramnios;hypoplasie pulm	—
13	OMIM:619602	Fetal akinesia, respiratory insufficiency, microcephaly, polymicrogyria, and dysmorphic facies	0	polyhydramnios;akinésie;décès néonat	—
13	OMIM:619036	Myopathy, epilepsy, and progressive cerebral atrophy	4	décès nourrisson;MFA↓;polyhydramnios	—
13	OMIM:619004	Deeah syndrome	4	RCIU;décès nourrisson;polyhydramnios	ORPHA:528084,ORPHA:686495
13	OMIM:618766	Arthrogryposis multiplex congenita, neurogenic, with agenesis of the corpus callosum	0	décès nourrisson;MFA↓;polyhydramnios	ORPHA:1143
13	OMIM:617641	Congenital anomalies of kidney and urinary tract syndrome with or without hearing loss, abnormal ears, or developmental delay	2	agénésie rénale;HDC;oligohydramnios	ORPHA:656130
13	OMIM:616286	Lethal congenital contracture syndrome 7	0	MFA↓;polyhydramnios;akinésie	ORPHA:2680
13	OMIM:615348	Nemaline myopathy 8	1	décès nourrisson;MFA↓;polyhydramnios;akinésie	ORPHA:171430
13	OMIM:614922	Combined oxidative phosphorylation deficiency 11	1	décès nourrisson;polyhydramnios;décès néonat;mort-né	ORPHA:324535
13	OMIM:614052	Mitochondrial complex V (ATP synthase) deficiency, nuclear type 2	1	RCIU;oligohydramnios;prématurité;décès néonat	ORPHA:1194
13	OMIM:613124	Hydrops fetalis, nonimmune, with gracile bones and dysmorphic features	0	polyhydramnios;hydrops;hypoplasie pulm	—
13	OMIM:610015	Glutamine deficiency, congenital	8	décès néonat	ORPHA:71278
13	OMIM:300998	Intellectual developmental disorder, X-linked syndromic 35	4	RCIU;polyhydramnios;prématurité	ORPHA:435938,ORPHA:459070
13	OMIM:300219	Myotubular myopathy with abnormal genital development	1	décès nourrisson;MFA↓;polyhydramnios;décès néonat	ORPHA:456328
13	OMIM:263210	Gillessen-Kaesbach-Nishimura syndrome	1	HDC;polyhydramnios;oligohydramnios;hypoplasie pulm	ORPHA:79328
13	OMIM:255320	Minicore myopathy with external ophthalmoplegia	1	MFA↓;polyhydramnios;hydrops;hypoplasie pulm	ORPHA:598,ORPHA:98905
13	OMIM:251230	Microcephaly-micromelia syndrome	1	RCIU;oligohydramnios;hypoplasie pulm;décès néonat	ORPHA:572768
12	OMIM:621302	Neurodevelopmental disorder with seizures and joint laxity	0	RCIU;MFA↓;oligohydramnios;prématurité	—
12	OMIM:621261	Cardiomyopathy, dilated, 2M, autosomal recessive	0	RCIU;MFA↓;polyhydramnios;hydrops	—
12	OMIM:621220	Guillouet-Gordon syndrome	0	HDC;RCIU;polyhydramnios;oligohydramnios	—
12	OMIM:620351	Congenital myopathy 22A, classic	1	MFA↓;polyhydramnios;décès néonat	—
12	OMIM:618810	Pontocerebellar hypoplasia, hypotonia, and respiratory insufficiency syndrome, neonatal lethal	2	polyhydramnios;décès néonat	ORPHA:615954,ORPHA:615983,ORPHA:615986
12	OMIM:618186	Neuropathy, congenital hypomyelinating, 3	1	MFA↓;polyhydramnios;décès néonat	ORPHA:2680
12	OMIM:616900	Hypotonia, infantile, with psychomotor retardation and characteristic facies 3	3	MFA↓;polyhydramnios;oligohydramnios	ORPHA:488632
12	OMIM:615485	Bainbridge-Ropers syndrome	3	RCIU;décès nourrisson;polyhydramnios	ORPHA:352577
12	OMIM:615282	Cortical dysplasia, complex, with other brain malformations 2	4	RCIU;akinésie	—
12	OMIM:614576	Congenital disorder of glycosylation, type IIl	4	RCIU;décès nourrisson	ORPHA:464443
12	OMIM:608978	Meacham syndrome	0	décès nourrisson;hypoplasie pulm;décès néonat;mort-né	ORPHA:3097
12	OMIM:608540	Congenital disorder of glycosylation, type Ik	4	RCIU;décès nourrisson	ORPHA:79327
12	OMIM:312150	Multiple pterygium syndrome, X-linked	0	RCIU;polyhydramnios;akinésie;hypoplasie pulm	ORPHA:79447
12	OMIM:308205	IFAP syndrome with or without BRESHECK syndrome	0	agénésie rénale;décès nourrisson;oligohydramnios;décès néonat	ORPHA:2273,ORPHA:85284
12	OMIM:300855	Ogden syndrome	0	RCIU;MFA↓;oligohydramnios;hypoplasie pulm	ORPHA:276432
12	OMIM:260370	Pancreatic agenesis, congenital	2	RCIU;oligohydramnios	ORPHA:2805
11	OMIM:619303	Pontocerebellar hypoplasia, type 1E	3	décès nourrisson;polyhydramnios	ORPHA:2254
11	OMIM:619055	Mitochondrial complex IV deficiency, nuclear type 12	2	RCIU;décès nourrisson;décès néonat	ORPHA:254905
11	OMIM:618823	Myopathy, congenital proximal, with minicore lesions	3	MFA↓;oligohydramnios	—
11	OMIM:618414	Myopathy, congenital, with fast-twitch (type II) fiber atrophy	0	décès nourrisson;MFA↓;polyhydramnios	ORPHA:544602
11	OMIM:618065	Pontocerebellar hypoplasia, type 1D	0	RCIU;MFA↓;oligohydramnios	ORPHA:2254
11	OMIM:617895	Short-Rib thoracic dysplasia 19 with or without polydactyly	2	hypoplasie pulm	—
11	OMIM:616271	3-Methylglutaconic aciduria with cataracts, neurologic involvement, and neutropenia	2	RCIU;MFA↓;polyhydramnios	ORPHA:445038
11	OMIM:615415	Renal-Hepatic-Pancreatic dysplasia 2	0	oligohydramnios;hypoplasie pulm;mort-né	ORPHA:294415
11	OMIM:614080	Multiple congenital anomalies-hypotonia-seizures syndrome 1	0	HDC;polyhydramnios;hypoplasie pulm	ORPHA:280633
11	OMIM:613630	Fetal encasement syndrome	3	HDC;MFA↓	ORPHA:465824
11	OMIM:608022	Diaphanospondylodysostosis	0	RCIU;oligohydramnios;hypoplasie pulm	ORPHA:66637
11	OMIM:301127	Arthrogryposis multiplex congenita 7, X-linked	0	MFA↓;polyhydramnios;hypoplasie pulm	—
11	OMIM:300990	Midface hypoplasia, hearing impairment, elliptocytosis, and nephrocalcinosis	6	polyhydramnios	ORPHA:688581,ORPHA:86818
11	OMIM:300868	Multiple congenital anomalies-hypotonia-seizures syndrome 2	0	décès nourrisson;polyhydramnios;hydrops	ORPHA:300496
11	OMIM:274265	Thymic-Renal-Anal-Lung dysplasia	0	agénésie rénale;RCIU;oligohydramnios	ORPHA:3326
11	OMIM:243150	Gastrointestinal defects and immunodeficiency syndrome	2	RCIU;décès nourrisson;polyhydramnios	ORPHA:436252
11	OMIM:242500	Ichthyosis, congenital, autosomal recessive 4B	0	décès nourrisson;prématurité;décès néonat	ORPHA:457
11	OMIM:225753	Pontocerebellar hypoplasia, type 4	3	décès nourrisson;polyhydramnios	ORPHA:166063
11	OMIM:208540	Renal-hepatic-pancreatic dysplasia 1	0	oligohydramnios;hypoplasie pulm;décès néonat	ORPHA:294415
10	OMIM:619501	Ventriculomegaly and arthrogryposis	8		—
10	OMIM:619148	Chromosome 13q33-q34 deletion syndrome	7	hypoplasie pulm	ORPHA:96168
10	OMIM:618773	Lymphatic malformation 8	4	polyhydramnios;mort-né	ORPHA:363999
10	OMIM:618500	Holoprosencephaly 12 with or without pancreatic agenesis	0	RCIU;décès néonat	ORPHA:556955
10	OMIM:616342	Lissencephaly 7 with cerebellar hypoplasia	0	décès nourrisson;décès néonat	—
10	OMIM:616248	Lethal congenital contracture syndrome 6	0	MFA↓;polyhydramnios	—
10	OMIM:611890	Congenital arthrogryposis with anterior horn cell disease	0	akinésie;décès néonat	ORPHA:53696
10	OMIM:607598	Lethal congenital contracture syndrome 2	0	MFA↓;polyhydramnios	ORPHA:137776
10	OMIM:603358	Gracile syndrome	7	RCIU	ORPHA:53693
10	OMIM:602522	Bartter syndrome, type 4A, neonatal, with sensorineural deafness	1	polyhydramnios;prématurité;hydrops	ORPHA:112,ORPHA:89938
10	OMIM:601927	Lymphedema, cardiac septal defects, and characteristic facies	4	oligohydramnios;hydrops	ORPHA:86915
10	OMIM:314390	VACTERL association, X-linked	1	polyhydramnios;hypoplasie pulm;décès néonat	ORPHA:3412
10	OMIM:301056	Multiple congenital anomalies-neurodevelopmental syndrome, X-linked	2	RCIU;polyhydramnios	—
10	OMIM:255200	Myopathy, centronuclear, 2	1	RCIU;MFA↓;oligohydramnios	ORPHA:169186
10	OMIM:253310	Lethal congenital contracture syndrome 1	0	hypoplasie pulm;décès néonat	ORPHA:1486
10	OMIM:236750	Hydrops fetalis, nonimmune	3	hydrops	ORPHA:1041,ORPHA:163596,ORPHA:363999
10	OMIM:230500	GM1-gangliosidosis, type I	1	RCIU;décès nourrisson;hydrops	ORPHA:354,ORPHA:79255
10	OMIM:202400	Afibrinogenemia, congenitalhypofibrinogenemia, congenital, included	0	décès nourrisson;décès néonat	ORPHA:101041,ORPHA:335,ORPHA:98880
9	OMIM:621533	Neurodevelopmental disorder with seizures and impaired intellectual and language development	0	MFA↓;polyhydramnios;prématurité	—
9	OMIM:621393	Neurodevelopmental disorder with structural brain abnormalities and craniofacial abnormalities	0	RCIU;MFA↓;hydrops	—
9	OMIM:621379	Neurocardiorenal malformation syndrome	0	RCIU;MFA↓;polyhydramnios	—
9	OMIM:621260	Short-rib thoracic dysplasia 22 without polydactyly	0	hypoplasie pulm	—
9	OMIM:620771	Jeffries-Lakhani neurodevelopmental syndrome	0	MFA↓;polyhydramnios;oligohydramnios	—
9	OMIM:620489	Neurodevelopmental disorder with dysmorphic facies and behavioral abnormalities	0	RCIU;MFA↓;hypoplasie pulm	—
9	OMIM:620376	Autoinflammatory disease, systemic, with vasculitis	0	RCIU;prématurité;hydrops	—
9	OMIM:620278	Congenital myopathy 2C, severe infantile, autosomal dominant	1	décès nourrisson;MFA↓	—
9	OMIM:620070	Neurodevelopmental disorder with short stature, prominent forehead, and feeding difficulties	0	décès nourrisson;MFA↓;polyhydramnios	—
9	OMIM:619967	Myopathy, congenital, nonprogressive	1	MFA↓;polyhydramnios	ORPHA:2020
9	OMIM:619751	Stuve-Wiedemann syndrome 2	0	RCIU;décès néonat;mort-né	ORPHA:656283
9	OMIM:619460	Luo-Schoch-Yamamoto syndrome	3	RCIU;oligohydramnios	ORPHA:528084
9	OMIM:619229	Kohlschutter-Tonz syndrome-like	0	RCIU;oligohydramnios;prématurité	ORPHA:684232
9	OMIM:618961	Spondylometaphyseal dysplasia with corneal dystrophy	7		ORPHA:589435
9	OMIM:618822	Myopathy, congenital, with respiratory insufficiency and bone fractures	1	décès nourrisson;oligohydramnios	—
9	OMIM:618651	Neurodevelopmental disorder with spastic quadriplegia, optic atrophy, seizures, and structural brain anomalies	3	HDC;RCIU	—
9	OMIM:618541	Hypopigmentation, organomegaly, and delayed myelination and development	0	RCIU;polyhydramnios;prématurité	—
9	OMIM:618505	Stolerman neurodevelopmental syndrome	0	RCIU;MFA↓;polyhydramnios	ORPHA:528084
9	OMIM:618268	Trichohepatoneurodevelopmental syndrome	0	MFA↓;polyhydramnios;prématurité	—
9	OMIM:617405	Short-Rib thoracic dysplasia 17 with or without polydactyly	0	décès nourrisson	ORPHA:93426
9	OMIM:617156	Mitochondrial DNA depletion syndrome 15 (hepatocerebral type)	0	RCIU;décès nourrisson;polyhydramnios	—
9	OMIM:616914	Marfan lipodystrophy syndrome	0	RCIU;oligohydramnios;prématurité	ORPHA:300382
9	OMIM:616733	Coenzyme Q10 deficiency, primary, 8	0	RCIU;oligohydramnios;hypoplasie pulm	ORPHA:319678
9	OMIM:615524	Microphthalmia, syndromic 12	0	HDC;hypoplasie pulm;décès néonat	ORPHA:689829
9	OMIM:615102	Tyshchenko syndrome	0	RCIU;polyhydramnios;prématurité	ORPHA:289553
9	OMIM:614437	Cutis laxa, autosomal recessive, type IB	0	HDC;oligohydramnios;décès néonat	ORPHA:314718,ORPHA:90349
9	OMIM:614096	Combined oxidative phosphorylation deficiency 8	0	décès nourrisson;hypoplasie pulm;décès néonat	ORPHA:319504
9	OMIM:610505	Combined oxidative phosphorylation deficiency 3	0	RCIU;décès nourrisson;MFA↓	ORPHA:168566
9	OMIM:608776	Congenital disorder of glycosylation, type Il	1	MFA↓;hydrops	ORPHA:79328
9	OMIM:608649	Ichthyosis prematurity syndrome	3	polyhydramnios;prématurité	ORPHA:88621
9	OMIM:313850	Thoracoabdominal syndrome	0	agénésie rénale;HDC;hypoplasie pulm	ORPHA:1335
9	OMIM:311900	TARP syndrome	0	RCIU;oligohydramnios;décès néonat	ORPHA:2886
9	OMIM:301118	Intellectual developmental disorder, X-linked syndromic 37	0	polyhydramnios;oligohydramnios;prématurité	—
9	OMIM:301021	Mitochondrial complex I deficiency, nuclear type 30	0	RCIU;prématurité;décès néonat	ORPHA:2609
9	OMIM:273395	Tetraamelia, autosomal recessive	0	agénésie rénale;HDC;hypoplasie pulm	ORPHA:3301
9	OMIM:265120	Surfactant metabolism dysfunction, pulmonary, 1	3	décès nourrisson;décès néonat	ORPHA:217563
9	OMIM:225790	Proliferative vasculopathy and hydranencephaly-hydrocephaly syndrome	0	RCIU;polyhydramnios;prématurité	ORPHA:221126
9	OMIM:208085	Arthrogryposis, renal dysfunction, and cholestasis 1	1	décès nourrisson;oligohydramnios	ORPHA:2697
8	OMIM:621567	Congenital disorder of glycosylation, type 1bb 	0	RCIU;MFA↓	—
8	OMIM:621523	Spondylocostal dysostosis 7, autosomal recessive	0	RCIU;polyhydramnios	—
8	OMIM:621381	Congenital disorder of glycosylation, type IICC	0	oligohydramnios;hypoplasie pulm	—
8	OMIM:620775	Neuromuscular disorder, congenital, with dysmorphic facies	0	MFA↓;oligohydramnios	—
8	OMIM:620265	Congenital myopathy 2B, severe infantile, autosomal recessive	0	décès nourrisson;décès néonat	ORPHA:97244,ORPHA:98904
8	OMIM:620161	Congenital myopathy 15	0	MFA↓;polyhydramnios	—
8	OMIM:619991	Liver disease, severe congenital	3	RCIU	—
8	OMIM:619503	Neurodevelopmental disorder with hypotonia and dysmorphic facies	2	MFA↓;oligohydramnios	ORPHA:528084
8	OMIM:619376	Faundes-Banka syndrome	5	RCIU	ORPHA:528084
8	OMIM:618922	Neurodevelopmental disorder with seizures, hypotonia, and brain imaging abnormalities	2	décès nourrisson;polyhydramnios	ORPHA:528084
8	OMIM:618886	Pseudo-Torch syndrome 3	2	décès nourrisson;prématurité	ORPHA:714429
8	OMIM:618838	Combined oxidative phosphorylation deficiency 41	2	RCIU;prématurité	—
8	OMIM:618829	Nabais Sa-de vries syndrome, type 2	5	polyhydramnios	ORPHA:662175
8	OMIM:618804	Sandestig-Stefanova syndrome	2	RCIU;MFA↓	ORPHA:729761
8	OMIM:618780	Congenital heart defects, multiple types, 7	6		ORPHA:3303
8	OMIM:618480	Neurodevelopmental disorder with seizures and speech and walking impairment	2	oligohydramnios;prématurité	—
8	OMIM:618266	Pontocerebellar hypoplasia, type 12	0	décès nourrisson;polyhydramnios	ORPHA:611256
8	OMIM:618005	Congenital disorder of glycosylation with defective fucosylation 1	0	RCIU;polyhydramnios	—
8	OMIM:617602	Congenital heart defects and skeletal malformations syndrome	0	HDC;RCIU	ORPHA:643503
8	OMIM:617330	Hypotonia, ataxia, and delayed development syndrome	2	MFA↓;oligohydramnios	ORPHA:658843
8	OMIM:617021	Hydrops, lactic acidosis, and sideroblastic anemia	0	RCIU;oligohydramnios	ORPHA:528091
8	OMIM:616541	Short stature, microcephaly, and endocrine dysfunction	5	RCIU	ORPHA:436182
8	OMIM:616531	Polymicrogyria, perisylvian, with cerebellar hypoplasia and arthrogryposis	1	hypoplasie pulm	ORPHA:268940,ORPHA:98889
8	OMIM:615350	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 14	0	MFA↓;oligohydramnios	ORPHA:588
8	OMIM:614557	Ehlers-Danlos syndrome, kyphoscoliotic type, 2	2	MFA↓;polyhydramnios	ORPHA:300179
8	OMIM:614498	Rigidity and multifocal seizure syndrome, lethal neonatal	3	décès nourrisson	ORPHA:435845
8	OMIM:613451	Frontonasal dysplasia 2	0	RCIU;oligohydramnios	ORPHA:228390
8	OMIM:612389	Pontocerebellar hypoplasia, type 2B	0	décès nourrisson;polyhydramnios	ORPHA:2524
8	OMIM:610921	Surfactant metabolism dysfunction, pulmonary, 3	2	décès nourrisson;décès néonat	ORPHA:440402
8	OMIM:608779	Congenital disorder of glycosylation, type IIe	0	RCIU;décès nourrisson	ORPHA:79333
8	OMIM:601374	Aprosencephaly and cerebellar dysgenesis	8		ORPHA:1126
8	OMIM:300896	Congenital disorder of glycosylation, type IIm	0	RCIU;oligohydramnios	ORPHA:356961
8	OMIM:276822	Ulnar agenesis and endocardial fibroelastosis	0	hydrops;décès néonat	—
8	OMIM:271520	Spondylocostal dysostosis with anal atresia and urogenital anomalies	0	oligohydramnios;hypoplasie pulm	—
8	OMIM:265430	Pulmonary hypoplasia, primary	0	hypoplasie pulm;décès néonat	ORPHA:2257
8	OMIM:254120	Muscular hypertonia, lethal	0	décès nourrisson;MFA↓	—
8	OMIM:245650	Larsen-like syndrome, Lethal type	0	hypoplasie pulm;décès néonat	ORPHA:2371
8	OMIM:235255	Mullerian derivatives, persistence of, with lymphangiectasia and postaxial polydactyly	0	décès nourrisson;polyhydramnios	ORPHA:1655
8	OMIM:226730	Epidermolysis bullosa, junctional, with pyloric atresia	2	décès nourrisson;polyhydramnios	ORPHA:79403
8	OMIM:224410	Dyssegmental dysplasia, Silverman-Handmaker type	0	hypoplasie pulm;décès néonat	ORPHA:1865
8	OMIM:219730	Ventriculomegaly with cystic kidney disease	2	polyhydramnios;prématurité	ORPHA:443988
8	OMIM:214700	Diarrhea 1, secretory chloride, congenital	0	polyhydramnios;prématurité	ORPHA:53689
8	OMIM:191830	Renal hypodysplasia/aplasia 1	0	oligohydramnios;hypoplasie pulm	ORPHA:1848,ORPHA:411709
8	OMIM:119800	Clubfoot, congenital, with or without deficiency of long bones and/or mirror-image polydactyly	1	mort-né	ORPHA:199315,ORPHA:293144,ORPHA:293150
7	OMIM:619462	Hemolytic disease of fetus and newborn, RH-induced	1	polyhydramnios;hydrops	ORPHA:71275
7	OMIM:619461	Myasthenic syndrome, congenital, 7B, presynaptic, autosomal recessive	2	MFA↓	ORPHA:590,ORPHA:716899,ORPHA:716903,ORPHA:98914
7	OMIM:619433	Cardiomyopathy, familial restrictive, 6	1	décès nourrisson;hydrops	ORPHA:75249
7	OMIM:619355	Mitochondrial complex IV deficiency, nuclear type 22	1	RCIU;décès nourrisson	ORPHA:254905
7	OMIM:619313	Immunodeficiency 80 with or without cardiomyopathy	7		—
7	OMIM:619046	Mitochondrial complex IV deficiency, nuclear type 3	4	décès nourrisson	ORPHA:254905
7	OMIM:618908	Silver-Russell syndrome 5	4	RCIU	ORPHA:397590
7	OMIM:618775	Mitochondrial complex III deficiency, nuclear type 10	4	RCIU	ORPHA:1460
7	OMIM:618237	Mitochondrial complex I deficiency, nuclear type 15	1	RCIU;décès néonat	ORPHA:2609
7	OMIM:617093	Growth retardation, impaired intellectual development, hypotonia, and hepatopathy	1	RCIU;oligohydramnios	ORPHA:541423
7	OMIM:617082	Congenital disorder of glycosylation, type IAA	2	RCIU	—
7	OMIM:617056	Tubulointerstitial kidney disease, autosomal dominant, 5	1	RCIU;oligohydramnios	—
7	OMIM:616738	Radioulnar synostosis with amegakaryocytic thrombocytopenia 2	4	hydrops	ORPHA:71289
7	OMIM:616034	2,4-dienoyl-CoA reductase deficiency	1	RCIU;décès nourrisson	ORPHA:431361
7	OMIM:615824	Mitochondrial complex III deficiency, nuclear type 7	1	RCIU;oligohydramnios	ORPHA:1460
7	OMIM:613730	Hemorrhagic destruction of the brain, subependymal calcification,and cataracts	1	décès nourrisson;décès néonat	ORPHA:306547
7	OMIM:613658	Rajab interstitial lung disease with brain calcifications	1	RCIU;oligohydramnios	ORPHA:178506
7	OMIM:611369	Lethal congenital contracture syndrome 3	0	décès néonat	ORPHA:137783
7	OMIM:610199	Diabetes mellitus, neonatal, with congenital hypothyroidism	2	RCIU	ORPHA:79118
7	OMIM:609313	MEDNIK syndrome	1	décès nourrisson;décès néonat	ORPHA:171851
7	OMIM:606407	Hypotonia-cystinuria syndrome	4	MFA↓	ORPHA:163690,ORPHA:163693,ORPHA:238523
7	OMIM:606003	Transaldolase deficiency	1	RCIU;oligohydramnios	ORPHA:101028
7	OMIM:605039	Bohring-Opitz syndrome	1	RCIU;polyhydramnios	ORPHA:97297
7	OMIM:601678	Bartter syndrome, type 1, antenatal	1	polyhydramnios;prématurité	ORPHA:112,ORPHA:620217
7	OMIM:601612	Lung agenesis, congenital heart defects, and thumb anomalies syndrome	0	décès néonat	ORPHA:1120
7	OMIM:301044	Developmental and epileptic encephalopathy 85, with or without midline brain defects	1	HDC;RCIU	ORPHA:708203
7	OMIM:270420	Diarrhea 3, secretory sodium, congenital, with or without other congenital anomalies	0	polyhydramnios	ORPHA:103908,ORPHA:563708
7	OMIM:265300	Lymphangiectasia, pulmonary, congenital	2	polyhydramnios	ORPHA:2414
7	OMIM:257100	Neutropenia, lethal congenital, with eosinophilia	0	décès néonat	ORPHA:486
7	OMIM:227270	Faciocardiomelic dysplasia, lethal	0	décès néonat	ORPHA:1972
7	OMIM:219100	Cutis laxa, autosomal recessive, type IA	1	HDC;oligohydramnios	ORPHA:90349
7	OMIM:213980	Craniofacial dysmorphism, skeletal anomalies, and impaired intellectual development 1	1	MFA↓;polyhydramnios	ORPHA:1394,ORPHA:228407
6	OMIM:621585	Mendez-Johnson immunoneurologic syndrome	0	RCIU;MFA↓	—
6	OMIM:621552	Luo-Agrawal neurodevelopmental syndrome	0	RCIU;oligohydramnios	—
6	OMIM:621512	Meier-Gorlin syndrome 9	0	RCIU;prématurité	—
6	OMIM:621455	Neurodevelopmental disorder with hypotonia, epilepsy, and absent speech	0	HDC;MFA↓	ORPHA:590,ORPHA:716899,ORPHA:716903,ORPHA:98914
6	OMIM:621402	Developmental delay with sleep apnea	0	RCIU;polyhydramnios	—
6	OMIM:621307	Alsahan-Harris syndrome	0	RCIU;polyhydramnios	—
6	OMIM:621192	Craniofaciocardiohepatic syndrome	0	HDC;prématurité	ORPHA:660021
6	OMIM:621063	Muggenthaler-Chowdhury-Chioza syndrome	0	HDC;hydrops	ORPHA:508476
6	OMIM:621060	Neurodevelopmental disorder with microcephaly, absent speech, and hypotonia	0	agénésie rénale;hypoplasie pulm	—
6	OMIM:620943	Brain malformation renal syndrome	0	oligohydramnios;hypoplasie pulm	—
6	OMIM:620908	Arterial tortuosity-bone fragility syndrome	0	HDC;RCIU	—
6	OMIM:620852	Neurodevelopemental disorder with hypotonia, feeding difficulties, facial dysmorphism, and brain abnormalities	0	polyhydramnios;oligohydramnios	—
6	OMIM:620772	Developmental and epileptic encephalopathy 113	0	RCIU;oligohydramnios	—
6	OMIM:620428	Neurodevelopmental disorder with motor and language delay, ocular defects, and brain abnormalities	0	RCIU;prématurité	—
6	OMIM:620371	Neurodevelopmental disorder with intracranial hemorrhage, seizures, and spasticity	0	hydrops;hypoplasie pulm	—
6	OMIM:620300	Mitochondrial trifunctional protein deficiency 2	0	décès nourrisson;décès néonat	ORPHA:746
6	OMIM:620275	Mitochondrial complex IV deficiency, nuclear type 23	0	RCIU;décès nourrisson	—
